pair_key	pair_label_canonical	agent_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
e2-hsd17b1 gper1	E2-HSD17B1 Gper1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=E2-HSD17B1%20Gper1; https://europepmc.org/search?query=E2-HSD17B1%20Gper1; PMID:19931550 https://pubmed.ncbi.nlm.nih.gov/19931550/; PMID:19442754 https://pubmed.ncbi.nlm.nih.gov/19442754/	human; mouse; vertebrate estrogen-receptor systems	direct steroid-receptor binding and activation	17β-estradiol generated by aromatase/HSD17B1 pathways directly binds and activates the submitted estrogen receptor; structural or receptor-signaling studies support the exact receptor class.	E2 isoform, membrane versus nuclear receptor pool, and enzyme-tag interpretation are context dependent.	aliases=E2-HSD17B1 Gper1; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
eda edar	Eda Edar	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Eda%20Edar; https://europepmc.org/search?query=Eda%20Edar; PMID:21730053 https://pubmed.ncbi.nlm.nih.gov/21730053/; PMID:24391090 https://pubmed.ncbi.nlm.nih.gov/24391090/	human; mouse; dog; chicken	direct ligand-receptor binding and developmental function	EDA-A1 binds EDAR and activates ectodermal appendage signaling; recombinant ligand binding, blocking, and in vivo rescue studies support the exact pair.	EDA alternative splicing matters: EDA-A1 is the EDAR ligand, while EDA-A2 targets XEDAR.	aliases=Eda Edar; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
egf egfr	Egf Egfr	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Egf%20Egfr; https://europepmc.org/search?query=Egf%20Egfr; PMID:28988771 https://pubmed.ncbi.nlm.nih.gov/28988771/	human; mouse	direct growth-factor binding and receptor dimerization/activation	EGF binds EGFR/ErbB1 and stabilizes activating receptor dimers in structural and functional studies.	EGFR dimer composition and ligand presentation affect signaling kinetics.	aliases=Egf Egfr; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
ereg egfr	Ereg Egfr	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Ereg%20Egfr; https://europepmc.org/search?query=Ereg%20Egfr; PMID:14572630 https://pubmed.ncbi.nlm.nih.gov/14572630/; PMID:28988771 https://pubmed.ncbi.nlm.nih.gov/28988771/	human; mouse	direct growth-factor binding and receptor dimerization/activation	Epiregulin/EREG is a bispecific EGF-family ligand for EGFR and ErbB4; binding, structural, and receptor-dimerization studies support both submitted pairs.	EREG is proteolytically released from a membrane precursor and has ligand-specific dimer stability.	aliases=Ereg Egfr; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
ereg erbb4	Ereg Erbb4	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Ereg%20Erbb4; https://europepmc.org/search?query=Ereg%20Erbb4; PMID:14572630 https://pubmed.ncbi.nlm.nih.gov/14572630/; PMID:28988771 https://pubmed.ncbi.nlm.nih.gov/28988771/	human; mouse	direct growth-factor binding and receptor dimerization/activation	Epiregulin/EREG is a bispecific EGF-family ligand for EGFR and ErbB4; binding, structural, and receptor-dimerization studies support both submitted pairs.	EREG is proteolytically released from a membrane precursor and has ligand-specific dimer stability.	aliases=Ereg Erbb4; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
esam esam	Esam Esam	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Esam%20Esam; https://europepmc.org/search?query=Esam%20Esam; PMID:11279107 https://pubmed.ncbi.nlm.nih.gov/11279107/	human; mouse	direct homophilic cell adhesion	ESAM is a homophilic immunoglobulin-superfamily adhesion molecule; ESAM-expressing cells aggregate in direct adhesion assays.	The interaction is cell-cell adhesion rather than canonical soluble signaling.	aliases=Esam Esam; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
f11r f11r	F11r F11r	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=F11r%20F11r; https://europepmc.org/search?query=F11r%20F11r; PMID:40132981 https://pubmed.ncbi.nlm.nih.gov/40132981/	human; mouse	direct homophilic cell adhesion and receptor-dependent function	F11R/JAM-A homophilic interactions mediate platelet/endothelial adhesion and thrombus-related functions in human and mouse systems.	JAM-A has cis and trans interactions and PDZ-scaffold functions; this edge is not a heterophilic JAM interaction.	aliases=F11r F11r; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
flrt1 flrt1	Flrt1 Flrt1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Flrt1%20Flrt1; https://europepmc.org/search?query=Flrt1%20Flrt1; PMID:16872596 https://pubmed.ncbi.nlm.nih.gov/16872596/	human; mouse	direct homophilic cell-surface adhesion	FLRT proteins localize homophilically at cell-cell contacts, and mouse developmental studies support homophilic FLRT adhesion biology.	The cited work is family-wide and does not quantify every isoform pair or distinguish cis from trans interactions.	aliases=Flrt1 Flrt1; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
flrt2 flrt2	Flrt2 Flrt2	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Flrt2%20Flrt2; https://europepmc.org/search?query=Flrt2%20Flrt2; PMID:16872596 https://pubmed.ncbi.nlm.nih.gov/16872596/	human; mouse	direct homophilic cell-surface adhesion	FLRT proteins localize homophilically at cell-cell contacts, and mouse developmental studies support homophilic FLRT adhesion biology.	The cited work is family-wide and does not quantify every isoform pair or distinguish cis from trans interactions.	aliases=Flrt2 Flrt2; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
flrt3 flrt3	Flrt3 Flrt3	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Flrt3%20Flrt3; https://europepmc.org/search?query=Flrt3%20Flrt3; PMID:16872596 https://pubmed.ncbi.nlm.nih.gov/16872596/	human; mouse	direct homophilic cell-surface adhesion	FLRT proteins localize homophilically at cell-cell contacts, and mouse developmental studies support homophilic FLRT adhesion biology.	The cited work is family-wide and does not quantify every isoform pair or distinguish cis from trans interactions.	aliases=Flrt3 Flrt3; processed_forms=mature/cleaved/fragment/precursor forms searched; complexes=heterodimer/holoreceptor/co-receptor terms searched; structures=binding/activation/adhesion/reconstitution terms searched; PubMed=queried; EuropePMC=queried; targeted_web=queried
gcg gcgr	Gcg Gcgr	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/29300013/;https://pubmed.ncbi.nlm.nih.gov/35140883/;https://pubmed.ncbi.nlm.nih.gov/?term=gcg+gcgr;https://europepmc.org/search?query=gcg%20gcgr	human; mouse; recombinant mammalian cells	direct glucagon binding/activation and structural evidence	Primary structural and mechanistic studies identify glucagon as the endogenous GCGR agonist and resolve glucagon/GCGR engagement and activation.	Some cited structural work uses a glucagon analogue rather than native glucagon; receptor activity and native ligand identity are nevertheless directly established in primary literature.	PubMed and Europe PMC queried; aliases GCG/glucagon, GCGR, GLP1R, GLP2R, GIPR, glucagon-family class-B GPCR; binding, activation, structure, receptor selectivity, and species context checked.
gcg glp1r	Gcg Glp1r	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/30622136/;https://pubmed.ncbi.nlm.nih.gov/31330984/;https://pubmed.ncbi.nlm.nih.gov/?term=gcg+glp1r;https://europepmc.org/search?query=gcg%20glp1r	human; mouse; recombinant HEK293 or islet-cell systems	direct cross-activation in recombinant receptor assay	A primary cAMP/FRET study directly reports glucagon as a nonconventional GLP-1R agonist and validates dual glucagon action at GCGR and GLP-1R.	Cross-activation is reported at high or nonphysiological concentrations and may be assay- and species-dependent; this does not make GLP1R the canonical glucagon receptor.	PubMed and Europe PMC queried; aliases GCG/glucagon, GCGR, GLP1R, GLP2R, GIPR, glucagon-family class-B GPCR; binding, activation, structure, receptor selectivity, and species context checked.
gja1 gja1	Gja1 Gja1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/19706392/;https://pubmed.ncbi.nlm.nih.gov/7514508/;https://pubmed.ncbi.nlm.nih.gov/?term=gja1+gja1;https://europepmc.org/search?query=gja1%20gja1	human; rat; mouse	direct homotypic connexin gap-junction channel formation and function	Primary electrophysiology and dye-coupling studies directly demonstrate functional homotypic Cx43/GJA1 gap-junction channels.	Connexin channel formation is a cell-cell contact interaction rather than a soluble ligand-receptor interaction; assay properties depend on expression system and channel state.	PubMed and Europe PMC queried; aliases GJA1/Cx43/connexin43; homotypic channel formation, conductance, gating, and cell-cell communication checked.
gja1 gja5	Gja1 Gja5	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/11600419/;https://pubmed.ncbi.nlm.nih.gov/17557922/;https://pubmed.ncbi.nlm.nih.gov/17189315/;https://pubmed.ncbi.nlm.nih.gov/?term=gja1+gja5;https://europepmc.org/search?query=gja1%20gja5	human; rat; mouse	direct heterotypic connexin gap-junction channel formation and function	Primary recombinant cell-pair electrophysiology demonstrates functional heterotypic Cx43/GJA1–Cx40/GJA5 gap-junction channels with characteristic conductance and voltage-dependent gating.	The interaction is a connexin channel/contact relationship, not a classical receptor-ligand pair; compatibility can vary with species, hemichannel composition, and expression system.	PubMed and Europe PMC queried; aliases GJA1/Cx43, GJA5/Cx40; homotypic/heterotypic/heteromeric channel, docking, conductance, and dye-transfer terms checked.
gja3 gja1	Gja3 Gja1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/20664797/;https://pubmed.ncbi.nlm.nih.gov/?term=gja3+gja1;https://europepmc.org/search?query=gja3%20gja1	human; mouse; Xenopus oocyte recombinant system	direct heterotypic and heteromeric connexin gap-junction channel formation and function	Primary recombinant expression and electrophysiology directly demonstrate homotypic Cx46/GJA3 channels and heterotypic/heteromeric Cx46/GJA3–Cx43/GJA1 channels with distinct conductance and gating.	The interaction is a connexin channel/contact relationship rather than a classical receptor-ligand pair; channel properties depend on expression system and connexin stoichiometry.	PubMed and Europe PMC queried; aliases GJA3/Cx46/connexin46, GJA1/Cx43/connexin43, heterotypic, heteromeric, hemichannel, gap junction; direct electrophysiology and channel-formation evidence checked.
glu-nrxn1_cbln1 grid2	Glu-NRXN1_CBLN1 Grid2	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=Glu-NRXN1_CBLN1%20Grid2;https://europepmc.org/search?query=Glu-NRXN1_CBLN1%20Grid2;https://pubmed.ncbi.nlm.nih.gov/27418511/;https://europepmc.org/article/MED/27418511;https://pubmed.ncbi.nlm.nih.gov/20537373/;https://europepmc.org/article/MED/20537373;https://pubmed.ncbi.nlm.nih.gov/29782851/;https://europepmc.org/article/MED/29782851	mouse; recombinant mammalian systems; cerebellar primary cultures	primary direct binding, adhesion, structural bridge, and receptor-dependent function	Primary structural, binding, cell-adhesion, and mouse cerebellar synaptogenesis studies support a β-neurexin-1–Cbln1–GluD2/GRID2 trans-synaptic bridge; Cbln1 binds GRID2 and simultaneously organizes neurexin, with receptor-dependent synapse function.	This is a trans-synaptic adhesion/organizer complex rather than a conventional soluble agonist edge; neurexin isoform, alternative splice insert, Cbln1 glycosylation/hexamer state, and species/cell-context dependence require retention.	aliases=glu-nrxn1_cbln1 grid2;ligand_aliases=NRXN1beta;Nrxn1;CBLN1;Cbln1;cerebellin-1;receptor_aliases=GRID2;GluD2;GluRdelta2;complexes=searched beta-neurexin-Cbln1-GluD2 ternary bridge;processed_forms=searched secreted Cbln1;glycoforms;hexamer;structures=cryo-EM;X-ray;binding;adhesion;assays=primary structural;cell binding;synaptogenesis;receptor-dependent function;PubMed=queried;EuropePMC=queried;targeted_web=queried;negative=family-only and expression-only hits not transferred
gphb5_gpha2 tshr	GPHB5_GPHA2 Tshr	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=GPHB5_GPHA2%20Tshr;https://europepmc.org/search?query=GPHB5_GPHA2%20Tshr;https://pubmed.ncbi.nlm.nih.gov/12045258/;https://europepmc.org/article/MED/12045258;https://pubmed.ncbi.nlm.nih.gov/16210345/;https://europepmc.org/article/MED/16210345	human thyrostimulin and rat/recombinant mammalian systems	primary direct binding and receptor activation	The GPHB5-GPHA2 thyrostimulin heterodimer was shown to bind and activate TSHR, increasing cAMP and producing thyroid-axis effects; high-affinity/saturable TSHR binding was also reported.	The ligand is a processed heterodimer and assay systems include recombinant and non-human models; species-specific potency may differ.	aliases=GPHB5_GPHA2 Tshr,gene symbols,protein names and canonical complex notation;processed_forms=searched mature ligands, precursors, cleavage products, peptide chains and isoforms;complexes=searched receptor subunits, holoreceptors, co-receptors, heterodimers and adaptor complexes;structures=searched receptor reconstitution, binding interfaces, affinity, SPR, co-IP and functional receptor-dependence;PubMed+EuropePMC=exact-symbol, alias, processed-form and family-aware queries;citation_trails=followed relevant primary-paper and review references;negative=expression, pathway, network and noncognate-family co-occurrence were not counted.
