path_expression	route_tier	missing_layers	intracellular_status	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_node_id	input_evidence_type	route_linkage_status	causal_status	traversal_status	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	source_scope	curation_status	expansion_id	source_queue_id	known_layers	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	output_label	pathway_name	output_evidence_type	evidence_ids	source_evidence_record_id	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	primary_locator	citation_note	evidence_summary	limitations	route_evidence_id
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0544	M21B-DOWNSTREAM:00673	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE08929	PGI2/iloprost	M21B-E001514	NODE09415	PTGIR/IP	M21B-E003330	NODE04283	GNAS	PGI2/iloprost-PTGIR/IP-GNAS-associated adenylate-cyclase and cAMP output	PGI2-IP-GNAS-cAMP-output	composite_primary_receptor_gprotein_route_output	M21B-E001514;M21B-EVID-001457;M21B-DOWNSTREAM-EVID:001135;M21B-E003330;M21B-EVID-003273;PMID:7511597	M21B-DOWNSTREAM-EVID:001135	second_messenger_readout	as stated in primary model/assay	PTGIR/IP-expressing cells with PGI2/iloprost binding and cAMP assays	Extracellular PGI2/iloprost engagement of PTGIR/IP; GNAS-associated stimulatory cAMP output	No SCI transfer inferred; receptor-expression assay context only	Primary evidence supports prostacyclin-receptor activation with receptor-dependent cAMP signaling. The overlay connects this output to the existing GNAS continuation without asserting a terminal TF or target gene.	PGI2/iloprost binding and cAMP accumulation assays in PTGIR/IP-expressing cells	activating	PMID:7511597	Primary prostacyclin receptor and receptor-proximal output study	Primary evidence supports PGI2/iloprost activation of PTGIR/IP and receptor-dependent cAMP output. The overlay connects the measured second-messenger route to the existing GNAS continuation without asserting a terminal transcriptional endpoint.	Preserve ligand-analogue and receptor-expression contexts; do not infer tissue-specific PTGIR output, universal GNAS coupling, SCI transfer or terminal gene expression.	LITEXP:000544
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0545	M21B-DOWNSTREAM:00681	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE00453	alpha-MSH	M21B-E001533	NODE06847	MC4R/MC4 melanocortin receptor	M21B-E003370	NODE04283	GNAS	alpha-MSH-MC4R-GNAS-associated adenylate-cyclase and cAMP output	alpha-MSH-MC4R-GNAS-cAMP-output	composite_primary_receptor_gprotein_route_output	M21B-E001533;M21B-EVID-001476;M21B-DOWNSTREAM-EVID:001146;M21B-E003370;M21B-EVID-003313;PMID:8392067	M21B-DOWNSTREAM-EVID:001146	second_messenger_readout	as stated in primary model/assay	COS-1 cells transiently and L-cells stably expressing MC4R with alpha-MSH agonist pharmacology and cAMP accumulation	Extracellular alpha-MSH engagement of MC4R; GNAS-associated stimulatory cAMP output	No SCI transfer inferred; receptor-expression assay context only	Primary evidence supports alpha-MSH activation of MC4R with receptor-dependent cAMP accumulation. The overlay connects this output to the existing GNAS continuation without asserting a terminal TF or target gene.	Alpha-MSH agonist pharmacology and cAMP accumulation in MC4R-expressing cells	activating	PMID:8392067	Primary melanocortin receptor and receptor-proximal output study	Primary evidence supports alpha-MSH activation of MC4R and receptor-dependent cAMP output. The overlay connects the measured second-messenger route to the existing GNAS continuation without asserting a terminal transcriptional endpoint.	Preserve receptor-expression and agonist-context limitations; do not infer tissue-specific MC4R output, universal GNAS coupling, SCI transfer or terminal gene expression.	LITEXP:000545
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0546	M21B-DOWNSTREAM:00682	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE08921	PGE2/prostaglandin E2	M21B-E001536	NODE09409	PTGER3/EP3 prostaglandin E receptor	M21B-E001875	NODE04268	GNAI	PGE2-EP3-GNAI-associated inhibitory adenylate-cyclase and cAMP output	PGE2-EP3-Gi-cAMP-inhibition-output	composite_primary_receptor_gprotein_route_output	M21B-E001536;M21B-EVID-001479;M21B-DOWNSTREAM-EVID:001147;M21B-E001875;M21B-EVID-001818;PMID:8135729; PMID:8307176	M21B-DOWNSTREAM-EVID:001147	second_messenger_readout	human	Human EP3 isoforms in COS-1 cells with PGE2 binding, competition pharmacology and forskolin-stimulated cAMP inhibition	Extracellular PGE2 engagement of EP3; GNAI-associated inhibitory cAMP output	No SCI transfer inferred; cloned receptor-expression context only	Primary evidence supports PGE2 activation of EP3 with receptor-dependent inhibition of forskolin-stimulated cAMP. The overlay connects this output to the existing GNAI continuation without asserting a terminal TF or target gene.	PGE2 binding and competition, forskolin-stimulated cAMP inhibition and receptor-isoform assays	inhibitory	PMID:8135729; PMID:8307176	Primary EP3 cloning and receptor-proximal signaling studies	Primary evidence supports PGE2 activation of EP3 and receptor-dependent inhibitory cAMP output. The overlay connects the measured branch to the existing GNAI continuation without asserting a terminal transcriptional endpoint.	Preserve EP3 splice-isoform and inhibitory cAMP polarity; do not infer identical coupling across EP3 isoforms, SCI transfer or terminal gene expression.	LITEXP:000546
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0547	M21B-DOWNSTREAM:00683	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE08921	PGE2/prostaglandin E2	M21B-E001537	NODE09410	PTGER4/EP4 prostaglandin E receptor	M21B-E001876	NODE04283	GNAS	PGE2-EP4-GNAS-associated adenylate-cyclase and cAMP output	PGE2-EP4-GNAS-cAMP-output	composite_primary_receptor_gprotein_route_output	M21B-E001537;M21B-EVID-001480;M21B-DOWNSTREAM-EVID:001148;M21B-E001876;M21B-EVID-001819;PMID:11444589; PMID:10952683	M21B-DOWNSTREAM-EVID:001148	second_messenger_readout	human; canine	Canine EP4 in CHO-K1 cells and recombinant human EP4 in HEK-293 cells with PGE2 binding and cAMP assays	Extracellular PGE2 engagement of EP4; GNAS-associated stimulatory cAMP output	No SCI transfer inferred; recombinant receptor-expression context only	Primary evidence supports PGE2 activation of EP4 with receptor-dependent cAMP accumulation. The overlay connects this output to the existing GNAS continuation without asserting a terminal TF or target gene.	PGE2 radioligand binding, competition pharmacology and cAMP accumulation in EP4-expressing cells	activating	PMID:11444589; PMID:10952683	Primary EP4 binding and receptor-proximal signaling studies	Primary evidence supports PGE2 activation of EP4 and receptor-dependent cAMP output. The overlay connects the measured second-messenger route to the existing GNAS continuation without asserting a terminal transcriptional endpoint.	Preserve species and receptor-expression contexts; do not infer universal GNAS coupling, tissue-specific EP4 output, SCI transfer or terminal gene expression.	LITEXP:000547
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0548	M21B-DOWNSTREAM:00684	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE11501	U46619/thromboxane A2 analog	M21B-E001539	NODE10878	TBXA2R/TP thromboxane receptor	M21B-E003356	NODE04282	GNAQ/GNA11	U46619-TBXA2R/TP-GNAQ/GNA11-associated calcium-activated ion-channel output	U46619-TP-GQ-calcium-channel-output	composite_primary_receptor_gprotein_route_output	M21B-E001539;M21B-EVID-001482;M21B-DOWNSTREAM-EVID:001149;M21B-E003356;M21B-EVID-003299;PMID:1825698	M21B-DOWNSTREAM-EVID:001149	second_messenger_readout	human; Xenopus laevis	Human platelet/placenta TP cDNA expressed in COS-7 cells and Xenopus oocytes with thromboxane-analogue binding and agonist-evoked calcium-activated chloride current	Extracellular U46619 engagement of TBXA2R/TP; GNAQ/GNA11-associated calcium-linked ion-channel output	No SCI transfer inferred; recombinant receptor-expression context only	Primary evidence supports thromboxane-analogue activation of TP with receptor-dependent calcium-linked ion-channel output. The overlay connects this output to the existing GNAQ/GNA11 continuation without asserting a terminal TF or target gene.	U46619 binding and agonist-evoked calcium-activated chloride-current assays in TP-expressing systems	activating	PMID:1825698	Primary thromboxane receptor cloning and functional signaling study	Primary evidence supports U46619 activation of TBXA2R/TP and receptor-dependent calcium-linked ion-channel output. The overlay connects the measured branch to the existing GNAQ/GNA11 continuation without asserting a terminal transcriptional endpoint.	Preserve thromboxane-analogue, species and heterologous-expression contexts; do not infer platelet-specific output, universal GNAQ/GNA11 coupling, SCI transfer or terminal gene expression.	LITEXP:000548
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0549	M21B-DOWNSTREAM:00697	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE00011	2-Arachidonoylglycerol/2-AG	M21B-E001553	NODE02268	CNR1/CB1 cannabinoid receptor	M21B-E003945	NODE04271	GNAI/O/Z	2-AG-CB1-GNAI/O/Z-associated cannabinoid-receptor calcium output	2-AG-CB1-GIO-calcium-output	composite_primary_receptor_gprotein_route_output	M21B-E001553;M21B-EVID-001496;M21B-DOWNSTREAM-EVID:001166;M21B-E003945;M21B-EVID-003888;PMID:9915812	M21B-DOWNSTREAM-EVID:001166	second_messenger_readout	rat; mouse	Cannabinoid-responsive neuronal cells with CB1-dependent 2-AG concentration-response, antagonist/desensitization and intracellular calcium assays	Extracellular 2-AG engagement of CNR1/CB1; GNAI/O/Z-associated receptor-dependent calcium output	No SCI transfer inferred; neuronal receptor-expression context only	Primary evidence supports 2-AG activation of CB1 with receptor-dependent intracellular calcium response. The overlay connects this output to the existing GNAI/O/Z continuation without asserting a terminal TF or target gene.	2-AG concentration-response, cannabinoid antagonist/desensitization controls and intracellular calcium assays	activating	PMID:9915812	Primary endogenous cannabinoid ligand and CB1 functional study	Primary evidence supports 2-AG activation of CNR1/CB1 and receptor-dependent calcium output. The overlay connects the measured second-messenger route to the existing GNAI/O/Z continuation without asserting a terminal transcriptional endpoint.	Preserve 2-AG form and cannabinoid-responsive neuronal assay context; do not infer universal GNAI/O/Z coupling, SCI transfer or terminal gene expression.	LITEXP:000549
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0550	M21B-DOWNSTREAM:00704	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE11076	TIP39/tuberoinfundibular peptide 39	M21B-E001560	NODE09426	PTH2R/PTH receptor 2	M21B-E001900	NODE04283	GNAS	TIP39-PTH2R-GNAS-associated adenylate-cyclase and cAMP output	TIP39-PTH2R-GNAS-cAMP-output	composite_primary_receptor_gprotein_route_output	M21B-E001560;M21B-EVID-001503;M21B-DOWNSTREAM-EVID:001177;M21B-E001900;M21B-EVID-001842;PMID:12559132	M21B-DOWNSTREAM-EVID:001177	second_messenger_readout	human; mouse; rat	Human, mouse and rat TIP39/PTH2R expression systems with adenylyl-cyclase and intracellular calcium assays; primary dorsal-root-ganglion neurons	Extracellular TIP39 engagement of PTH2R; GNAS-associated adenylyl-cyclase/cAMP output with calcium response	No SCI transfer inferred; PTH2R and primary-neuron context only	Primary evidence supports TIP39 activation of PTH2R with receptor-dependent adenylyl-cyclase and calcium signaling. The overlay connects this output to the existing GNAS continuation without asserting a terminal TF or target gene.	TIP39 structure-activity, PTH2R activation, adenylyl-cyclase/cAMP and calcium-mobilization assays	activating	PMID:12559132	Primary TIP39 ligand, PTH2R and second-messenger study	Primary evidence supports TIP39 activation of PTH2R with receptor-dependent cAMP and calcium output. The overlay connects the measured route to the existing GNAS continuation without asserting a terminal transcriptional endpoint.	Preserve TIP39/PTH2R species and primary-neuron contexts; do not infer universal GNAS coupling, SCI transfer or terminal gene expression.	LITEXP:000550
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0551	M21B-DOWNSTREAM:00711	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE07637	N-formyl-Met-Leu-Phe/fMLF	M21B-E001571	NODE03809	FPR1/formyl peptide receptor	M21B-E001812	NODE04276	GNAI2/GNAI3	fMLF-FPR1-GNAI2/GNAI3-associated phosphoinositide and intracellular calcium output	fMLF-FPR1-GI2-GI3-calcium-output	composite_primary_receptor_gprotein_route_output	M21B-E001571;M21B-EVID-001514;M21B-DOWNSTREAM-EVID:001190;M21B-E001812;M21B-EVID-001755;PMID:1700779; PMCID:PMC186394	M21B-DOWNSTREAM-EVID:001190	second_messenger_readout	rabbit; human	Rabbit neutrophil FPR1 cDNA expressed in Xenopus oocytes with fMLF-dependent calcium mobilization and binding; human FPR1 ligand-binding-region validation	Extracellular fMLF engagement of FPR1; GNAI2/GNAI3-associated phosphoinositide and calcium output	No SCI transfer inferred; formyl-peptide receptor expression and neutrophil context only	Primary evidence supports fMLF binding and FPR1-dependent calcium mobilization. The overlay connects this output to the existing GNAI2/GNAI3 continuation without asserting a terminal TF or target gene.	fMLF binding and calcium-mobilization assays in FPR1-expressing oocytes and formyl-peptide receptor systems	activating	PMID:1700779; PMCID:PMC186394	Primary formyl-peptide receptor cloning and functional study	Primary evidence supports fMLF activation of FPR1 and receptor-dependent calcium output. The overlay connects the measured second-messenger route to the existing GNAI2/GNAI3 continuation without asserting a terminal transcriptional endpoint.	Preserve rabbit/human receptor and heterologous-cell contexts; do not infer universal GNAI2/GNAI3 coupling, SCI transfer or terminal gene expression.	LITEXP:000551
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0552	M21B-DOWNSTREAM:00712	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE09349	Protons/H+	M21B-E001572	NODE04407	GPR65/TDAG8	M21B-E003367	NODE04283	GNAS	proton-GPR65/TDAG8-GNAS-associated acidic-pH cAMP output	Proton-GPR65-GNAS-acidic-pH-cAMP-output	composite_primary_receptor_gprotein_route_output	M21B-E001572;M21B-EVID-001515;M21B-DOWNSTREAM-EVID:001192;M21B-E003367;M21B-EVID-003310;PMID:15618224; PMID:15665078	M21B-DOWNSTREAM-EVID:001192	second_messenger_readout	human; rodent	Human or rodent GPR65/TDAG8-expressing CHO/transfected cells and receptor-deficient immune-cell systems with acidic-pH cAMP assays	Extracellular proton sensing by GPR65/TDAG8; GNAS-associated acidic-pH-dependent cAMP output	No SCI transfer inferred; immune-cell and receptor-expression contexts only	Primary evidence supports acidic-pH activation of GPR65/TDAG8 with receptor-dependent cAMP accumulation. The overlay connects this output to the existing GNAS continuation without asserting a terminal TF or target gene.	Acidic-pH stimulation, receptor-deficiency comparisons and cAMP assays in GPR65/TDAG8 systems	activating	PMID:15618224; PMID:15665078	Primary proton-sensing GPCR and receptor-proximal signaling studies	Primary evidence supports proton activation of GPR65/TDAG8 and receptor-dependent acidic-pH cAMP output. The overlay connects the measured route to the existing GNAS continuation without asserting a terminal transcriptional endpoint.	Preserve acidic-pH conditions and immune-cell/recombinant contexts; do not infer universal GNAS coupling, SCI transfer or terminal gene expression.	LITEXP:000552
ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	transcription_factor|target_gene_expression	source_supported								primary_literature_route_expansion	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	composite_primary_evidence	curated_primary_route	M21B-LITEXP-0553	M21B-DOWNSTREAM:00785	ligand|receptor|intracellular_continuation|second_messenger_readout	NODE11383	TRH	M21B-E001693	NODE11385	TRHR/TRH receptor 1	M21B-E003321	NODE04282	GNAQ/GNA11	TRH-TRHR-GNAQ/GNA11-associated phospholipase-C and intracellular calcium output	TRH-TRHR-GQ-PLC-calcium-output	composite_primary_receptor_gprotein_route_output	M21B-E001693;M21B-EVID-001636;M21B-DOWNSTREAM-EVID:001286;M21B-E003321;M21B-EVID-003264;PMID:7487872; PMID:8838148	M21B-DOWNSTREAM-EVID:001286	second_messenger_readout	human; rat; mouse	Human and rat TRHR-expressing HEK293 cells, GH3 pituitary cells and mouse-TRHR transfectants with TRH calcium and PKC-linked signaling assays	Extracellular TRH engagement of TRHR; GNAQ/GNA11-associated phospholipase-C and intracellular calcium output	No SCI transfer inferred; pituitary and receptor-expression contexts only	Primary evidence supports TRH activation of TRHR with receptor-dependent calcium signaling. The overlay connects this output to the existing GNAQ/GNA11 continuation without asserting a terminal TF or target gene.	TRH stimulation, intracellular calcium, PKC-linked reporter and receptor-desensitization assays	activating	PMID:7487872; PMID:8838148	Primary TRH receptor and receptor-proximal signaling studies	Primary evidence supports TRH activation of TRHR and receptor-dependent PLC/calcium output. The overlay connects the measured second-messenger route to the existing GNAQ/GNA11 continuation without asserting a terminal transcriptional endpoint.	Preserve species, pituitary and recombinant-expression contexts; do not infer universal GNAQ/GNA11 coupling, SCI transfer or terminal gene expression.	LITEXP:000553
