ordinal	review_id	pair_key	verdict	source_locators	species_support	assay_or_result	limitations
215	M20A-CELLCHAT-REMAINING-1767	wnt5b fzd1	medium	https://pubmed.ncbi.nlm.nih.gov/25605717/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4358105/;https://doi.org/10.1038/npre.2009.2765.1	recombinant WNT5B and human FZD1; bovine Go in reconstituted assay; murine 32D system for separate mapping	Purified WNT5B bound the FZD1 cysteine-rich domain by bio-layer interferometry, weakly (KD >40 nM). A separate bacterial-membrane reconstitution used human FZD1 and showed WNT5B-dependent Go guanine-nucleotide exchange, establishing receptor-dependent activation.	The CRD assay is not a full-length holoreceptor and the affinity is weak. The reconstitution uses detergent-solubilized receptor, bovine Go, and WNT preparation carrier effects; it does not resolve LRP5/6, ROR, or RYK co-receptor composition.
216	M20A-CELLCHAT-REMAINING-1769	wnt5b fzd2	medium	https://pubmed.ncbi.nlm.nih.gov/25605717/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4358105/;https://pubmed.ncbi.nlm.nih.gov/27036869/;https://doi.org/10.1152/ajplung.00226.2015	recombinant WNT5B and FZD2 CRD; human MRC-5 and primary lung fibroblasts; murine 32D system for separate mapping	Purified WNT5B bound the FZD2 CRD by bio-layer interferometry, weakly (KD >40 nM). In human lung fibroblasts, recombinant WNT5B induced IL-6/CXCL8 release and FZD2 knockdown prevented the response, supporting FZD2-dependent noncanonical function.	The biochemical binding is weak and CRD-only. The fibroblast study is disease/cell-context specific and receptor dependence is inferred from knockdown rather than a purified WNT5B–full-length FZD2 binding assay; co-receptor composition is unresolved.
217	M20A-CELLCHAT-REMAINING-1770	wnt5b fzd3	medium	https://www.sciencedirect.com/science/article/pii/S0898656824002985;https://doi.org/10.1016/j.cellsig.2024.111330;https://pubmed.ncbi.nlm.nih.gov/39094673/	human A549, SPC, and H157 NSCLC cells; mouse xenograft model for downstream phenotype	The NSCLC study reports endogenous WNT5B–FZD3 co-immunoprecipitation. FZD3 knockdown reduced WNT5B-induced DVL3 phosphorylation and ATF2/PCP-JNK signaling, while other FZD knockdowns did not show the same effect, supporting receptor-dependent function.	The interaction is cellular co-IP rather than purified affinity or structure, and the disease-model/cell-context specificity limits generalization. No LRP5/6, ROR, RYK, or receptor-complex stoichiometry was resolved.
218	M20A-CELLCHAT-REMAINING-1771	wnt5b fzd5	medium	https://pubmed.ncbi.nlm.nih.gov/25605717/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4358105/;https://pubmed.ncbi.nlm.nih.gov/29576390/;https://pmc.ncbi.nlm.nih.gov/articles/PMC5930001/	recombinant WNT5B and FZD5 CRD; mouse retinal tissue/cultures; murine 32D system for separate mapping	Purified WNT5B showed intermediate-to-strong binding to the FZD5 CRD by bio-layer interferometry (KD about 5–22 nM). In mouse retina, Wnt5a/5b loss and combined Fzd4/Fzd5 loss produce the same ectopic outer-plexiform-layer phenotype, and Wnt5b single loss is phenotypic, supporting a noncanonical FZD4/FZD5 receptor context.	The direct biochemical evidence is CRD-only. The retinal functional genetics combines Wnt5a with Wnt5b and Fzd4 with Fzd5, so it does not assign the full phenotype uniquely to WNT5B–FZD5 or resolve receptor stoichiometry.
219	M20A-CELLCHAT-REMAINING-1773	wnt5b fzd7	medium	https://pubmed.ncbi.nlm.nih.gov/25605717/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4358105/;https://pmc.ncbi.nlm.nih.gov/articles/PMC7487719/	recombinant WNT5B and FZD7 CRD; human breast-cancer cell lines; murine 32D system for separate mapping	Purified WNT5B bound the FZD7 CRD by bio-layer interferometry, weakly (KD >40 nM). A human breast-cancer study further links FZD7 to WNT5A/B-associated noncanonical stemness and reports Wnt5b-dependent downstream effects, although its antibody/co-IP experiments combine WNT5A and WNT5B.	The biochemical binding is weak and CRD-only. The cancer functional study does not separate WNT5B from WNT5A in the interaction assay and is cell-context specific; the exact full-length receptor complex and co-receptors remain unresolved.
220	M20A-EXT-0921	bgn tlr4	medium	PMID:41465449 https://pubmed.ncbi.nlm.nih.gov/41465449/; PMID:32050430 https://pubmed.ncbi.nlm.nih.gov/32050430/	human ESCC cell lines, human MSC-derived CAF-like cells	Recombinant human BGN increased ESCC proliferation and migration, and TLR4 blockade abrogated the effects; the study also used BGN knockdown and TLR4 readouts.	Evidence is receptor-dependent activation rather than purified-protein binding, and the cancer-stroma assay does not define a universal TLR4 complex.
221	M20A-EXT-0938	bmp2 acvr2a_bmpr1a	medium	PMID:28977600 https://pubmed.ncbi.nlm.nih.gov/28977600/	human granulosa-lutein cells	BMP2-induced SMAD1/5/8 signaling and PTX3 suppression were reversed by knockdown of ALK2/ALK3 and BMPR2/ACVR2A, directly supporting the submitted type-I/type-II receptor scope.	The study uses receptor knockdown and pathway output rather than purified binding; ACVR1/BMPR1A and ACVR2A/BMPR2 are not separated into one uniquely proven tetramer.
222	M20A-EXT-1016	cadm1 crtam	medium	PMID:24687959 https://pubmed.ncbi.nlm.nih.gov/24687959/; PMID:19799932 https://pubmed.ncbi.nlm.nih.gov/19799932/	mouse gut and thymus immune systems	Primary mouse studies identify CADM1 as the CRTAM ligand and show that blocking or disrupting CRTAM-CADM1 interaction alters T-cell/DC residency or thymic growth.	The studies focus on immune-cell adhesion and residency, not a quantitative purified-protein affinity measurement.
223	M20A-EXT-1017	cadm3 cadm1	medium	PMID:21456004 https://pubmed.ncbi.nlm.nih.gov/21456004/; PMID:33397712 https://pubmed.ncbi.nlm.nih.gov/33397712/	zebrafish and mouse neural systems	Zebrafish molecular assays show heterophilic Cadm3 binding to Cadm1; mouse genetic/neural work further examines Cadm1-Cadm3 adhesion and function.	Species and tissue context differ, and the pair is homophilic/heterophilic adhesion-system dependent.
224	M20A-LIANA-REMAINING-0008	bmp3 acvr2b	medium	PMID:22074949 https://pubmed.ncbi.nlm.nih.gov/22074949/	mouse bone-marrow stromal cells	BMP3 suppressed osteoblast differentiation, and Acvr2b knockdown reduced the BMP3 effect; the paper explicitly assigns the functional interaction to ACVR2B.	The study defines receptor-dependent function rather than a purified binding constant and does not resolve a type-I partner.
