batch_rank	tf_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	identity_source_count	tflink_target_count	identifier_flags	selection_reason	evidence_readiness
1	tet2	TET2;Tet2	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	5	23647		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
2	tcf7l1	TCF7L1;Tcf7l1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	19122		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
3	setdb1	SETDB1;Setdb1	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	5	19086		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
4	zfx	ZFX;Zfx	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	16412		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
5	mbd4	MBD4;Mbd4	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	16091		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
6	ebf2	EBF2;Ebf2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	14888		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
7	isx	ISX;Isx	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	14564		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
8	ascl2	ASCL2;Ascl2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	14210		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
9	gatad2a	GATAD2A	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	14198		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
10	arid2	ARID2;Arid2	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	13776		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
11	rag1	RAG1;Rag1	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	5	13520		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
12	gatad2b	GATAD2B;Gatad2b	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	13325		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
13	zbtb48	ZBTB48;Zbtb48	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	13134		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
14	arnt2	ARNT2;Arnt2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	12833		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
15	zfp57	ZFP57;Zfp57	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	12062		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
