edge_source_id	edge_id	paper_id	observation_id	claim_id	support_kind	species_support	source_scope	confidence_tier	citation_note	notes	module	evidence_id	source_kind	source_locator	source_locator_status	evidence_summary	limitations	evidence_layer	evidence_exportable	consolidation_note
SRC000001	M20B-E000370		REGISTER:M20B-EVID-000370		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-000370; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-000370	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=needs_manual_review. Focused manual re-review promoted to medium: Contactin-2 and CNTNAP2 ectodomains bound directly in biochemical/biophysical assays with specific low-nanomolar interaction, and disruption of the interaction altered contact-mediated axonal growth/adhesion phenotypes.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000002	M20B-E000398		REGISTER:M20B-EVID-000398		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-000398; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-000398	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=needs_manual_review. Focused manual re-review promoted to medium: Human CXCR2 ligand-binding/competition and NanoBRET or downstream G-protein/β-arrestin/internalization assays included the exact CXCL3 ligand.	cellchat_priority_signaling	receptor_proximal_or_pathway	true	Validated Phase 2 supplemental evidence is stored at the receptor-proximal layer; frozen Module 20A LR edge classification remains in the edge register.
SRC000003	M20B-E000472		REGISTER:M20B-EVID-000472		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-000472; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-000472	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=needs_manual_review. Focused manual re-review promoted to medium: Exact FLRT/ADGRL or FLRT/UNC5 ectodomain interactions were measured by cell-binding, SPR/biophysical, structural, or adhesion/repulsive-guidance assays.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000004	M20B-E000475		REGISTER:M20B-EVID-000475		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-000475; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-000475	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=needs_manual_review. Focused manual re-review promoted to medium: Exact FLRT/ADGRL or FLRT/UNC5 ectodomain interactions were measured by cell-binding, SPR/biophysical, structural, or adhesion/repulsive-guidance assays.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000005	M20B-E000478		REGISTER:M20B-EVID-000478		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-000478; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-000478	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=needs_manual_review. Focused manual re-review promoted to medium: Exact FLRT/ADGRL or FLRT/UNC5 ectodomain interactions were measured by cell-binding, SPR/biophysical, structural, or adhesion/repulsive-guidance assays.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000006	M20B-E000726		REGISTER:M20B-EVID-000726		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-000726; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-000726	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=needs_manual_review. Focused manual re-review promoted to medium: A mature GDF11–ACVR2B–TGFBR1/ALK5 complex was structurally resolved and linked to receptor activation/reporting assays, providing exact ligand/type-II/type-I complex evidence.	cellchat_priority_signaling	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000007	M20B-E000731		REGISTER:M20B-EVID-000731		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-000731; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-000731	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=needs_manual_review. Focused manual re-review promoted to medium: GDF5 receptor-reconstitution assays directly supported the BMPR1B_ACVR2A complex, with signaling readouts and corroborating human chondrocyte or neuronal functional assays.	cellchat_priority_signaling	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000008	M20B-E001461		REGISTER:M20B-EVID-001461		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-001461; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001461	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=reject_pair. Independent non-LR audit restored this as medium-confidence LR evidence: Neurexin-1/2/3 extracellular domains bind latrophilin/ADGRL1 with nanomolar or measurable direct affinity and form a Ca2+-dependent intercellular adhesion complex; the cited study directly tests neurexin isoforms and latrophilin.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000009	M20B-E001470		REGISTER:M20B-EVID-001470		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-001470; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001470	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=reject_pair. Independent non-LR audit restored this as medium-confidence LR evidence: Neurexin-1/2/3 extracellular domains bind latrophilin/ADGRL1 with nanomolar or measurable direct affinity and form a Ca2+-dependent intercellular adhesion complex; the cited study directly tests neurexin isoforms and latrophilin.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000010	M20B-E001479		REGISTER:M20B-EVID-001479		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-001479; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001479	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=reject_pair. Independent non-LR audit restored this as medium-confidence LR evidence: Neurexin-1/2/3 extracellular domains bind latrophilin/ADGRL1 with nanomolar or measurable direct affinity and form a Ca2+-dependent intercellular adhesion complex; the cited study directly tests neurexin isoforms and latrophilin.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000011	M20B-E001576		REGISTER:M20B-EVID-001576		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-001576; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001576	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit restored this as medium-confidence LR evidence: PTGDS produces the processed mediator PGD2, which directly binds the submitted cognate DP1/PTGDR or DP2/PTGDR2 prostaglandin receptor.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000012	M20B-E001576		REGISTER:M20B-EVID-005350-P2-RELAY		primary_experiment	human	contextual_support	high	PMID:15765187	register_evidence_id=M20B-EVID-005350-P2-RELAY; original_source_kind=primary_recovery; original_support_kind=validated_primary_receptor_proximal_assay; source_locator_status=stable	20B	M20B-EVID-005350-P2-RELAY	primary_recovery	PMID:15765187; https://pubmed.ncbi.nlm.nih.gov/15765187/	stable	PGD2 stimulation of the DP1/PTGDR receptor increased intracellular cAMP in human osteoblasts.	Primary osteoblast model and pharmacological agonist attribution; no purified PGD2-DP1 affinity or terminal TF is established.	receptor_proximal_relay	true	Batch 307 keeps DP1/DP2 receptor subtype signaling and the AMHR2-BMPR1A heteromeric complex distinct; no direct ligand-to-type-I receptor interaction is inferred from complex recruitment evidence.
SRC000013	M20B-E001576		REGISTER:M20B-EVID-005351-P2-FUNC		primary_experiment	human	contextual_support	medium	PMID:15765187	register_evidence_id=M20B-EVID-005351-P2-FUNC; original_source_kind=primary_recovery; original_support_kind=validated_primary_function_or_program_assay; source_locator_status=stable	20B	M20B-EVID-005351-P2-FUNC	primary_recovery	PMID:15765187; https://pubmed.ncbi.nlm.nih.gov/15765187/	stable	DP1 activation reduced osteoprotegerin production in human osteoblasts, providing a bone-cell functional output of the PGD2-DP1 branch.	Functional output is osteoblast-specific and does not establish a terminal TF or SCI transfer.	downstream_or_functional	true	Batch 307 keeps DP1/DP2 receptor subtype signaling and the AMHR2-BMPR1A heteromeric complex distinct; no direct ligand-to-type-I receptor interaction is inferred from complex recruitment evidence.
SRC000014	M20B-E001577		REGISTER:M20B-EVID-001577		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-001577; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001577	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit restored this as medium-confidence LR evidence: PTGDS produces the processed mediator PGD2, which directly binds the submitted cognate DP1/PTGDR or DP2/PTGDR2 prostaglandin receptor.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000015	M20B-E001577		REGISTER:M20B-EVID-005352-P2-RELAY		primary_experiment	human	contextual_support	high	PMID:12466225; PMID:15765187	register_evidence_id=M20B-EVID-005352-P2-RELAY; original_source_kind=primary_recovery; original_support_kind=validated_primary_receptor_proximal_assay; source_locator_status=stable	20B	M20B-EVID-005352-P2-RELAY	primary_recovery	PMID:12466225; PMID:15765187; https://pubmed.ncbi.nlm.nih.gov/12466225/	stable	PGD2 activated CRTH2/DP2 through Gi/o-coupled signaling and reduced cAMP in recombinant receptor assays; CRTH2 stimulation increased intracellular calcium in human osteoblasts.	Recombinant and primary-cell pharmacology; DP2/CRTH2 is distinct from DP1 and no terminal TF is established.	receptor_proximal_relay	true	Batch 307 keeps DP1/DP2 receptor subtype signaling and the AMHR2-BMPR1A heteromeric complex distinct; no direct ligand-to-type-I receptor interaction is inferred from complex recruitment evidence.
SRC000016	M20B-E001577		REGISTER:M20B-EVID-005353-P2-FUNC		primary_experiment	human	contextual_support	medium	PMID:15765187	register_evidence_id=M20B-EVID-005353-P2-FUNC; original_source_kind=primary_recovery; original_support_kind=validated_primary_function_or_program_assay; source_locator_status=stable	20B	M20B-EVID-005353-P2-FUNC	primary_recovery	PMID:15765187; https://pubmed.ncbi.nlm.nih.gov/15765187/	stable	CRTH2/DP2 activation decreased RANKL expression and promoted osteoblast chemotaxis.	Primary bone-cell output and pharmacological subtype attribution; no terminal TF or SCI transfer is established.	downstream_or_functional	true	Batch 307 keeps DP1/DP2 receptor subtype signaling and the AMHR2-BMPR1A heteromeric complex distinct; no direct ligand-to-type-I receptor interaction is inferred from complex recruitment evidence.
SRC000017	M20B-E001670		REGISTER:M20B-EVID-001670		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-001670; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001670	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit restored this as medium-confidence LR evidence: SELPLG/PSGL-1 directly binds E-selectin or L-selectin and supports selectin-dependent leukocyte tethering/rolling; the exact protein-glycan requirements have been experimentally mapped.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000018	M20B-E001677		REGISTER:M20B-EVID-001677		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-001677; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001677	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=needs_manual_review. Focused manual re-review promoted to medium: Sema7A directly engaged integrin alpha1beta1 in binding/adhesion and signaling assays; blocking/loss altered cytokine and axon responses.	cellchat_remaining_discovery	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000019	M20B-E001724		REGISTER:M20B-EVID-001724		database_curated	mouse	direct_edge	medium		register_evidence_id=M20B-EVID-001724; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001724	frozen_module20a_lr_release		local_only_or_unresolved	Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=needs_manual_review. Focused manual re-review promoted to medium: Ten3 and Lphn2 formed a reciprocal trans-cellular partner in mouse neuronal assays; perturbation altered network assembly in vivo.	cellchat_remaining_discovery	receptor_proximal_or_pathway	true	Frozen Module 20A LR classification remains unchanged; supplemental exact-pair guidance evidence is stored at the receptor-proximal/pathway layer.
SRC000020	M20B-E001776		REGISTER:M20B-EVID-001776		database_curated	mouse	direct_edge	medium	M20A-EXT1-EVID-001;M20A-EXT1-EVID-002;M20A-EXT20-EVID-001	register_evidence_id=M20B-EVID-001776; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001776	frozen_module20a_lr_release		local_only_or_unresolved	Four-worker medium-confidence review completed; no new pair-specific evidence justified an overall promotion, so the existing medium call is retained with its prior source packet and caveats.	cross_source_secreted_simple	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000021	M20B-E001778		REGISTER:M20B-EVID-001778		database_curated	mouse	direct_edge	medium	M20A-EXT1-EVID-004;M20A-EXT1-EVID-014;M20A-EXT20-EVID-002	register_evidence_id=M20B-EVID-001778; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001778	frozen_module20a_lr_release		local_only_or_unresolved	Four-worker medium-confidence review completed; no new pair-specific evidence justified an overall promotion, so the existing medium call is retained with its prior source packet and caveats.	cross_source_secreted_simple	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000022	M20B-E001779		REGISTER:M20B-EVID-001779		database_curated	mouse	direct_edge	medium	M20A-EXT1-EVID-005;M20A-EXT1-EVID-015;M20A-EXT20-EVID-003	register_evidence_id=M20B-EVID-001779; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001779	frozen_module20a_lr_release		local_only_or_unresolved	Four-worker medium-confidence review completed; no new pair-specific evidence justified an overall promotion, so the existing medium call is retained with its prior source packet and caveats.	cross_source_secreted_simple	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000023	M20B-E001780		REGISTER:M20B-EVID-001780		database_curated	mouse	direct_edge	medium	M20A-EXT1-EVID-006;M20A-EXT1-EVID-016;M20A-EXT20-EVID-004	register_evidence_id=M20B-EVID-001780; original_source_kind=frozen_module20a_lr_release; original_support_kind=database_curated; source_locator_status=local_only_or_unresolved	20B	M20B-EVID-001780	frozen_module20a_lr_release		local_only_or_unresolved	Four-worker medium-confidence review completed; no new pair-specific evidence justified an overall promotion, so the existing medium call is retained with its prior source packet and caveats.	cross_source_secreted_simple	ligand_receptor_or_direct_molecular	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
SRC000024	M20B-E001780		REGISTER:M20B-EVID-005344-P2-DIRECT		primary_experiment	both	contextual_support	high	PMID:32415244; PMCID:PMC7229167	register_evidence_id=M20B-EVID-005344-P2-DIRECT; original_source_kind=primary_recovery; original_support_kind=validated_primary_direct_or_interaction_assay; source_locator_status=stable	20B	M20B-EVID-005344-P2-DIRECT	primary_recovery	PMID:32415244; PMCID:PMC7229167; https://pubmed.ncbi.nlm.nih.gov/32415244/	stable	ACKR2 bound CCL2, and the V41A variant showed reduced CCL2 binding and scavenging compared with ACKR2-WT.	ACKR2 is an atypical scavenger receptor; the variant/heterologous-cell system does not establish canonical G-protein signaling.	ligand_receptor_or_direct_molecular	true	Batch 306 preserves ACKR scavenging versus canonical signaling and ROBO receptor-pathway versus functional outputs; no direct molecular edge is inferred from pathway-level records.
