review_id	batch_id	batch_rank	regulator_key	regulator_symbol	species_scope	source_registry	source_record_id	raw_tf_symbol	target_symbol	target_graph_modules	candidate_membership_status	exact_pair_search_url	exact_pair_status	regulator_general_evidence_status	target_cell_presence_status	binding_or_association_status	downstream_expression_or_perturbation_status	downstream_activation_status	upstream_relay_status	disposition	primary_citation	corroborating_citation	near_match_exclusions	review_notes	exportable	canonical_write_performed
public_tf_evidence_batch018_pair_01_1	public_tf_evidence_batch_018	1	nelfe	NELFE/WHSC2	human	TFLink	tflink:human:000896:3d20b39afc7d	NELFE	ACKR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22NELFE%22+AND+%22ACKR2%22+AND+human	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. NELFE is a Pol II pausing/elongation subunit; no queued target edge was established.	false	false
public_tf_evidence_batch018_pair_01_2	public_tf_evidence_batch_018	1	nelfe	NELFE/WHSC2	human	TFLink	tflink:human:000896:3d20b39afc7d	NELFE	ACTR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22NELFE%22+AND+%22ACTR2%22+AND+human	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. NELFE is a Pol II pausing/elongation subunit; no queued target edge was established.	false	false
public_tf_evidence_batch018_pair_01_3	public_tf_evidence_batch_018	1	nelfe	NELFE/WHSC2	human	TFLink	tflink:human:000896:3d20b39afc7d	NELFE	ACVR1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22NELFE%22+AND+%22ACVR1%22+AND+human	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. NELFE is a Pol II pausing/elongation subunit; no queued target edge was established.	false	false
public_tf_evidence_batch018_pair_01_4	public_tf_evidence_batch_018	1	nelfe	NELFE/WHSC2	human	TFLink	tflink:human:000896:3d20b39afc7d	NELFE	ACVR1C	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22NELFE%22+AND+%22ACVR1C%22+AND+human	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. NELFE is a Pol II pausing/elongation subunit; no queued target edge was established.	false	false
public_tf_evidence_batch018_pair_02_1	public_tf_evidence_batch_018	2	dppa2	DPPA2	mouse	TFLink	tflink:mouse:000943:a6a65d290750	Dppa2	Ackr2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Dppa2%22+AND+%22Ackr2%22+AND+mouse	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. DPPA2/4 regulates Dux in mouse ESC models, not the queued targets.	false	false
public_tf_evidence_batch018_pair_02_2	public_tf_evidence_batch_018	2	dppa2	DPPA2	mouse	TFLink	tflink:mouse:000943:a6a65d290750	Dppa2	Ackr3	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Dppa2%22+AND+%22Ackr3%22+AND+mouse	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. DPPA2/4 regulates Dux in mouse ESC models, not the queued targets.	false	false
public_tf_evidence_batch018_pair_02_3	public_tf_evidence_batch_018	2	dppa2	DPPA2	mouse	TFLink	tflink:mouse:000943:a6a65d290750	Dppa2	Actr2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Dppa2%22+AND+%22Actr2%22+AND+mouse	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. DPPA2/4 regulates Dux in mouse ESC models, not the queued targets.	false	false
public_tf_evidence_batch018_pair_02_4	public_tf_evidence_batch_018	2	dppa2	DPPA2	mouse	TFLink	tflink:mouse:000943:a6a65d290750	Dppa2	Acvr1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Dppa2%22+AND+%22Acvr1%22+AND+mouse	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. DPPA2/4 regulates Dux in mouse ESC models, not the queued targets.	false	false
public_tf_evidence_batch018_pair_03_1	public_tf_evidence_batch_018	3	nipbl	NIPBL/SCC2	mouse	TFLink	tflink:mouse:000854:b7d768091431	Nipbl	Abca1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Nipbl%22+AND+%22Abca1%22+AND+mouse	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. NIPBL has cohesin-loading and chromatin-architecture evidence at other loci, not the queued targets.	false	false
public_tf_evidence_batch018_pair_03_2	public_tf_evidence_batch_018	3	nipbl	NIPBL/SCC2	mouse	TFLink	tflink:mouse:000854:b7d768091431	Nipbl	Ackr3	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22Nipbl%22+AND+%22Ackr3%22+AND+mouse	chromatin_or_transcriptional_machinery_database_only_not_promotable	supported_general_or_authoritative_regulator_evidence	not_established_for_exact_pair	TFLink_or_curated_database_membership_only	not_found_for_exact_pair	not_established_for_SCI_target_cell	not_tested_for_exact_pair	retain_noncanonical_regulator_candidate_separately	https://tflink.net/download/#interaction-gmt		General regulator-level evidence at nonqueued loci, orthologs, reverse directions, co-models, and broad chromatin programs was not transferred to this exact pair.	TFLink membership is a search lead only; it does not establish causal direction, target-cell presence, downstream activation, or upstream relay. NIPBL has cohesin-loading and chromatin-architecture evidence at other loci, not the queued targets.	false	false
