review_id	pair_key	pair_label_canonical	final_class	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
M20A-LIANA-REMAINING-0001	alcam nrp1	Alcam Nrp1	non_ligand_receptor	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=alcam%20AND%20nrp1;EuropePMC:https://europepmc.org/search?query=alcam%20AND%20nrp1;PMID:41162433 (PubMed/Europe PMC);PMID:31300520 (PubMed/Europe PMC);PMID:24041818 (PubMed/Europe PMC);PMID:30038556 (PubMed/Europe PMC)	not applicable for exact pair	noncognate_or_non_ligand_receptor_relationship	Searches support a protein complex, intracellular regulator, adhesion partner, antagonist, or noncognate family relationship rather than the submitted extracellular ligand-receptor edge.	The relation may be biologically associated, but it is not the submitted ligand-receptor relationship.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=222; PubMed_hits=4; composite_component_search=no Expanded search verdict=reject_pair.
M20A-LIANA-REMAINING-0002	angpt1 itgb1	Angpt1 Itgb1	low_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=angpt1%20AND%20itgb1;EuropePMC:https://europepmc.org/search?query=angpt1%20AND%20itgb1;PMID:36932062 (PubMed/Europe PMC);PMID:34030460 (PubMed/Europe PMC);PMID:32790115 (PubMed/Europe PMC);PMID:30265241 (PubMed/Europe PMC)	mixed or unresolved; exact submitted species/pair not fully established	fragment_specific_or_complex_context_or_indirect_primary	Concrete alias-expanded co-occurrence or indirect receptor-function evidence was found, but exact pair binding/activation was not established.	Family/database/expression evidence was not treated as exact-pair proof; fragment, co-receptor, precursor, or heteromeric identity remains material.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=327; PubMed_hits=0; composite_component_search=no Expanded search verdict=hold_low.
M20A-LIANA-REMAINING-0003	angptl2 tlr4	Angptl2 Tlr4	low_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=angptl2%20AND%20tlr4;EuropePMC:https://europepmc.org/search?query=angptl2%20AND%20tlr4;PMID:36745138 (PubMed/Europe PMC);PMID:34431038 (PubMed/Europe PMC);PMID:28946139 (PubMed/Europe PMC);PMID:32993399 (PubMed/Europe PMC)	mixed or unresolved; exact submitted species/pair not fully established	fragment_specific_or_complex_context_or_indirect_primary	Concrete alias-expanded co-occurrence or indirect receptor-function evidence was found, but exact pair binding/activation was not established.	Family/database/expression evidence was not treated as exact-pair proof; fragment, co-receptor, precursor, or heteromeric identity remains material.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=181; PubMed_hits=6; composite_component_search=no Expanded search verdict=hold_low.
M20A-EXT-0801	anxa1 dysf	Anxa1 Dysf	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=anxa1%20AND%20dysf;EuropePMC:https://europepmc.org/search?query=anxa1%20AND%20dysf;PMID:39350328 (PubMed/Europe PMC);PMID:33391635 (PubMed/Europe PMC);PMID:33849525 (PubMed/Europe PMC);PMID:23671309 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=82; PubMed_hits=1; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0802	anxa1 egfr	Anxa1 Egfr	low_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=anxa1%20AND%20egfr;EuropePMC:https://europepmc.org/search?query=anxa1%20AND%20egfr;PMID:40470752 (PubMed/Europe PMC);PMID:39253088 (PubMed/Europe PMC);PMID:24103589 (PubMed/Europe PMC);PMID:42162635 (PubMed/Europe PMC)	mixed or unresolved; exact submitted species/pair not fully established	fragment_specific_or_complex_context_or_indirect_primary	Concrete alias-expanded co-occurrence or indirect receptor-function evidence was found, but exact pair binding/activation was not established.	Family/database/expression evidence was not treated as exact-pair proof; fragment, co-receptor, precursor, or heteromeric identity remains material.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=1659; PubMed_hits=31; composite_component_search=no Expanded search verdict=hold_low.
M20A-EXT-0804	anxa1 grm7	Anxa1 Grm7	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=anxa1%20AND%20grm7;EuropePMC:https://europepmc.org/search?query=anxa1%20AND%20grm7;PMID:29055040 (PubMed/Europe PMC);PMID:24517644 (PubMed/Europe PMC);PMID:26650439 (PubMed/Europe PMC);PMID:22852084 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=24; PubMed_hits=0; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0805	anxa1 mtnr1a	Anxa1 Mtnr1a	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=anxa1%20AND%20mtnr1a;EuropePMC:https://europepmc.org/search?query=anxa1%20AND%20mtnr1a;PMID:29055040 (PubMed/Europe PMC);PMID:24517644 (PubMed/Europe PMC);PMID:26650439 (PubMed/Europe PMC);PMID:33367248 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=31; PubMed_hits=0; composite_component_search=no Expanded search verdict=no_evidence.
M20A-LIANA-REMAINING-0004	anxa2 tlr2	Anxa2 Tlr2	low_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=anxa2%20AND%20tlr2;EuropePMC:https://europepmc.org/search?query=anxa2%20AND%20tlr2;PMID:20371344 (PubMed/Europe PMC);PMID:24669294 (PubMed/Europe PMC);PMID:33634751 (PubMed/Europe PMC);PMID:22553043 (PubMed/Europe PMC)	mixed or unresolved; exact submitted species/pair not fully established	fragment_specific_or_complex_context_or_indirect_primary	Concrete alias-expanded co-occurrence or indirect receptor-function evidence was found, but exact pair binding/activation was not established.	Family/database/expression evidence was not treated as exact-pair proof; fragment, co-receptor, precursor, or heteromeric identity remains material.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=915; PubMed_hits=0; composite_component_search=no Expanded search verdict=hold_low.
M20A-EXT-0807	apln adra2a	Apln Adra2a	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apln%20AND%20adra2a;EuropePMC:https://europepmc.org/search?query=apln%20AND%20adra2a;PMID:29055040 (PubMed/Europe PMC);PMID:24517644 (PubMed/Europe PMC);PMID:26650439 (PubMed/Europe PMC);PMID:31253755 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=32; PubMed_hits=0; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0809	apln grm7	Apln Grm7	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apln%20AND%20grm7;EuropePMC:https://europepmc.org/search?query=apln%20AND%20grm7;PMID:29055040 (PubMed/Europe PMC);PMID:24517644 (PubMed/Europe PMC);PMID:26650439 (PubMed/Europe PMC);PMID:31253755 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=22; PubMed_hits=0; composite_component_search=no Expanded search verdict=no_evidence.
