promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13463	M21B-E009593	M21B-EVID-009539	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Zhang et al., 2023; PMID:36596504	PMID:36596504; DOI:10.1620/tjem.2022.J118	Alleviation of Spinal Cord Injury by MicroRNA 137-Overexpressing Bone Marrow Mesenchymal Stem Cell-Derived Exosomes	The review traces the primary report that miR-137-overexpressing BMMSC exosomes improve neuronal viability in SCI rats.	The primary measures exosome treatment and miR-137 gain-of-function outputs but does not establish an intermediate transcript-to-protein step or terminal TF.	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13464	M21B-E009594	M21B-EVID-009540	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Zhang et al., 2023; PMID:36596504	PMID:36596504; DOI:10.1620/tjem.2022.J118	Alleviation of Spinal Cord Injury by MicroRNA 137-Overexpressing Bone Marrow Mesenchymal Stem Cell-Derived Exosomes	The review traces the primary report that miR-137-overexpressing BMMSC exosomes reduce spinal-cord tissue injury in SCI rats.	Preserve rat traumatic-SCI context and do not add an unmeasured molecular intermediate.	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13465	M21B-E009595	M21B-EVID-009541	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Zhang et al., 2023; PMID:36596504	PMID:36596504; DOI:10.1620/tjem.2022.J118	Alleviation of Spinal Cord Injury by MicroRNA 137-Overexpressing Bone Marrow Mesenchymal Stem Cell-Derived Exosomes	The review traces the primary report that miR-137-overexpressing BMMSC exosomes reduce proinflammatory cytokine expression in SCI rat spinal cord tissue.	Do not convert reduced cytokine expression into a specific terminal-TF mechanism.	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13466	M21B-E009596	M21B-EVID-009542	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Zhang et al., 2023; PMID:36596504	PMID:36596504; DOI:10.1620/tjem.2022.J118	Alleviation of Spinal Cord Injury by MicroRNA 137-Overexpressing Bone Marrow Mesenchymal Stem Cell-Derived Exosomes	The review traces the primary report that miR-137-overexpressing BMMSC exosomes diminish neuronal apoptosis in SCI rats.	Preserve the rat SCI output layer without adding a missing transcript or protein step.	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13467	M21B-E009597	M21B-EVID-009543	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Zhang et al., 2023; PMID:36596504	PMID:36596504; DOI:10.1620/tjem.2022.J118	Alleviation of Spinal Cord Injury by MicroRNA 137-Overexpressing Bone Marrow Mesenchymal Stem Cell-Derived Exosomes	The review traces the primary BBB locomotor recovery evidence for miR-137-overexpressing BMMSC exosomes in SCI rats.	Preserve the overexpressed cargo and rat SCI treatment context.	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13468	M21B-E009598	M21B-EVID-009544	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Chen et al., 2024; PMID:38478142	PMID:38478142; DOI:10.1007/s12035-024-04082-y	BMSC-Derived Exosomes Carrying miR-26a-5p Ameliorate Spinal Cord Injury via Negatively Regulating EZH2 and Activating the BDNF-TrkB-CREB Signaling	The review traces the primary luciferase and gain/loss evidence that exosomal miR-26a-5p directly targets EZH2 in the SCI model.	Separate direct EZH2 target evidence from later protein/pathway outputs.	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13469	M21B-E009599	M21B-EVID-009545	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Chen et al., 2024; PMID:38478142	PMID:38478142; DOI:10.1007/s12035-024-04082-y	BMSC-Derived Exosomes Carrying miR-26a-5p Ameliorate Spinal Cord Injury via Negatively Regulating EZH2 and Activating the BDNF-TrkB-CREB Signaling	The primary reports reduced EZH2 expression/protein after BMSC exosomal miR-26a-5p delivery in injured PC12 and SCI models.	Record measured protein output separately from direct transcript targeting.	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13470	M21B-E009600	M21B-EVID-009546	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Chen et al., 2024; PMID:38478142	PMID:38478142; DOI:10.1007/s12035-024-04082-y	BMSC-Derived Exosomes Carrying miR-26a-5p Ameliorate Spinal Cord Injury via Negatively Regulating EZH2 and Activating the BDNF-TrkB-CREB Signaling	The review traces the primary chromatin-immunoprecipitation evidence that EZH2 suppresses BDNF expression by promoting H3K27me3.	Preserve H3K27me3-mediated repression and the PC12/rat SCI context.	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13471	M21B-E009601	M21B-EVID-009547	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Chen et al., 2024; PMID:38478142	PMID:38478142; DOI:10.1007/s12035-024-04082-y	BMSC-Derived Exosomes Carrying miR-26a-5p Ameliorate Spinal Cord Injury via Negatively Regulating EZH2 and Activating the BDNF-TrkB-CREB Signaling	The primary concludes that exosomal miR-26a-5p repression of EZH2 promotes BDNF expression in the SCI pathway.	Keep the indirect miR-26a-5p-to-BDNF relationship explicit.	local_21B_registers_only; no_database_write
M21B-PROMO-20260913-EV-MIRNA-006	M21B-DISC-13472	M21B-E009602	M21B-EVID-009548	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC12864101, The potential mechanisms and regulatory roles of exosomal miRNA in neural repair after spinal cord injury	Chen et al., 2024; PMID:38478142	PMID:38478142; DOI:10.1007/s12035-024-04082-y	BMSC-Derived Exosomes Carrying miR-26a-5p Ameliorate Spinal Cord Injury via Negatively Regulating EZH2 and Activating the BDNF-TrkB-CREB Signaling	The primary reports increased BDNF and TrkB expression in the BMSC-exosome miR-26a-5p pathway.	Use as a pathway/output bridge, not as a new direct ligand-receptor structural claim.	local_21B_registers_only; no_database_write
