expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_chain_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	primary_locator	citation_note	evidence_summary	limitations	curation_status	species_context	cell_type_context	assay_or_perturbation	effect_polarity	source_scope	route_evidence_id
M21B-LITEXP-7185	M21B-DOWNSTREAM:02304	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										FGF8b-FGFR2c documented cellular_functional_readout	FGF8b-FGFR2c-structural-complex	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000367;M21B-EVID-000310;M21B-DOWNSTREAM-EVID:003671;PMID:16384934	M21B-LITEXP-7185	M21B-DOWNSTREAM-EVID:003671	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:16384934	Review lead: PMCID:PMC3695728, Exploring mechanisms of FGF signalling through the lens of structural biology; PMCID:PMC2080618, Receptor specificity of the fibroblast growth factor family; review-cited primary: PMID:16384934; primary locator: PMID:16384934	Primary-supported claim: The reviews identify the FGF8b-FGFR2c structural pair; the cited primary study resolves the extracellular complex, maps the splice-specific interface by SPR/mutagenesis, and links receptor-binding differences to developmental activity. Primary model/assay: Human recombinant FGF8b and FGFR2c ligand-binding domains; X-ray structural analysis, SPR receptor panel, interface mutagenesis, chick embryo electroporation and murine/chick developmental assays	Preserve the FGF8b isoform and FGFR2c splice variant; promote the exact extracellular binding/assembly and bounded developmental function, without generic FGFR2 or SCI extrapolation. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	human; mouse; chick	Human recombinant FGF8b and FGFR2c ligand-binding domains; X-ray structural analysis, SPR receptor panel, interface mutagenesis, chick embryo electroporation and murine/chick developmental assays	not_reported	unknown	direct_edge	LITEXP:003066
M21B-LITEXP-7186	M21B-DOWNSTREAM:02308	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										FGF7-FGFR2b documented cellular_functional_readout	FGF7-FGFR2b-specificity	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000375;M21B-EVID-000318;M21B-DOWNSTREAM-EVID:003675;PMID:10950949	M21B-LITEXP-7186	M21B-DOWNSTREAM-EVID:003675	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:10950949	Review lead: PMCID:PMC6379346, Structural Biology of the FGF7 Subfamily; PMCID:PMC3695728, Exploring mechanisms of FGF signalling through the lens of structural biology; review-cited primary: PMID:10950949; primary locator: PMID:10950949	Primary-supported claim: The reviews identify FGFR2b/KGFR as the restricted FGF7 receptor; the cited primary study uses binding and mutagenesis to show FGF7 recognition of FGFR2 IIIb and links the receptor-binding loop to biological potency. Primary model/assay: Mouse FGF7/FGF-family recombinant protein and KGFR/FGFR2b binding systems; receptor-binding competition, domain swapping, site-directed mutagenesis and biological-potency assays	Preserve the FGFR2b/KGFR splice isoform and heparan-sulfate/receptor-binding context; do not infer broad FGFR2 or SCI function. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	mouse	Mouse FGF7/FGF-family recombinant protein and KGFR/FGFR2b binding systems; receptor-binding competition, domain swapping, site-directed mutagenesis and biological-potency assays	not_reported	activating	direct_edge	LITEXP:003067
M21B-LITEXP-7187	M21B-DOWNSTREAM:02332	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										RANKL/TRANCE/TNFSF11-OPG/TNFRSF11B documented cellular_functional_readout	RANKL-OPG-decoy	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000470;M21B-EVID-000413;M21B-DOWNSTREAM-EVID:003699;PMID:21059944; PMCID:PMC3607351	M21B-LITEXP-7187	M21B-DOWNSTREAM-EVID:003699	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:21059944; PMCID:PMC3607351	Review lead: PMCID:PMC3727708, How RANKL binds to RANK, and how OPG acts as decoy; PMCID:PMC3607351, RANKL employs distinct binding modes; review-cited primary: PMID:21059944; PMCID:PMC3607351; primary locator: PMID:21059944; PMCID:PMC3607351	Primary-supported claim: The reviews describe OPG as the soluble RANKL decoy; the cited primary structures and mutagenesis demonstrate the RANKL-OPG complex and overlapping receptor-binding mode. Primary model/assay: Recombinant RANKL trimer with RANK or OPG extracellular domains; crystal structures, receptor-mutant binding and osteoclastogenesis-inhibition assays	Preserve OPG soluble-decoy topology and RANKL trimer; inhibitory sequestration is not productive RANK signaling and no CNS/SCI claim is made. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	as stated in primary model/assay	Recombinant RANKL trimer with RANK or OPG extracellular domains; crystal structures, receptor-mutant binding and osteoclastogenesis-inhibition assays	not_reported	activating	direct_edge	LITEXP:003068
M21B-LITEXP-7188	M21B-DOWNSTREAM:02333	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										IL22-IL22RA2/IL22BP documented cellular_functional_readout	IL22-IL22BP-decoy	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000471;M21B-EVID-000414;M21B-DOWNSTREAM-EVID:003700;PMID:19285080; PMID:11390453; PMID:11481447	M21B-LITEXP-7188	M21B-DOWNSTREAM-EVID:003700	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:19285080; PMID:11390453; PMID:11481447	Review lead: PMCID:PMC8634938, IL-22 Binding Protein in the Regulation of IL-22 Biology; PMCID:PMC4489423, Molecular Basis of IL-10 Function; review-cited primary: PMID:19285080; PMID:11390453; PMID:11481447; primary locator: PMID:19285080; PMID:11390453; PMID:11481447	Primary-supported claim: The reviews identify IL-22BP/IL22RA2 as a soluble IL-22 decoy; the cited primary studies demonstrate direct binding, overlapping receptor-binding surface, blockade of functional-complex assembly and neutralization of IL-22 activity. Primary model/assay: Purified human IL-22/IL-22BP complex with mutagenesis and crystal structure; human/rodent recombinant receptor and BaF3, hepatocyte, epithelial and A549 functional blockade systems	Preserve soluble IL-22BP isoform/decoy topology and antagonistic function; do not treat IL22RA2 as a signaling receptor or infer CNS/SCI specificity. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	human	Purified human IL-22/IL-22BP complex with mutagenesis and crystal structure; human/rodent recombinant receptor and BaF3, hepatocyte, epithelial and A549 functional blockade systems	not_reported	inhibitory	direct_edge	LITEXP:003069
M21B-LITEXP-7189	M21B-DOWNSTREAM:02340	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										TNC/tenascin-C-ITGAV:ITGB6 integrin documented cellular_functional_readout	TNC-alphaVbeta6-binding	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000536;M21B-EVID-000479;M21B-DOWNSTREAM-EVID:003707;PMID:23958855; PMCID:PMC3759126	M21B-LITEXP-7189	M21B-DOWNSTREAM-EVID:003707	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:23958855; PMCID:PMC3759126	Review lead: PMID:26055518, Tenascin-C: Its functions as an integrin ligand; PMCID:PMC4422796, Tenascin-C and integrins in cancer; review-cited primary: PMID:23958855; PMCID:PMC3759126; primary locator: PMID:23958855; PMCID:PMC3759126	Primary-supported claim: The tenascin-C integrin reviews identify alphaVbeta6 as an RGD-dependent tenascin-C receptor and cite the primary cancer-cell binding study. Primary model/assay: Human breast-cancer cells and TNC-conjugated bead/receptor assays; alphaV/beta6 neutralization, divalent-cation dependence, integrin association, and EMT-like cellular-response readouts	Preserve human breast-cancer, RGD/metal-ion, and integrin-association context; the EMT-like response is cell-model-specific and does not establish a universal alphaVbeta6 pathway or SCI inference. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	human	Human breast-cancer cells and TNC-conjugated bead/receptor assays; alphaV/beta6 neutralization, divalent-cation dependence, integrin association, and EMT-like cellular-response readouts	not_reported	unknown	direct_edge	LITEXP:003070
M21B-LITEXP-7190	M21B-DOWNSTREAM:02348	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										FGF8b-FGFR1c documented cellular_functional_readout	FGF8b-FGFR1c-specificity	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000564;M21B-EVID-000507;M21B-DOWNSTREAM-EVID:003715;PMID:16384934	M21B-LITEXP-7190	M21B-DOWNSTREAM-EVID:003715	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:16384934	Review lead: PMID:30809251, Structural Biology of the FGF7 Subfamily; PMID:15863030, Cellular signaling by fibroblast growth factor receptors; review-cited primary: PMID:16384934; primary locator: PMID:16384934	Primary-supported claim: The FGF structural review cites the FGF8b receptor-specificity study showing biochemical FGF8b-FGFR1c interaction and functional relevance during mid-hindbrain development. Primary model/assay: SPR receptor-binding specificity measurements, FGF8b-FGFR2c crystal structure, FGF8b mutant analysis, chick embryos and murine midbrain explants	Preserve FGF8b versus FGF8a splice-isoform and developmental assay context; no generalized FGFR1 signaling or SCI inference. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	chick	SPR receptor-binding specificity measurements, FGF8b-FGFR2c crystal structure, FGF8b mutant analysis, chick embryos and murine midbrain explants	not_reported	activating	direct_edge	LITEXP:003071
M21B-LITEXP-7191	M21B-DOWNSTREAM:02351	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										SLIT1-ROBO2 documented cellular_functional_readout	SLIT1-ROBO2-neural-guidance	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000573;M21B-EVID-000516;M21B-DOWNSTREAM-EVID:003718;PMID:18278043	M21B-LITEXP-7191	M21B-DOWNSTREAM-EVID:003718	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:18278043	Review lead: PMCID:PMC6584916, The Role of the Slit/Robo Signaling Pathway; PMID:25245168, Slit/Robo pathway: a promising therapeutic target for cancer; review-cited primary: PMID:18278043; primary locator: PMID:18278043	Primary-supported claim: The Slit/Robo reviews cite the primary chick-embryo study showing Robo2-Slit1-dependent cell-cell interactions and that blocking or depleting either component disrupts trigeminal ganglion assembly. Primary model/assay: Chick embryos; Robo2-expressing placode cells and Slit1-expressing neural crest; Robo2 function-blocking, Slit1/Robo2 RNAi, and ganglion-assembly readouts	Preserve chick developmental cell-cell interaction context and perturbation-supported receptor assignment; no SCI inference or universal Robo2 pathway claim. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	chick	Chick embryos; Robo2-expressing placode cells and Slit1-expressing neural crest; Robo2 function-blocking, Slit1/Robo2 RNAi, and ganglion-assembly readouts	not_reported	activating	direct_edge	LITEXP:003072
M21B-LITEXP-7192	M21B-DOWNSTREAM:02353	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										RAGE/AGER-ITGAX:ITGB2 integrin documented cellular_functional_readout	RAGE-alphaXbeta2-counter-receptor-adhesion	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000597;M21B-EVID-000540;M21B-DOWNSTREAM-EVID:003720;PMID:14623906	M21B-LITEXP-7192	M21B-DOWNSTREAM-EVID:003720	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:14623906	Review lead: PMCID:PMC11673996, Role of the Receptor for Advanced Glycation End Products (RAGE) and Its Ligands in Inflammatory Responses; PMCID:PMC6014170, Ligand-specific binding forces of LFA-1 and Mac-1 in neutrophil adhesion and crawling; review-cited primary: PMID:14623906; primary locator: PMID:14623906	Primary-supported claim: The RAGE/integrin reviews cite the primary beta2-integrin heterodimer comparison showing RAGE interaction with p150,95/alphaXbeta2 at lower extent than Mac-1, with purified-protein and transfectant support. Primary model/assay: Human RAGE-transfected CHO/K562 systems, purified RAGE and beta2-integrin proteins, p150,95/alphaXbeta2 transfectant comparison, and mouse leukocyte-recruitment comparator	Preserve the primary paper's lower-extent p150,95/alphaXbeta2 interaction relative to Mac-1, beta2-heterodimer/transfectant context, and no autonomous ITGAX relay or SCI inference. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	human; mouse; rat	Human RAGE-transfected CHO/K562 systems, purified RAGE and beta2-integrin proteins, p150,95/alphaXbeta2 transfectant comparison, and mouse leukocyte-recruitment comparator	not_reported	unknown	direct_edge	LITEXP:003073
M21B-LITEXP-7193	M21B-DOWNSTREAM:02367	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										VISTA/VSIR-PSGL-1/SELPLG documented cellular_functional_readout	VISTA-PSGL1-acidic-checkpoint	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000680;M21B-EVID-000623;M21B-DOWNSTREAM-EVID:003737;PMID:31645726; DOI:10.1038/s41586-019-1674-5	M21B-LITEXP-7193	M21B-DOWNSTREAM-EVID:003737	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:31645726; DOI:10.1038/s41586-019-1674-5	Review lead: VISTA: A Mediator of Quiescence and a Promising Target in Cancer Immunotherapy, PMCID:PMC8088836; VISTA: An Emerging Immune Checkpoint With Clinical Relevance Across Diverse Malignancies, PMCID:PMC12780148; review-cited primary: PMID:31645726; DOI:10.1038/s41586-019-1674-5; primary locator: PMID:31645726; DOI:10.1038/s41586-019-1674-5	Primary-supported claim: The reviews identify an acidic-pH-selective VISTA-PSGL-1 interaction that suppresses T-cell responses; the cited primary study maps histidine/sulfotyrosine-dependent binding and shows that selective blockade reverses suppression. Primary model/assay: Human recombinant/cell-based VISTA-PSGL-1 systems, human CD4 T-cell cocultures, and mouse tumor comparator models	Interaction is selective for acidic pH and is not a general neutral-pH VISTA receptor claim; preserve histidine/sulfotyrosine and membrane/cell-context boundaries; no SCI inference. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	human; mouse	Human recombinant/cell-based VISTA-PSGL-1 systems, human CD4 T-cell cocultures, and mouse tumor comparator models	not_reported	inhibitory	direct_edge	LITEXP:003074
M21B-LITEXP-7194	M21B-DOWNSTREAM:02379	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										NOG-BMP4 documented cellular_functional_readout	NOG-BMP4-antagonism	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-E000842;M21B-EVID-000785;M21B-DOWNSTREAM-EVID:003749;PMID:8752214	M21B-LITEXP-7194	M21B-DOWNSTREAM-EVID:003749	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:8752214	Review lead: PMCID: PMC4128061, Bone morphogenetic proteins and their antagonists: current and emerging clinical uses; PMCID: PMC7502536, Structural Perspective of BMP ligands and Signaling; review-cited primary: PMID:8752214; primary locator: PMID:8752214	Primary-supported claim: The reviews cite the original biochemical study showing high-affinity Noggin binding to BMP4 and blockade of BMP4 binding to cognate cell-surface receptors Primary model/assay: Recombinant Xenopus Noggin and BMP4; biochemical binding/competition and Xenopus embryonic neural-induction and mesoderm-dorsalization assays	Promote as secreted antagonist binding/sequestration and receptor-competition function; preserve Xenopus/developmental context and do not treat NOG as a signaling receptor or infer SCI. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles. Output class was assigned from explicit output/readout language in the stored primary-supported summary.	curated_primary_route	Xenopus	Recombinant Xenopus Noggin and BMP4; biochemical binding/competition and Xenopus embryonic neural-induction and mesoderm-dorsalization assays	not_reported	inhibitory	direct_edge	LITEXP:003075
