evidence_id	regulator_key	regulator_symbol	species_scope	evidence_layer	support_kind	cell_or_model	assay_or_perturbation	observation	effect_direction	primary_citation	corroborating_citation	route_or_module_relevance	target_pair_scope	exportable	canonical_write_performed	limitations
public_tf_evidence_batch008_regulator_znf660	znf660	ZNF660	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF660 target set contains queued C5AR1, CTNNB1, EFNA3, and FGF21; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF660_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_rfx6	rfx6	RFX6	mouse	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	mouse pancreatic endocrine development and islet models	developmental loss-of-function, expression, ChIP-seq/ChIP-qPCR, and transcript analysis	RFX6 has strong regulator-level evidence in mouse pancreatic endocrine development and adult islet function, including direct targets such as Neurod1, Hnf1a, Nkx6-1, St18, Eif2ak1, Upf1, and Eif5; none of the queued Adm, Crhr2, Cx3cl1, or Cxcr4 edges was validated.	queued-pair direction not established	https://pmc.ncbi.nlm.nih.gov/articles/PMC2896718/	https://pmc.ncbi.nlm.nih.gov/articles/PMC2799156/	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf610	znf610	ZNF610	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF610 target set contains queued BMPR1A, CTNNB1, DLL1, and EDN1; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF610_TARGET_GENES		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf260	znf260	ZNF260	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF260 target set contains queued ADAM22, ADGRE5, ADIPOR2, and ANXA2; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF260_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf329	znf329	ZNF329	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF329 target set contains queued ADGRB3, ADGRL1, AVPR1B, and BDKRB2; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF329_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf816	znf816	ZNF816	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF816 target set contains queued BDKRB2, BMP7, CD81, and FGFR1; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF816_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf561	znf561	ZNF561	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF561 target set contains queued C1QL4, COL4A1, COL4A2, and FZD5; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF561_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf563	znf563	ZNF563	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human regulator annotation and GTRD-derived occupancy resource	gene annotation and GTRD ChIP-seq harmonization	ZNF563 is annotated as a predicted sequence-specific transcription factor and its GTRD-derived target set contains queued AVPR1A, BMPR1A, COL14A1, and COL8A2; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF563_TARGET_GENES.html	https://www.ncbi.nlm.nih.gov/gene/147837/	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_zscan21	zscan21	ZSCAN21	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZSCAN21 target set contains queued ADAM22, ANXA2, CD8A, and HMGB1; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZSCAN21_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf623	znf623	ZNF623	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF623 target set contains queued ADA, C3, COL1A1, and EFNA2; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF623_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
