promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
M21B-PROMO-20260914-127	M21B-DISC-14082	M21B-E010210	M21B-EVID-010156	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports GDNF fusion-protein enrichment in EXO_GNI by Western blot and ELISA.	Preserve engineered exosome formulation and GDNF-CD81 display context; cargo enrichment does not establish free GDNF release or receptor engagement.	local_21B_registers_only; no_database_write
M21B-PROMO-20260914-127	M21B-DISC-14083	M21B-E010211	M21B-EVID-010157	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports NT3 fusion-protein enrichment in EXO_GNI by Western blot and ELISA.	Preserve engineered exosome formulation and NT3-CD9 display context; cargo enrichment does not establish free NT3 release or receptor engagement.	local_21B_registers_only; no_database_write
M21B-PROMO-20260914-127	M21B-DISC-14084	M21B-E010212	M21B-EVID-010158	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports IGF1 fusion-protein enrichment in EXO_GNI by Western blot and ELISA.	Preserve engineered exosome formulation and IGF1-CD63 display context; cargo enrichment does not establish free IGF1 release or receptor engagement.	local_21B_registers_only; no_database_write
M21B-PROMO-20260914-127	M21B-DISC-14085	M21B-E010213	M21B-EVID-010159	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports reduced iNOS protein in LPS-stimulated RAW264.7 macrophages treated with EXO_GNI.	Preserve LPS-stimulated RAW264.7 macrophage context; this is a measured protein-output inhibition and does not infer iNOS transcript regulation or cargo-specific mechanism.	local_21B_registers_only; no_database_write
M21B-PROMO-20260914-127	M21B-DISC-14086	M21B-E010214	M21B-EVID-010160	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports reduced TNF-alpha expression in LPS-stimulated RAW264.7 macrophages treated with EXO_GNI.	Preserve LPS-stimulated RAW264.7 macrophage context; the reported expression output does not establish secretion, transcript-to-protein sequence, or a specific exosomal cargo.	local_21B_registers_only; no_database_write
M21B-PROMO-20260914-127	M21B-DISC-14087	M21B-E010215	M21B-EVID-010161	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports reduced IL-6 expression in LPS-stimulated RAW264.7 macrophages treated with EXO_GNI.	Preserve LPS-stimulated RAW264.7 macrophage context; the reported expression output does not establish secretion, transcript-to-protein sequence, or a specific exosomal cargo.	local_21B_registers_only; no_database_write
M21B-PROMO-20260914-127	M21B-DISC-14088	M21B-E010216	M21B-EVID-010162	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports suppression of p-p65/NF-kappaB signaling in LPS-stimulated RAW264.7 macrophages treated with EXO_GNI.	Preserve p-p65/NF-kappaB as a pathway readout in RAW264.7 cells; do not infer a direct cargo-to-NF-kappaB interaction or terminal-TF claim.	local_21B_registers_only; no_database_write
M21B-PROMO-20260914-127	M21B-DISC-14089	M21B-E010217	M21B-EVID-010163	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports that EXO_GNI with IL-4 further enhances CD206, Arg1, and IL-10 markers consistent with M2 polarization.	Preserve the IL-4 co-treatment and marker-based definition of M2 polarization; do not generalize to all macrophage states or assign a single cargo mechanism.	local_21B_registers_only; no_database_write
M21B-PROMO-20260914-127	M21B-DISC-14090	M21B-E010218	M21B-EVID-010164	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports increased EdU-positive embryonic mouse neural stem cells after 24 hours of EXO_GNI exposure.	Preserve the early 24-hour effect and embryonic mouse neural stem-cell model; the difference was not maintained at 7 days.	local_21B_registers_only; no_database_write
M21B-PROMO-20260914-127	M21B-DISC-14091	M21B-E010219	M21B-EVID-010165	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	Primary-only discovery; no review citation used	PMID:42004620; PMCID:PMC13091388; DOI:10.1016/j.bioactmat.2026.03.023	A dual-functional engineered exosome-laden hydrogel redirects endogenous neural stem cell fate for spinal cord injury repair	The primary study reports increased Tuj1 and MAP2 neuronal differentiation of mouse neural stem cells after EXO_GNI treatment.	Preserve mouse neural stem-cell culture and 7-day lineage-marker readout; do not infer a direct GDNF, NT3, or IGF1 receptor mechanism.	local_21B_registers_only; no_database_write
