resource_key	source_record_key	record_kind	annotation_kind	source_field_name	annotation_value	annotation_scope	notes
mscs_phase2:cellchat_mouse.tsv	TGFB1_TGFBR1_TGFBR2	complex_lr_candidate	pathway	pathway_name	TGFb	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_TGFBR1_TGFBR2	complex_lr_candidate	annotation	annotation	Secreted Signaling	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_TGFBR1_TGFBR2	complex_lr_candidate	source_evidence_label	evidence	KEGG: mmu04350	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_TGFBR1_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb inhibition receptor	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_TGFBR1_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb agonist	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_TGFBR1_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb antagonist	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB2_TGFBR1_TGFBR2	complex_lr_candidate	pathway	pathway_name	TGFb	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB2_TGFBR1_TGFBR2	complex_lr_candidate	annotation	annotation	Secreted Signaling	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB2_TGFBR1_TGFBR2	complex_lr_candidate	source_evidence_label	evidence	KEGG: mmu04350	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB2_TGFBR1_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb inhibition receptor	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB2_TGFBR1_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb agonist	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB2_TGFBR1_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb antagonist	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB3_TGFBR1_TGFBR2	complex_lr_candidate	pathway	pathway_name	TGFb	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB3_TGFBR1_TGFBR2	complex_lr_candidate	annotation	annotation	Secreted Signaling	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB3_TGFBR1_TGFBR2	complex_lr_candidate	source_evidence_label	evidence	KEGG: mmu04350	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB3_TGFBR1_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb inhibition receptor	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB3_TGFBR1_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb agonist	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB3_TGFBR1_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb antagonist	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1B_TGFBR2	complex_lr_candidate	pathway	pathway_name	TGFb	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1B_TGFBR2	complex_lr_candidate	annotation	annotation	Secreted Signaling	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1B_TGFBR2	complex_lr_candidate	source_evidence_label	evidence	PMID: 27449815	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1B_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb inhibition receptor	method_resource	Method-native annotation; not independently adjudicated biological evidence.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1B_TGFBR2	complex_lr_candidate	cofactor	cofactor_annotations	TGFb agonist	method_resource	Method-native annotation; not independently adjudicated biological evidence.
