review_id	pair	status	stable_citations	species	cell_type_model	assay_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-EXT-0419	Lamb3-Cd44	reviewed_unresolved	PMID:22539223; PubMed search: https://pubmed.ncbi.nlm.nih.gov/?term=LAMB3+CD44	human	LNCaP prostate cells	expression/epigenetic perturbation; no pair assay	non-pair expression association	ligand_receptor_binding_or_activation	none	low	LAMB3 and CD44 changed independently; no binding, complex, or receptor-dependent function	
M20A-EXT-0420	Lamb3-Dag1	reviewed_unresolved	PMID:10619025; https://pubmed.ncbi.nlm.nih.gov/?term=LAMB3+dystroglycan	human/mouse	no exact submitted-pair model	laminin LG-domain/DAG1 literature search; no LAMB3-specific assay	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	DAG1 binding is mapped mainly to laminin alpha-chain LG domains; beta3-chain evidence was not transferable	
M20A-EXT-0425	Lamb3-ITGA7_ITGB1	reviewed_unresolved	PMID:16413178; DOI:10.1016/j.matbio.2005.12.001	human	recombinant integrin and purified laminin isoforms	recombinant binding/adhesion survey; alpha7beta1 did not bind laminin-332	negative_binding_boundary	ligand_receptor_binding_or_activation	laminin-332 integrin specificity boundary	medium-high	This tests intact laminin-332, not LAMB3 alone; no downstream relay	
M20A-EXT-0426	Lamb3-ITGA9_ITGB1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMB3+integrin+alpha9beta1	human/mouse	no exact submitted-pair model	exact-pair PubMed/PMC/publisher search; no qualifying assay located	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	No exact alpha9beta1 binding, reconstitution, or receptor-dependent perturbation found	
M20A-EXT-0427	Lamb3-ITGAV_ITGB8	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMB3+integrin+alphaVbeta8	human/mouse	no exact submitted-pair model	exact-pair literature/database search; no qualifying assay located	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	AlphaVbeta8/TGF-beta literature was not transferable to LAMB3	
M20A-EXT-0428	Lamc1-Cd44	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMC1+CD44	human/mouse	no exact submitted-pair model	exact-pair literature search; expression/pathway hits only	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	Laminin-family or LAMC2-CD44 associations were not transferred to LAMC1	
M20A-EXT-0435	Lamc1-ITGA9_ITGB1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMC1+integrin+alpha9beta1	human/mouse	no exact submitted-pair model	exact-pair binding/relay search; no qualifying assay	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	No exact LAMC1-alpha9beta1 evidence	
M20A-EXT-0436	Lamc1-ITGAV_ITGB8	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMC1+integrin+alphaVbeta8	human/mouse	no exact submitted-pair model	exact-pair binding/relay search; no qualifying assay	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	No exact LAMC1-alphaVbeta8 evidence	
M20A-EXT-0437	Lamc2-Cd44	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMC2+CD44	human/mouse	no exact submitted-pair model	exact-pair literature search; pathway/expression hits only	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	Recent disease studies are associative; no purified or receptor-dependent pair assay	
M20A-EXT-0438	Lamc2-Dag1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMC2+dystroglycan	human/mouse	no exact submitted-pair model	laminin/DAG1 search; alpha-chain evidence only	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	DAG1 binding cannot be assigned to LAMC2 without intact-complex evidence	
