expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	intracellular_tf_edge_id	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_node_id	output_label	output_form_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-1005	M21B-DOWNSTREAM:02274	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE03096	EFNB2/ephrin-B2	M21B-E000197	NODE03295	EPHB4										Ephrin-B2-EPHB4 vascular-development and angiogenic output		EFNB2-EPHB4-vascular	primary_literature_route_expansion	primary_cellular_functional_output	M21B-E000197;M21B-EVID-000140;M21B-DOWNSTREAM-EVID:003640;PMID:16867992;PMID:10518221	M21B-DOWNSTREAM-EVID:003640	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1005	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse; rat	Human recombinant EphB4 and ephrin-B2 ectodomains with biophysical binding assays, plus mouse endothelial developmental comparator models	membrane-bound ephrin-B2-EphB4 trans interaction with vascular-development output	no SCI transfer inferred; primary vascular-development models only	Ephrin-B2-EphB4 recognition and vascular developmental function are source-supported; intracellular adaptors, TFs and target genes remain unresolved	X-ray crystallography, ITC/biophysical specificity assays and endothelial developmental genetic comparison	activating	composite_primary_evidence	PMID:16867992; PMID:10518221	Primary locators: PMID:16867992; PMID:10518221.	Primary-supported claim: Ephrin-B2 is recognized by EphB4 and the pair is associated with vascular developmental function in the reported models. The direct receptor-binding layer and vascular functional output are retained without inferring a complete intracellular or transcriptional chain.	Preserve membrane-bound trans interaction and EphB4 specificity; vascular genetics is contextual and does not support CNS/SCI or reverse-signaling inference.	curated_primary_route	LITEXP:001005
M21B-LITEXP-1006	M21B-DOWNSTREAM:02275	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE02631	CXCL12	M21B-E000260	NODE00146	ACKR3/CXCR7										CXCL12-ACKR3 beta-arrestin recruitment and chemokine-scavenging output		CXCL12-ACKR3-scavenging	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E000260;M21B-EVID-000203;M21B-DOWNSTREAM-EVID:003641;PMCID:PMC5217689;PMID:27875312;DOI:10.1074/jbc.M116.762252	M21B-DOWNSTREAM-EVID:003641	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1006	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	human	Human ACKR3/CXCR7 receptor-substitution systems with CXCL12 binding, beta-arrestin BRET recruitment and chemokine degradation/scavenging assays	extracellular CXCL12; plasma-membrane ACKR3; beta-arrestin and scavenging output	no SCI transfer inferred; primary receptor-reconstitution model only	ACKR3 binding, beta-arrestin recruitment and CXCL12 scavenging are source-supported; no classical G-alpha-i chemotaxis, TF or target gene is inferred	CXCL12 radioligand competition, receptor-interface mutagenesis, beta-arrestin BRET and chemokine degradation/scavenging	unknown	composite_primary_evidence	PMCID:PMC5217689; PMID:27875312; DOI:10.1074/jbc.M116.762252	Primary: Mutational Analysis of ACKR3/CXCR7 Interaction with CXCL11 and CXCL12; PMCID:PMC5217689; PMID:27875312; DOI:10.1074/jbc.M116.762252.	Primary-supported claim: ACKR3 binds CXCL12 and supports beta-arrestin recruitment and chemokine degradation/scavenging in the reported receptor-mutant assays. The atypical receptor output is retained without promoting a canonical chemotactic relay.	Preserve ACKR3 atypical scavenging, beta-arrestin response, CXCL12 monomer/dimer and CXCR4 context; do not infer a universal G-protein pathway.	curated_primary_route	LITEXP:001006
M21B-LITEXP-1007	M21B-DOWNSTREAM:02276	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE01655	CCL19	M21B-E000262	NODE00147	ACKR4										CCL19-ACKR4 chemokine scavenging and APC-trafficking output		CCL19-ACKR4-scavenging	primary_literature_route_expansion	primary_cellular_functional_output	M21B-E000262;M21B-EVID-000205;M21B-DOWNSTREAM-EVID:003642;PMID:26976955	M21B-DOWNSTREAM-EVID:003642	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1007	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse	Mouse keratinocyte and dermal lymphatic-endothelial stromal systems with ACKR4-dependent CCL19 scavenging, Ackr4 deficiency and Ccl19 genetic rescue	extracellular CCL19; plasma-membrane ACKR4; chemokine-gradient and APC-trafficking output	no SCI transfer inferred; primary inflammatory skin-stromal models only	ACKR4-dependent CCL19 scavenging and APC-trafficking consequences are retained; this is gradient shaping rather than a productive canonical GPCR relay	in situ chemokine scavenging, Ackr4-deficient mice, Ccl19 genetic rescue and APC egress/lymph-node trafficking	unknown	composite_primary_evidence	PMID:26976955	Primary locator: PMID:26976955.	Primary-supported claim: ACKR4-dependent CCL19 scavenging in mouse skin stromal cells alters chemokine availability and APC trafficking in the reported genetic and in situ assays.	Preserve the inflammatory skin-stromal context and distinguish CCL19 scavenging from canonical intracellular signaling or CCL21 effects.	curated_primary_route	LITEXP:001007
M21B-LITEXP-1008	M21B-DOWNSTREAM:02277	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE01681	CCL21	M21B-E000263	NODE00147	ACKR4										CCL21-ACKR4 scavenging and dendritic-cell-emigration output		CCL21-ACKR4-scavenging	primary_literature_route_expansion	primary_cellular_functional_output	M21B-E000263;M21B-EVID-000206;M21B-DOWNSTREAM-EVID:003643;PMID:33875601;PMCID:PMC8092586	M21B-DOWNSTREAM-EVID:003643	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1008	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse	Mouse barrier-tissue and lymphatic-endothelial systems with soluble or immobilized CCL21 uptake, Ackr4 deficiency and peripheral dendritic-cell emigration assays	extracellular CCL21; plasma-membrane ACKR4; chemokine-gradient and dendritic-cell-migration output	no SCI transfer inferred; primary barrier-tissue models only	ACKR4-dependent CCL21 scavenging and peripheral dendritic-cell emigration are retained; no canonical intracellular relay is inferred	soluble and immobilized CCL21 uptake/scavenging, Ackr4-deficient mice and peripheral dendritic-cell emigration	unknown	composite_primary_evidence	PMID:33875601; PMCID:PMC8092586	Primary: PMID:33875601; PMCID:PMC8092586.	Primary-supported claim: ACKR4 scavenges soluble and immobilized CCL21 in the reported mouse barrier-tissue systems and this is associated with peripheral dendritic-cell emigration.	Preserve soluble versus immobilized and processed/full-length CCL21 boundaries; do not infer a productive canonical GPCR relay.	curated_primary_route	LITEXP:001008
M21B-LITEXP-1009	M21B-DOWNSTREAM:02278	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE10157	SEMA3F	M21B-E000265	NODE08313	NRP2										SEMA3F-NRP2/Plexin-A3 axon-repulsion and vascular-guidance output		SEMA3F-NRP2-guidance	primary_literature_route_expansion	primary_cellular_functional_output	M21B-E000265;M21B-EVID-000208;M21B-DOWNSTREAM-EVID:003644;PMCID:PMC2868107;PMID:15721238;PMID:26319580	M21B-DOWNSTREAM-EVID:003644	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1009	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	Human recombinant SEMA3F-NRP2 binding systems, mouse sensory and sympathetic neurons, Plexin-A3/A4 mutant mice and human dermal lymphatic endothelial cells	processed extracellular SEMA3F; NRP2/Plexin-A holoreceptor context; axon-repulsion and anti-vascular output	no SCI transfer inferred; primary developmental neural and vascular models only	SEMA3F-NRP2 binding and NRP2/Plexin-A-dependent repulsive or anti-vascular functions are retained; NRP2 is not treated as an autonomous signaling unit	recombinant binding/affinity assays, sema3F and Nrp2 mutant mice, neuronal guidance assays and endothelial-cell assays	activating	composite_primary_evidence	PMCID:PMC2868107; PMID:15721238; PMID:26319580	Primary locators: PMCID:PMC2868107; PMID:15721238; PMID:26319580.	Primary-supported claim: Processed SEMA3F binds NRP2 and the NRP2/Plexin-A context supports repulsive axon-guidance or anti-vascular functions in the reported systems.	Preserve furin processing and the NRP2/Plexin-A3 co-receptor context; do not infer autonomous NRP2 signaling or SCI function.	curated_primary_route	LITEXP:001009
M21B-LITEXP-1010	M21B-DOWNSTREAM:02279	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE07719	NELL2	M21B-E000266	NODE09806	ROBO3										NELL2-ROBO3 commissural-axon repulsion and guidance output		NELL2-ROBO3-guidance	primary_literature_route_expansion	primary_cellular_functional_output	M21B-E000266;M21B-EVID-000209;M21B-DOWNSTREAM-EVID:003645;PMID:32198364;PMCID:PMC7083938	M21B-DOWNSTREAM-EVID:003645	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1010	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	Human recombinant NELL2 and ROBO3 extracellular systems with SPR, size-exclusion and binding assays, plus mouse embryonic commissural-neuron axon-turning assays	extracellular trimeric NELL2; ROBO3.1 receptor context; commissural-axon repulsion output	no SCI transfer inferred; primary developmental axon-guidance model only	NELL2-ROBO3 binding, oligomerization and Robo3-dependent commissural axon repulsion are retained; intracellular intermediates and target genes remain unresolved	SPR, size-exclusion chromatography, alkaline-phosphatase binding, Robo3 mutant rescue and embryonic commissural-neuron axon-turning assays	activating	composite_primary_evidence	PMID:32198364; PMCID:PMC7083938	Primary: NELL2-Robo3 complex structure and axon-guidance study; PMID:32198364; PMCID:PMC7083938.	Primary-supported claim: NELL2 binds ROBO3 and Robo3-dependent signaling produces commissural axon repulsion in the reported structural and embryonic-neuron assays.	Preserve NELL2 trimerization and Robo3 isoform/ectodomain architecture; this is a developmental axon-guidance edge, not a traumatic-SCI receiver claim.	curated_primary_route	LITEXP:001010
M21B-LITEXP-1011	M21B-DOWNSTREAM:02280	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE03701	Fibronectin/FN	M21B-E000275	NODE05781	ITGA5:ITGB1 integrin										Fibronectin-alpha5beta1 ligand-induced integrin opening and adhesion output		Fibronectin-alpha5beta1-adhesion	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E000275;M21B-EVID-000218;M21B-DOWNSTREAM-EVID:003646;PMID:12970173;PMID:33962943;PMCID:PMC8104898;DOI:10.1126/sciadv.abe9716	M21B-DOWNSTREAM-EVID:003646	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1011	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Human recombinant or native fibronectin with alpha5beta1 structural complexes, interface mapping, ligand-induced opening and receptor-binding assays	extracellular fibronectin; plasma-membrane alpha5beta1 integrin; ligand-induced opening and adhesion-associated output	no SCI transfer inferred; primary structural and receptor-binding models only	Fibronectin-alpha5beta1 engagement and ligand-induced integrin opening are retained as receptor-proximal functional evidence; no universal kinase relay or target gene is inferred	EM/cryo-EM structural complexes, RGD/synergy-interface mapping, conformational analysis and receptor-binding assays	activating	composite_primary_evidence	PMID:12970173; PMID:33962943; PMCID:PMC8104898; DOI:10.1126/sciadv.abe9716	Primary: PMID:12970173; PMID:33962943; PMCID:PMC8104898; DOI:10.1126/sciadv.abe9716.	Primary-supported claim: Fibronectin engages alpha5beta1 through its RGD/synergy modules and induces an open integrin conformation in the reported structural and binding assays. This is retained as receptor-to-functional-output evidence without inventing a downstream cascade.	Preserve the alpha5beta1 heterodimer and fibronectin RGD/synergy-module context; structural/receptor-binding scope does not support a universal integrin kinase relay or SCI inference.	curated_primary_route	LITEXP:001011
M21B-LITEXP-1012	M21B-DOWNSTREAM:02281	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE06242	Laminin-511	M21B-E000276	NODE05799	ITGA6:ITGB1 integrin										Laminin-511-alpha6beta1 integrin engagement and adhesion-associated output		Laminin511-alpha6beta1-adhesion	primary_literature_route_expansion	primary_receptor_proximal_and_cellular_functional_output	M21B-E000276;M21B-EVID-000219;M21B-DOWNSTREAM-EVID:003647;PMID:34188035	M21B-DOWNSTREAM-EVID:003647	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1012	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	Human alpha6beta1 with three-chain laminin-511 E8 fragment in structural, recombinant pull-down, cell-surface binding and interface-mutagenesis assays	extracellular laminin-511; plasma-membrane alpha6beta1 integrin; ligand-engagement and adhesion-associated output	no SCI transfer inferred; primary structural and cell-surface-binding models only	Direct laminin-511-alpha6beta1 interaction and ligand-induced integrin opening are retained as receptor-proximal functional evidence; downstream kinase, TF and target-gene layers remain unresolved	X-ray/cryo-EM structures, recombinant pull-down, cell-surface binding and interface mutagenesis	activating	composite_primary_evidence	PMID:34188035	Primary: Structural mechanism of laminin recognition by integrin; PMID:34188035.	Primary-supported claim: Laminin-511 engages alpha6beta1 across the reported laminin-integrin interface and induces integrin conformational rearrangement in structural and binding assays.	Preserve the three-chain laminin-511 E8 fragment and alpha6beta1 heterodimer; structural/cell-surface-binding scope does not support a universal integrin kinase relay or SCI inference.	curated_primary_route	LITEXP:001012
M21B-LITEXP-1013	M21B-DOWNSTREAM:02282	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE10130	SELE/E-selectin	M21B-E000282	NODE10142	SELPLG1/PSGL1										E-selectin-PSGL1 glycoform-dependent leukocyte tethering and slow-rolling output		E-selectin-PSGL1-leukocyte-adhesion	primary_literature_route_expansion	primary_cellular_functional_output	M21B-E000282;M21B-EVID-000225;M21B-DOWNSTREAM-EVID:003648;PMID:8621728;PMID:9128259;PMID:11071658	M21B-DOWNSTREAM-EVID:003648	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1013	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	Human PSGL1/CHO glycoform systems, recombinant PSGL1-coated microspheres under flow and mouse venules expressing E-selectin	cell-surface E-selectin-PSGL1 glycoform interaction under shear; leukocyte tethering and slow-rolling output	no SCI transfer inferred; primary leukocyte-adhesion models only	PSGL1 glycoform-dependent E-selectin binding and slow rolling are retained; no intracellular PSGL1 relay, TF or target gene is inferred	PSGL1 glycoform binding, recombinant PSGL1-coated microspheres under flow and selectin-deficiency or inhibition assays	unknown	composite_primary_evidence	PMID:8621728; PMID:9128259; PMID:11071658	Primary locators: PMID:8621728; PMID:9128259; PMID:11071658.	Primary-supported claim: Appropriately glycosylated PSGL1 binds E-selectin and supports E-selectin-dependent slow rolling in the reported flow and in-vivo microsphere assays.	Preserve core-2 sialylated/fucosylated O-glycans, E-selectin ligand heterogeneity and shear-flow context; this is an adhesion output rather than a resolved intracellular chain.	curated_primary_route	LITEXP:001013
M21B-LITEXP-1014	M21B-DOWNSTREAM:02283	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed		NODE10135	SELL/L-selectin	M21B-E000283	NODE10142	SELPLG1/PSGL1										L-selectin-PSGL1 glycoform-dependent leukocyte tethering and rolling output		L-selectin-PSGL1-leukocyte-adhesion	primary_literature_route_expansion	primary_cellular_functional_output	M21B-E000283;M21B-EVID-000226;M21B-DOWNSTREAM-EVID:003649;PMID:8892633;PMID:12403782	M21B-DOWNSTREAM-EVID:003649	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1014	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	Human and mouse leukocyte/PSGL1 systems, L-selectin/PSGL1-expressing CHO cells and recombinant glycoform/mutant PSGL1 binding or rolling assays	cell-surface L-selectin-PSGL1 glycoform interaction under shear; leukocyte tethering and rolling output	no SCI transfer inferred; primary leukocyte-adhesion models only	PSGL1 glycosylation and Tyr-51 sulfation support L-selectin binding and rolling; no intracellular PSGL1 relay, TF or target gene is inferred	antibody blocking, L-selectin/PSGL1 binding, glycoform and Tyr-51 mutation assays and leukocyte rolling under flow	unknown	composite_primary_evidence	PMID:8892633; PMID:12403782	Primary locators: PMID:8892633; PMID:12403782.	Primary-supported claim: Appropriately glycosylated and sulfated PSGL1 binds L-selectin and supports leukocyte tethering or rolling in the reported binding and flow assays.	Preserve PSGL1 glycosylation, Tyr-51 sulfation, calcium dependence and leukocyte-on-leukocyte/shear-flow geometry; this is an adhesion output rather than a resolved intracellular chain.	curated_primary_route	LITEXP:001014
