pair_key	pair_label_canonical	verdict	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
sema4g plxnb2	Sema4g Plxnb2	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/21122816/;https://pubmed.ncbi.nlm.nih.gov/?term=%22sema4g%22%20AND%20%22plxnb2%22;https://europepmc.org/search?query=%22sema4g%22%20AND%20%22plxnb2%22	mouse	direct binding; receptor-dependent cerebellar function	Sema4G bound Plexin-B2 in recombinant AP-overlay and tissue-section assays; Plexin-B2-dependent semaphorin signaling was linked to cerebellar development.	Binding and functional work is strongest in mouse developmental systems; Sema4G is membrane-associated and assay avidity/context matter.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=sema4g plxnb2
sema5a plxna1	Sema5a Plxna1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=%22sema5a%22%20AND%20%22plxna1%22;https://europepmc.org/search?query=%22sema5a%22%20AND%20%22plxna1%22;https://pmc.ncbi.nlm.nih.gov/articles/PMC4236683/	mouse and human recombinant/cell systems	direct biochemical binding; neuronal function	Sema5A bound Plexin-A1 with low-nanomolar affinity in ectopic-cell, ectodomain co-precipitation, and mutant-neuron assays; Plexin-A1 was required for neuronal Sema5A binding and function.	Evidence includes membrane-bound and recombinant Sema5A constructs and neuronal culture context; Plexin-A1 can act with other class-A plexins.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=sema5a plxna1
sema5a plxnb3	Sema5a Plxnb3	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/15218527/;https://pubmed.ncbi.nlm.nih.gov/?term=%22sema5a%22%20AND%20%22plxnb3%22;https://europepmc.org/search?query=%22sema5a%22%20AND%20%22plxnb3%22	human and rodent cell systems	direct high-affinity binding; receptor activation	Plexin-B3 was identified as a high-affinity receptor specific for Sema5A; binding and activation produced cellular collapse/Met-associated responses.	Met is a Plexin-B3 co-signaling partner in the reported assays; the ligand is transmembrane and multivalent.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=sema5a plxnb3
sema6a plxna2	Sema6a Plxna2	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/20881961/;https://pubmed.ncbi.nlm.nih.gov/?term=%22sema6a%22%20AND%20%22plxna2%22;https://europepmc.org/search?query=%22sema6a%22%20AND%20%22plxna2%22	mouse and recombinant structural systems	direct structural binding; activation	The Sema6A–Plexin-A2 ectodomain complex was crystallographically resolved as a 2:2 signaling assembly, with mutational and cell-based validation.	Structure uses ectodomain fragments and avidity-dependent complexes; tissue-specific signaling may include additional plexins.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=sema6a plxna2
sema6a plxna4	Sema6a Plxna4	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=%22sema6a%22%20AND%20%22plxna4%22;https://europepmc.org/search?query=%22sema6a%22%20AND%20%22plxna4%22;https://pmc.ncbi.nlm.nih.gov/articles/PMC2928682/	mouse and recombinant/cell systems	direct binding; cis/trans signaling context	Sema6A and Plexin-A4 formed a cell-surface complex; Sema6A-Fc binding and Plexin-A4-dependent repulsive responses were tested in neuronal/cell assays.	The key paper emphasizes cis interaction and modulation of Sema6A signaling rather than a purified trans-complex structure.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=sema6a plxna4
sema6b plxna4	Sema6b Plxna4	hold_low	https://pubmed.ncbi.nlm.nih.gov/?term=%22sema6b%22%20AND%20%22plxna4%22;https://europepmc.org/search?query=%22sema6b%22%20AND%20%22plxna4%22	mouse and mammalian cell systems	family-level/cis interaction; unresolved exact signaling	Expanded searches found Sema6B/Plexin-A4 co-complex and competition/cis-interaction leads, but no sufficiently clear exact trans-ligand activation or reconstituted primary packet for this submitted edge.	Sema6A–Plexin-A4 evidence and Sema6B competition were not treated as proof of the exact Sema6B–Plexin-A4 receptor relay.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=sema6b plxna4
sparc eng	Sparc Eng	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=%22sparc%22%20AND%20%22eng%22;https://europepmc.org/search?query=%22sparc%22%20AND%20%22eng%22;https://pmc.ncbi.nlm.nih.gov/articles/PMC3216331/	mouse and human pericyte/endothelial-related systems	direct protein interaction; receptor-dependent function	SPARC interacted directly with endoglin in solid-phase binding and co-immunoprecipitation assays and altered endoglin-dependent TGF-beta1 activity and pericyte migration.	SPARC is a matricellular regulator and endoglin is an accessory receptor; the effect is context-dependent and not a classical agonist-only edge.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=sparc eng
spon2 itga4	Spon2 Itga4	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/16917498/;https://pubmed.ncbi.nlm.nih.gov/18818374/;https://pubmed.ncbi.nlm.nih.gov/?term=%22spon2%22%20AND%20%22itga4%22;https://europepmc.org/search?query=%22spon2%22%20AND%20%22itga4%22	mouse and human immune-cell systems	adhesion; integrin-dependent migration/function	Mindin/SPON2 matrix adhesion and eosinophil/macrophage trafficking were blocked by alpha4 and beta1 integrin reagents; alpha4beta1-dependent recruitment was functionally supported.	Evidence is for the alpha4beta1 heterodimer in cell/matrix assays; free ITGA4 alone is not the native integrin receptor.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=spon2 itga4
spon2 itga5	Spon2 Itga5	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/16917498/;https://pubmed.ncbi.nlm.nih.gov/?term=%22spon2%22%20AND%20%22itga5%22;https://europepmc.org/search?query=%22spon2%22%20AND%20%22itga5%22	mouse dendritic-cell and human cancer-cell systems	adhesion; co-immunoprecipitation; integrin-dependent function	Mindin-mediated dendritic-cell adhesion was blocked by alpha5 antibodies, and later human-cell work reported SPON2/alpha5 co-immunoprecipitation and alpha5beta1-dependent migration effects.	Evidence is for alpha5beta1-containing integrin complexes and is cell-context dependent; antibody blockade is not a purified affinity measurement.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=spon2 itga5
spon2 itgb1	Spon2 Itgb1	needs_manual_review	https://pubmed.ncbi.nlm.nih.gov/16917498/;https://pubmed.ncbi.nlm.nih.gov/18818374/;https://pubmed.ncbi.nlm.nih.gov/?term=%22spon2%22%20AND%20%22itgb1%22;https://europepmc.org/search?query=%22spon2%22%20AND%20%22itgb1%22	mouse and human immune/cancer-cell systems	integrin-complex adhesion; receptor-dependent function	Mindin adhesion and migration were reduced by beta1-integrin deletion/blockade and beta1-dependent SPON2/PYK2 functions were reported, supporting an ITGB1-containing receptor complex.	The native receptors are alpha4beta1 or alpha5beta1 rather than standalone ITGB1; subunit-level notation remains unresolved.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=spon2 itgb1
