species	tf_symbol	target_symbol	external_record_keys	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	shared_paper_status	cross_module_status	cell_type_context	stimulus_context	limitations	notes
human	FOS	ABCA13	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009597:a213eac7d274	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ABLIM1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009598:7a9295aa5763	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ABLIM3	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009599:4daf62fe8358	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ABR	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009600:043a8cd3fa16	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ABTB2	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009601:30e94f6456dd	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ACP5	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001489:50dc99a1e751	database_only_unverified	22B	database_only_unverified	database_assertion	activating_target			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ACSL3	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009602:d2670a9c2f70	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ACTA1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004172:e39e362b88ab;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002068	database_only_unverified	22B	database_only_unverified	database_assertion	activating_target;unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ACVR1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009603:4397a696e4e1	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ADGRF1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009604:9b0d77071a25	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ADGRG6	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009605:8f6fa274420d	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ADGRV1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009606:ea86a616984a	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	AFF1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009607:200c967bb437	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	AGAP1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009608:92c26c7bf6ee	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	AHNAK	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009609:99ffe1b24b8d	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	AKAP6	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009610:862a551f3ef5	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ALDH1A2	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009611:0b844c16465e	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	AMPD3	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009612:d09ce6bf4678	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ANGPT1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009613:4fe5bd9caf78	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ANK1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009614:28ab77239f19	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ANK3	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009615:14e08b42cccd	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ANKS1B	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009616:29503da65658	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ANO6	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009617:b8a39d918098	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ANTXR2	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009618:6d4365ffe085	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ANXA1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009619:4ed39c148477	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ANXA2	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009620:a1d47d3e3620	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
human	FOS	ANXA3	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:009621:22ab8deb8f25	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			reused_across_items;needs_corroboration	no_modules_20_21_23_24_overlap			No pair-level primary verification; database direction and references remain unverified.	Database-only public TF assertion; no exact-pair primary verification located. Shared-paper reuse flagged; citation overlap was not treated as pair evidence.
