source_registry	source_version	species_scope	retrieval_date	source_url	snapshot_path	snapshot_sha256	resource_class	provenance_role	independence_status	upstream_version	notes
AnimalTFDB3	AnimalTFDB3_git_snapshot	human	2026-08-26	https://raw.githubusercontent.com/GuoBioinfoLab/AnimalTFDB3/master/AnimalTFDB3/static/AnimalTFDB3/download/Homo_sapiens_TF	/Users/derea/Documents/SCI/mSCIdblit/data/raw/public_database_snapshots/tf_union_expansion_v1/animaltfdb3_human_tf.tsv	4ba7a360e6715f8c193842e49ce3abcf3506491e75b9f987ff0cb25a142ac267	tf_identity_catalog	primary_identity_catalog_fallback	repository_catalog	AnimalTFDB3	Fallback identity catalog; AnimalTFDB4 endpoint was unavailable during acquisition.
AnimalTFDB3	AnimalTFDB3_git_snapshot	mouse	2026-08-26	https://raw.githubusercontent.com/GuoBioinfoLab/AnimalTFDB3/master/AnimalTFDB3/static/AnimalTFDB3/download/Mus_musculus_TF	/Users/derea/Documents/SCI/mSCIdblit/data/raw/public_database_snapshots/tf_union_expansion_v1/animaltfdb3_mouse_tf.tsv	9d6682ec020c2b69816f4cb8b450244bd861162915245425e216c5668e5f02ff	tf_identity_catalog	primary_identity_catalog_fallback	repository_catalog	AnimalTFDB3	Fallback identity catalog; AnimalTFDB4 endpoint was unavailable during acquisition.
JASPAR_CORE	JASPAR2026_CORE_vertebrates_nonredundant	vertebrates	2026-08-26	https://jaspar2026.elixir.no/download/data/2026/CORE/JASPAR2026_CORE_vertebrates_non-redundant_pfms_jaspar.txt	/Users/derea/Documents/SCI/mSCIdblit/data/raw/public_database_snapshots/tf_identity_intake_v1/jaspar2026_core_vertebrates_nonredundant_pfms.jaspar	4005b5449ba07d9b58495f51143186e7e3959efd0ad670770fbddf57bf941e8f	tf_binding_profile	primary_binding_profile_catalog	repository_catalog	JASPAR 2026 release 11	Vertebrate PFM profiles; not species-specific and not direct TF-target evidence.
Lambert_HumanTFs	Lambert_v1.01	human	2026-08-26	https://humantfs.ccbr.utoronto.ca/download/v_1.01/TF_names_v_1.01.txt	/Users/derea/Documents/SCI/mSCIdblit/data/raw/public_database_snapshots/tf_identity_intake_v1/human_tfs_lambert_v1.01.txt	52fc1dab0d02b3a28b3bbe45232fceb2f85ebafd23631f621c5efc8bc91767c2	tf_identity_catalog	primary_identity_catalog	repository_catalog	Lambert et al. 2018, PMID 29425488	Expert-curated human TF identity list; no target assertions.
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	2026-08-25	https://omnipathdb.org/interactions?genesymbols=yes&datasets=dorothea&organisms=9606&fields=sources,references,curation_effort,dorothea_level	/private/tmp/omnipath_dorothea_human.tsv	2a35c1e70a0a547f9b3ff832c7263cbda45ef77c30dcc834bfe5ba525ea6a0d9	tf_regulon	aggregated_snapshot	integrated_aggregator_snapshot	OmniPath/DoRothEA snapshot version not exposed by endpoint	Raw snapshot is retained outside the frozen mechanism bundle; this row records its path and digest.
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	2026-08-25	https://omnipathdb.org/interactions?genesymbols=yes&datasets=dorothea&organisms=10090&fields=sources,references,curation_effort,dorothea_level	/private/tmp/omnipath_dorothea_mouse.tsv	9c610e2fd12a073b73a6b6eae8c38eb80ae42eb736fbb0b48a99ac2af17157ab	tf_regulon	aggregated_snapshot	integrated_aggregator_snapshot	OmniPath/DoRothEA snapshot version not exposed by endpoint	Raw snapshot is retained outside the frozen mechanism bundle; this row records its path and digest.
TFLink	TFLink_v1.0_snapshot	human	2026-08-26	https://tflink.net/download/	/Users/derea/Documents/SCI/mSCIdblit/data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	4b253ad538edd311071b925213ef16647bef1ddb98aca8d36d6a74f63054e11d	tf_regulon	aggregated_gateway_snapshot	integrated_aggregator_snapshot	TFLink downloadable gateway snapshot v1.0	GMT summary used for TF discovery; detailed pair provenance is not retained in this file.
TFLink	TFLink_v1.0_snapshot	mouse	2026-08-26	https://tflink.net/download/	/Users/derea/Documents/SCI/mSCIdblit/data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	b06c59dae999026247a1cd5d027688b6f5a46c7b83450e946f54c40103587e07	tf_regulon	aggregated_gateway_snapshot	integrated_aggregator_snapshot	TFLink downloadable gateway snapshot v1.0	GMT summary used for TF discovery; detailed pair provenance is not retained in this file.
TRRUST	TRRUST_v2_snapshot_2026-08-25	human	2026-08-25	https://www.grnpedia.org/trrust/data/trrust_rawdata.human.tsv	/private/tmp/trrust_human.tsv	9b909319ccc8e36588b5a1bd3640e0dfba03936c6fc154cc4304d742bec11bed	tf_regulon	primary_snapshot	repository_snapshot	TRRUST_v2 (snapshot version label)	Raw snapshot is retained outside the frozen mechanism bundle; this row records its path and digest.
TRRUST	TRRUST_v2_snapshot_2026-08-25	mouse	2026-08-25	https://www.grnpedia.org/trrust/data/trrust_rawdata.mouse.tsv	/private/tmp/trrust_mouse.tsv	4847c960c7c2ce0173b056184137b1cc71e8d61d1b1edc825247504ad882dd55	tf_regulon	primary_snapshot	repository_snapshot	TRRUST_v2 (snapshot version label)	Raw snapshot is retained outside the frozen mechanism bundle; this row records its path and digest.
