candidate_id	source_a_status	b_status	layer1_status	layer2_status	layer3_status	species_posture	injury_context_posture	next_gap
M21A-F01	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Human and mouse comparator evidence	IL-6/JAK/STAT3 has SCI-linked carry-forward from Module 15B; receptor-family branch weights remain non-SCI	CNTFR-specific primary receptor-complex evidence and SCI cell-state validation
M21A-F02	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Human and mouse comparator evidence	Inflammatory/immune relay; no direct SCI receiver weighting in this packet	IFN-lambda and astrocyte-specific IRF/STAT branch evidence
M21A-F03	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Mouse and mammalian comparator evidence	Strong injury relevance by inflammatory intersection; source packet is not SCI-specific	TNFR2 and astrocyte-specific death-versus-survival branch evidence
M21A-F04	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Mammalian comparator evidence	Strong inflammatory intersection; no receiver-state weights assigned	IL-1R2 decoy and SCI astrocyte branch validation
M21A-F05	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Human and mouse comparator evidence	Neural/chemokine relevance; CXCL12/CXCR4 is exportable as comparator relay pending SCI context	CCL/CXCR receptor families and ligand-biased branch comparison
M21A-F06	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Mouse and mammalian comparator evidence	Repair/fibrosis relevance; direct SCI receiver evidence not yet integrated	Noncanonical branch sources and SCI cell-type specificity
M21A-F07	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Human and mouse comparator evidence	Growth-factor repair relevance; most rows are comparator-only until matched to SCI receiver states	PDGFR ERK/SRC and FGFR/VEGFR cell-type-specific branch evidence
M21A-F08	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Mammalian comparator evidence	Repair/development relevance; no SCI receiver weighting in this packet	Noncanonical WNT branch and SCI glial-state evidence
M21A-F09	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Mammalian comparator evidence	Repair/development relevance; no SCI receiver weighting in this packet	Notch ligand/paralog-specific branch and SCI glial-state evidence
M21A-F10	ACTIVE_SATURATED_FIRST_PASS	ACTIVE_SATURATED_FIRST_PASS				Mouse focal SCI with astrocytes and microglia	Direct lesion-border astrocyte CSF1 and microglial IFN-beta functional crosstalk	CSF1R receptor-proximal relay and cell-state/timepoint specificity
