UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
Q86UQ0	Q09028	51385	5928	ZNF589	RBBP4	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Dm:Q24572;Dr:Q1LXD4;Mm:Q60972;Rn:B5DFB2	-
Q86UQ0	Q02790	51385	2288	ZNF589	FKBP4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Ce:O45418;Dm:Q9VL78;Mm:P30416;Rn:Q9QVC8	Dr:F1RCG7
Q86UQ0	Q99618	51385	83461	ZNF589	CDCA3	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q99M54;Rn:Q68FW2	-
Q86UQ0	Q6N043	51385	54816	ZNF589	ZNF280D	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	-	-
Q86UQ0	O60678	51385	10196	ZNF589	PRMT3	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q922H1	Dr:B0V0W5;Rn:A0A0G2JW52
Q86UQ0	P55061	51385	7009	ZNF589	TMBIM6	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Dm:Q9VSH3;Mm:Q9D2C7	-
Q86UQ0	P12757	51385	6498	ZNF589	SKIL	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q60665;Rn:D3ZWL1	-
Q86UQ0	O94874	51385	23376	ZNF589	UFL1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dm:Q9VI55;Dr:F1Q9C7;Mm:Q8CCJ3;Rn:B2GV24	Ce:Q17750
Q86UQ0	Q99829	51385	8904	ZNF589	CPNE1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:Q8C166	Dr:F1QNY5;Rn:D4A1R8
Q86UQ0	Q8WXD2	51385	29106	ZNF589	SCG3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dr:A3KQQ9;Mm:P47867;Rn:F1M7L6	-
Q86UQ0	Q9H6K1	51385	64771	ZNF589	ILRUN	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dr:F1R890;Mm:Q3TT38;Rn:Q2M1K7	-
Q86UQ0	Q12974	51385	8073	ZNF589	PTP4A2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:O70274;Rn:Q6P9X4	-
Q86UQ0	Q8WZ60	51385	89857	ZNF589	KLHL6	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:Q6V595	Rn:D4A1Z1
Q86UQ0	Q96JB2	51385	83548	ZNF589	COG3	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q6AW08;Dm:Q961G1;Dr:A0A0R4IW43;Mm:E9QL65;Rn:Q5XHZ8;Sc:P40094	-
Q86UQ0	Q12772	51385	6721	ZNF589	SREBF2	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dr:F1RC21;Mm:Q3U1N2;Rn:F1MA23	-
Q86UQ0	Q9HAP2	51385	22877	ZNF589	MLXIP	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Mm:G5E8D8;Rn:F1M051	Dr:F1Q8E5
Q86UQ0	Q8IWE4	51385	123879	ZNF589	DCUN1D3	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Dr:A7MD57;Mm:Q8K0V2;Rn:Q4V8B2	-
Q86UQ0	P55786	51385	9520	ZNF589	NPEPPS	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Ce:Q4TT88;Dr:F1QRM9;Mm:Q11011;Rn:F1M9V7	-
Q86UQ0	A0A0A6YYC7	51385	-	ZNF589	ZFP91-CNTF	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	-	-
Q86UQ0	Q9H4Z2	51385	63925	ZNF589	ZNF335	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:A2A5K6;Rn:A0A140TAC9	Dr:A0A2R8RSH0
Q86UQ0	P15311	51385	7430	ZNF589	EZR	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:P26040	Dr:Q503E6;Rn:P31977
Q86UQ0	Q9NVN8	51385	54552	ZNF589	GNL3L	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Ce:Q21086;Dm:Q8MT06;Dr:Q7SZX9;Mm:Q6PGG6;Rn:D3ZMZ9	-
Q86UQ0	Q99961	51385	6455	ZNF589	SH3GL1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q62419;Rn:O35964	Dr:A0A0R4IGE6
Q86UQ0	P28799	51385	2896	ZNF589	GRN	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Rn:G3V8V1	Dr:F1R6I2;Mm:P28798
Q86UQ0	P17542	51385	6886	ZNF589	TAL1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Dr:O93507;Mm:P22091;Rn:D3Z921	-
Q86UQ0	Q9Y334	51385	80737	ZNF589	VWA7	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	-	-	Mm:Q9JHA8;Rn:Q6MG64	Dr:Q1L860
Q86UQ0	O00139	51385	3796	ZNF589	KIF2A	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:P28740;Rn:F1M8L1	-
Q86UQ0	Q8N8E2	51385	130557	ZNF589	ZNF513	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	Mm:Q6PD29;Rn:Q5FWU5	Dr:A0A0G2KXF2
Q86UQ0	O75335	51385	8497	ZNF589	PPFIA4	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	-	-
Q86UQ0	R4GMX3	51385	100532731	ZNF589	COMMD3-BMI1	chromatin immunoprecipitation assay	29126285	Homo sapiens	ReMap	No	-	-	-	-
Q86UQ0	Q8N108	51385	57708	ZNF589	MIER1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	-	-	Dm:A1Z6Z7;Dr:E9QHV5;Mm:Q5UAK0;Rn:A0A0G2KA91	-
