expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-1125	M21B-DOWNSTREAM:00819	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout|second_messenger_readout	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE08285	NRG1-beta	M21B-E001759	NODE03334	ERBB2/HER2:ERBB3/HER3 receptor complex									NRG1-beta-HER2/HER3 receptor phosphorylation and PI3K/Shc/MAPK readout	NRG1-ERBB2-ERBB3-activation	primary_literature_route_expansion	primary_receptor_and_functional_output	M21B-E001759;M21B-EVID-001702;M21B-DOWNSTREAM-EVID:001350;PMID:9693119	M21B-DOWNSTREAM-EVID:001350	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1125	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Human/mammalian receptor-expressing cells with HER2 and HER3, heregulin/NRG1 stimulation, HER2 kinase-inactivation controls, and HER3 phosphorylation, PI3K, Shc and MAPK readouts	NRG1-beta input to the HER2/HER3 plasma-membrane receptor complex; receptor phosphorylation and downstream pathway readouts	no SCI transfer inferred; receptor-expressing comparator systems only	Preserve HER2 kinase transactivation of kinase-impaired HER3 and NRG1-beta/heregulin isoform semantics; do not infer a terminal TF or SCI response.	NRG1/heregulin stimulation, receptor kinase-inactivation mutants, receptor phosphorylation, PI3K/Shc/MAPK assays	activating	composite_primary_evidence	PMID:9693119	Heregulin/NRG1 stimulated HER3 phosphorylation and PI3K, Shc and MAPK signaling through kinase-active HER2 in receptor-expressing cells; PMID:9693119.	NRG1-beta-HER2/HER3 input is retained as an explicit receptor-output route with receptor phosphorylation and PI3K/Shc/MAPK readouts.	No named intracellular cascade, TF, target gene or SCI function is inferred; preserve the HER2 kinase-transactivation and receptor-expression context.	curated_primary_route	LITEXP:001125
M21B-LITEXP-1126	M21B-DOWNSTREAM:00828	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|protein_secretion_or_release	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE03023	eCIRP	M21B-E001920	NODE11154	TLR4:MD2									eCIRP-TLR4/MD2 macrophage cytokine-release and inflammatory output	eCIRP-TLR4-MD2-inflammatory-activation	primary_literature_route_expansion	primary_receptor_and_functional_output	M21B-E001920;M21B-EVID-001863;M21B-DOWNSTREAM-EVID:001366;PMID:24097189;PMCID:PMC3826915	M21B-DOWNSTREAM-EVID:001366	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1126	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	mouse	Primary mouse peritoneal macrophages with Tlr4-, Rage- and Tlr2-deficient comparisons; recombinant CIRP; cytokine release and hemorrhagic-shock/sepsis inflammatory readouts	extracellular CIRP input to the TLR4/MD2 complex; macrophage cytokine release and systemic inflammatory output	no SCI transfer inferred; hemorrhagic-shock and sepsis comparator models only	Preserve extracellular CIRP, the TLR4/MD2 complex and TLR4-dependent function; do not infer a terminal TF or SCI response.	surface-plasmon-resonance binding to TLR4, MD2 and TLR4/MD2, wild-type and receptor-deficient macrophages, cytokine-release assays	activating	composite_primary_evidence	PMID:24097189; PMCID:PMC3826915	Extracellular CIRP binds TLR4/MD2 and induces TLR4-dependent TNF-alpha, IL-6 and HMGB1 inflammatory responses; PMID:24097189; PMCID:PMC3826915.	eCIRP-TLR4/MD2 is retained as an explicit ligand-receptor-output route with direct binding and TLR4-dependent cytokine-release evidence.	No named intracellular cascade, TF, target gene or SCI function is inferred; preserve DAMP, macrophage and systemic inflammatory model boundaries.	curated_primary_route	LITEXP:001126
M21B-LITEXP-1127	M21B-DOWNSTREAM:00902	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout|second_messenger_readout	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE03189	Endostatin/COL18A1 fragment	M21B-E002197	NODE06085	KDR/VEGFR2									Endostatin-KDR/VEGFR2 antagonism with reduced endothelial phosphorylation and MAPK/FAK output	Endostatin-VEGFR2-angiostasis	primary_literature_route_expansion	primary_receptor_inhibitory_output	M21B-E002197;M21B-EVID-002140;M21B-DOWNSTREAM-EVID:001478;PMID:12029087	M21B-DOWNSTREAM-EVID:001478	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1127	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Recombinant human endostatin and purified KDR/Flk-1 extracellular domain; human umbilical-vein endothelial cells with VEGFR2 phosphorylation, ERK, p38 and FAK readouts	endostatin interaction with the KDR/VEGFR2 extracellular receptor domain; inhibited VEGF-receptor phosphorylation and endothelial signaling	no SCI transfer inferred; endothelial comparator model only	Retain endostatin as the collagen XVIII C-terminal fragment and KDR/VEGFR2 as an antagonized receptor; do not treat this as productive VEGFR2 signaling.	affinity chromatography, VEGF-binding competition, purified KDR/Flk-1 interaction, endothelial VEGFR2 phosphorylation, ERK, p38 and FAK assays	inhibitory	composite_primary_evidence	PMID:12029087	Endostatin directly interacts with KDR/Flk-1 and blocks VEGF-induced receptor phosphorylation, ERK, p38 and FAK activation; PMID:12029087.	Endostatin-KDR/VEGFR2 is retained as an inhibitory ligand-receptor-output route with direct receptor interaction and reduced endothelial phosphorylation/MAPK/FAK readouts.	No productive intracellular cascade, TF, target gene or SCI function is inferred; preserve the inhibitory competition and endothelial-cell context.	curated_primary_route	LITEXP:001127
M21B-LITEXP-1128	M21B-DOWNSTREAM:01296	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout|phosphorylation_or_activation_readout|cleavage_or_processing_readout	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE08733	PAI-1/SERPINE1	M21B-E003091	NODE06516	LRP1/CD91									PAI-1-LRP1 JAK/STAT-associated migration and motility output	PAI1-LRP1-JAK-STAT-migration	primary_literature_route_expansion	primary_receptor_and_functional_output	M21B-E003091;M21B-EVID-003034;M21B-DOWNSTREAM-EVID:002073;PMID:15001579;DOI:10.1074/jbc.M313004200	M21B-DOWNSTREAM-EVID:002073	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1128	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	rat	Rat smooth-muscle cells with active, inactive and cleaved PAI-1, LRP antibody/RAP and LRP-deficient-cell controls; chemotaxis, migration and JAK/STAT activation assays	PAI-1 input to LRP1/CD91; receptor-dependent JAK/STAT-associated motility and migration output	no SCI transfer inferred; smooth-muscle comparator model only	Preserve PAI-1 conformational state, the uPA/uPAR-independent branch and LRP1 dependence; do not infer a terminal TF or SCI response.	LRP antibody and RAP blockade, LRP-binding-deficient PAI-1 mutant, LRP-deficient cells, chemotaxis, migration and JAK/STAT assays	activating	composite_primary_evidence	PMID:15001579; DOI:10.1074/jbc.M313004200	PAI-1 binding to LRP1 activates Jak/Stat signaling and migration; LRP blockade, RAP and LRP-binding-deficient PAI-1 remove the response; PMID:15001579.	PAI-1-LRP1 is retained as an explicit ligand-receptor-output route with LRP-dependent JAK/STAT and migration evidence.	No named intracellular adaptor, TF, target gene or SCI function is inferred; preserve active/inactive/cleaved PAI-1 and smooth-muscle model boundaries.	curated_primary_route	LITEXP:001128
M21B-LITEXP-1129	M21B-DOWNSTREAM:01542	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE03636	FGF5	M21B-E005095	NODE03655	FGFR1c									FGF5-FGFR1c receptor activation and mitogenic output	FGF5-FGFR1c-activation	primary_literature_route_expansion	primary_receptor_functional_output	M21B-E005095;M21B-EVID-005038;M21B-DOWNSTREAM-EVID:002434;PMID:8663044;PMID:16597617;PMCID:PMC2080618	M21B-DOWNSTREAM-EVID:002434	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1129	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	as stated in primary model/assay	BaF3 and engineered mitogenically responsive cells expressing FGFR1c and other FGFR splice variants; recombinant FGF5 with heparin-supported receptor-specific mitogenic assays	FGF5 input to FGFR1c; receptor activation and mitogenic output in engineered receptor-expression systems	no SCI transfer inferred; engineered FGFR comparator systems only	Preserve heparan-sulfate dependence, FGFR splice-isoform and relative-activity limits; later binding caveats mean this is activation/function evidence rather than strong purified binary binding.	engineered FGFR splice-variant cell lines, recombinant FGF5, heparin-supported mitogenic and receptor-activation assays	activating	composite_primary_evidence	PMID:8663044; PMID:16597617; PMCID:PMC2080618	FGF5 shows receptor-specific activation in engineered FGFR assays, including the FGFR1c context, with heparan-sulfate and splice-isoform dependence; PMID:8663044; PMID:16597617.	FGF5-FGFR1c is retained as an explicit ligand-receptor-output route with receptor-specific activation and mitogenic evidence.	No named intracellular cascade, TF, target gene or SCI function is inferred; preserve relative activity and receptor-splice context and do not overstate direct binding.	curated_primary_route	LITEXP:001129
M21B-LITEXP-1130	M21B-DOWNSTREAM:01651	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|cellular_functional_readout|gene_expression_or_transcription	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE08373	NT3/NTF3	M21B-E005574	NODE08398	NTRK1/TrkA receptor									NT3-TrkA autophosphorylation with neuritogenesis, survival and growth-associated-gene output	NT3-TrkA-RTK	primary_literature_route_expansion	primary_receptor_and_functional_output	M21B-E005574;M21B-EVID-005517;M21B-DOWNSTREAM-EVID:002600;PMID:9015308;PMID:7972023	M21B-DOWNSTREAM-EVID:002600	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1130	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	rat	Rat sympathetic neurons and PC12/heterologous TrkA isoform systems with NT3 stimulation, TrkA autophosphorylation, neurite outgrowth, survival, differentiation and growth-associated-gene readouts	NT3 input to TrkA; receptor autophosphorylation and neuronal survival/neuritogenesis output	no SCI transfer inferred; sympathetic-neuron comparator systems only	Preserve lower-efficiency and TrkA-isoform-dependent NT3 activation relative to NGF; do not infer a terminal TF or SCI response.	NT3 stimulation, TrkA autophosphorylation, TrkA-isoform perturbation, neurite outgrowth, survival and growth-associated-gene assays	activating	composite_primary_evidence	PMID:9015308; PMID:7972023	NT3 activates TrkA in sympathetic neurons and supports neuritogenesis and growth-associated gene expression, with lower survival efficiency than NGF; PMID:9015308.	NT3-TrkA is retained as an explicit ligand-receptor-output route with receptor autophosphorylation and neuronal functional/gene-expression readouts.	No named intracellular cascade, TF, target gene or SCI function is inferred; growth-associated gene readouts are not treated as a terminal target-gene chain.	curated_primary_route	LITEXP:001130
M21B-LITEXP-1131	M21B-DOWNSTREAM:01652	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE08373	NT3/NTF3	M21B-E005575	NODE08406	NTRK2/TrkB receptor									NT3-TrkB receptor tyrosine phosphorylation and DNA-synthesis/transformation output	NT3-TrkB-RTK	primary_literature_route_expansion	primary_receptor_and_functional_output	M21B-E005575;M21B-EVID-005518;M21B-DOWNSTREAM-EVID:002602;PMID:1649702;PMID:9133581	M21B-DOWNSTREAM-EVID:002602	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1131	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	Human/mammalian TrkB/gp145trkB receptor-expressing NIH3T3 and PC12 comparator systems with radiolabeled NT3 binding/competition, receptor tyrosine phosphorylation and DNA-synthesis/transformation assays	NT3 input to TrkB; receptor tyrosine phosphorylation and receptor-dependent cellular activation output	no SCI transfer inferred; receptor-expression comparator systems only	Preserve cross-ligand competition, receptor-expression and relative-efficiency limits; do not infer a terminal TF or SCI response.	radiolabeled NT3 binding and competition, TrkB tyrosine phosphorylation, NIH3T3 DNA synthesis/transformation and neurotrophin-response assays	activating	composite_primary_evidence	PMID:1649702; PMID:9133581	NT3 binds and phosphorylates TrkB and induces receptor-dependent DNA synthesis/transformation in TrkB-expressing cells; PMID:1649702.	NT3-TrkB is retained as an explicit ligand-receptor-output route with receptor tyrosine phosphorylation and cellular activation evidence.	No named intracellular cascade, TF, target gene or SCI function is inferred; preserve the heterologous receptor-expression and relative-response context.	curated_primary_route	LITEXP:001131
M21B-LITEXP-1132	M21B-DOWNSTREAM:01817	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE02886	DLL4	M21B-E006228	NODE08172	NOTCH1 receptor									DLL4-NOTCH1 juxtacrine activation and Notch reporter output	DLL4-NOTCH1-canonical-Notch	primary_literature_route_expansion	primary_receptor_reporter_output	M21B-E006228;M21B-EVID-006171;M21B-DOWNSTREAM-EVID:002882;PMID:30289388;PMCID:PMC6202052;DOI:10.7554/eLife.40045	M21B-DOWNSTREAM-EVID:002882	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1132	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	mouse	Mouse DLL4/DLL1 ligand-expressing cells and NOTCH1/NOTCH2 reporter co-cultures with recombinant ligand/receptor biochemical comparisons and domain-swap assays	membrane-bound DLL4 to NOTCH1 ectodomain at a cell-cell contact; Notch reporter activation output	no SCI transfer inferred; developmental and engineered co-culture systems only	Preserve membrane/ectodomain-dependent juxtacrine signaling and DLL4 preference for NOTCH1; do not infer NICD, TF or target-gene layers from the reporter route alone.	DLL4/DLL1 ligand-expressing co-cultures, NOTCH1/NOTCH2 reporters, recombinant ectodomain binding, domain swaps and receptor-selectivity assays	activating	composite_primary_evidence	PMID:30289388; PMCID:PMC6202052; DOI:10.7554/eLife.40045	Cell-based and biochemical studies show DLL4 preferentially activates NOTCH1 and produces a Notch reporter readout; PMID:30289388; PMCID:PMC6202052.	DLL4-NOTCH1 is retained as an explicit juxtacrine ligand-receptor-output route with receptor selectivity and Notch reporter evidence.	No intracellular relay, TF, target gene or SCI function is inferred; preserve cell-contact, ectodomain and developmental comparator limits.	curated_primary_route	LITEXP:001132
M21B-LITEXP-1133	M21B-DOWNSTREAM:02015	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE03830	FSTL1/follistatin-like 1	M21B-E006607	NODE11153	TLR4/Toll-like receptor 4									FSTL1-CD14/TLR4 receptor-dependent IL-6/IL-8 innate-response output	FSTL1-TLR4-CD14-innate-activation	primary_literature_route_expansion	primary_receptor_and_functional_output	M21B-E006607;M21B-EVID-006550;M21B-DOWNSTREAM-EVID:003205;PMID:22265692;DOI:10.1016/j.febslet.2012.01.010	M21B-DOWNSTREAM-EVID:003205	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1133	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	Human and mouse recombinant FSTL1 systems; HEK293/NIH3T3 target cells with CD14/TLR4 perturbation and knockout comparisons; IL-6/IL-8 induction and LPS-tolerance readouts	FSTL1 input in a CD14 co-receptor context with TLR4-dependent innate-response output	no SCI transfer inferred; innate-immune comparator systems only	Promote receptor-dependent FSTL1-TLR4 activity in the CD14 context without upgrading it to a direct binary TLR4-binding claim or universal TLR4 activation.	recombinant FSTL1, CD14/TLR4 perturbation and knockout comparisons, IL-6/IL-8 induction and LPS-tolerance assays	activating	composite_primary_evidence	PMID:22265692; DOI:10.1016/j.febslet.2012.01.010	Recombinant FSTL1 induced IL-6/IL-8 production in a CD14- and TLR4-dependent manner and induced LPS tolerance; PMID:22265692.	FSTL1-TLR4 is retained as a receptor-dependent ligand-output route with CD14 context and IL-6/IL-8 innate-response evidence.	No named intracellular cascade, TF, target gene or SCI function is inferred; preserve the CD14 co-receptor and receptor-dependence caveat.	curated_primary_route	LITEXP:001133
M21B-LITEXP-1134	M21B-DOWNSTREAM:02022	ligand>receptor>????>????>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|second_messenger_readout|cellular_functional_readout	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_assayed	NODE02746	CYTL1/cytokine-like protein 1	M21B-E006619	NODE01768	CCR2B/CCR2									CYTL1-CCR2B Gi/ERK-associated monocyte and macrophage chemotaxis output	CYTL1-CCR2B-ERK-chemotaxis	primary_literature_route_expansion	primary_receptor_and_functional_output	M21B-E006619;M21B-EVID-006562;M21B-DOWNSTREAM-EVID:003213;PMID:27084102;DOI:10.4049/jimmunol.1501908	M21B-DOWNSTREAM-EVID:003213	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-1134	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	human; mouse	HEK293 cells expressing human CCR2B or CCR2B-EGFP; human monocytes; wild-type and Ccr2-null mouse macrophages with recombinant human or mouse CYTL1	CYTL1 input to CCR2B; pertussis-toxin-sensitive CCR2B/ERK-associated chemotaxis and receptor-internalization output	no SCI transfer inferred; monocyte/macrophage comparator systems only	Retain CYTL1 as an atypical cytokine-like CCR2B ligand with receptor-dependent chemotaxis and ERK function; do not classify it as a canonical chemokine or infer universal G-protein coupling.	CCR2B expression, receptor internalization and radioactive-binding assays, monocyte/macrophage chemotaxis, Ccr2-null controls, pertussis-toxin and ERK assays	activating	composite_primary_evidence	PMID:27084102; DOI:10.4049/jimmunol.1501908	CYTL1 uses CCR2B to drive pertussis-toxin-sensitive monocyte/macrophage chemotaxis through a CCR2B-ERK-associated response; PMID:27084102.	CYTL1-CCR2B is retained as an explicit ligand-receptor-output route with receptor binding/internalization, ERK and chemotaxis evidence.	No named intracellular adaptor, TF, target gene or SCI function is inferred; preserve atypical-ligand, recombinant-protein and monocyte/macrophage context.	curated_primary_route	LITEXP:001134
