expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-3526	M21B-DOWNSTREAM:01607	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|reporter_readout|second_messenger_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE11829	WNT5A	M21B-E005455	NODE03880	FZD7					WNT5A-ROR2-FZD7 Dishevelled polymerization, Rac1 and AP-1 output	WNT5A-ROR2-FZD7-receptor-complex	primary_literature_route_expansion	primary_receptor_complex_output	M21B-EVID-005398; PMID:20457807	M21B-DOWNSTREAM-EVID:002524	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3526	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	mouse	PMID:20457807	Primary WNT5A ROR2-FZD7 complex and AP-1 evidence	The retained route links WNT5A association with the ROR2-FZD7 multicomponent receptor complex to source-supported Dishevelled polymerization, Rac1 and AP-1 readouts.	Preserve ROR2-FZD7 receptor-complex dependence; do not claim isolated FZD7 occupancy, canonical signaling, SCI function or terminal-TF output.	curated_primary_route	LITEXP:003576
M21B-LITEXP-3527	M21B-DOWNSTREAM:00472	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE01396	BTLA pY257/pY282 ITIM-ITSM site-set					BTLA dual-site SHP1 association and inhibitory signaling output	BTLA-pY257-pY282-SHP1-inhibitory-site-set	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001079; PMID:14652006	M21B-DOWNSTREAM-EVID:000828	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3527	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	PMID:14652006	Primary BTLA dual-phosphosite SHP1 recruitment evidence	The retained receptor-proximal route links phosphorylation of the BTLA Y257/Y282 site-set to source-supported SHP1 association and inhibitory signaling.	Preserve dual-site dependence, SHP1 context and site-set semantics; ligand identity, SCI transfer and terminal-TF output remain unasserted.	curated_primary_route	LITEXP:003577
M21B-LITEXP-3528	M21B-DOWNSTREAM:00473	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE01396	BTLA pY257/pY282 ITIM-ITSM site-set					BTLA dual-site SHP2 association and inhibitory signaling output	BTLA-pY257-pY282-SHP2-inhibitory-site-set	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001080; PMID:14652006	M21B-DOWNSTREAM-EVID:000829	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3528	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	PMID:14652006	Primary BTLA dual-phosphosite SHP2 recruitment evidence	The retained receptor-proximal route links phosphorylation of the BTLA Y257/Y282 site-set to source-supported SHP2 association and inhibitory signaling.	Preserve dual-site dependence, SHP2 context and site-set semantics; ligand identity, SCI transfer and terminal-TF output remain unasserted.	curated_primary_route	LITEXP:003578
M21B-LITEXP-3529	M21B-DOWNSTREAM:00508	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE05490	IL4Ralpha pY497					IL4Ralpha pY497-IRS1 phosphorylation and proliferation output	IL4R-pY497-IRS1	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001128; PMID:8124718	M21B-DOWNSTREAM-EVID:000891	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3529	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	PMID:8124718	Primary IL4Ralpha pY497 IRS1 docking and proliferation evidence	The retained receptor-proximal route links IL4Ralpha pY497 to source-supported IRS1 recruitment, IRS1 phosphorylation and proliferation output.	Preserve direct PTB/adaptor docking and engineered hematopoietic-cell context; do not infer a generic IL-4 or SCI pathway.	curated_primary_route	LITEXP:003579
M21B-LITEXP-3530	M21B-DOWNSTREAM:00510	receptor>intracellular>output	receptor_intracellular_tf_annotation_missing_ligand_receptor_and_output	receptor|intracellular_continuation|transcription_factor|phosphorylation_or_activation_readout	ligand_receptor_input|target_gene_expression	source_supported				NODE05437	IL2RB pY392/pY510 site-set	NODE10719	STAT5			IL2Rbeta redundant-site-set STAT5 DNA-binding output	IL2RB-STAT5-redundant-site-set	primary_literature_route_expansion	primary_receptor_proximal_tf_output	M21B-EVID-001134; PMID:7543676	M21B-DOWNSTREAM-EVID:000895	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3530	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mouse	PMID:7543676	Primary IL2Rbeta Y392/Y510 STAT5 DNA-binding evidence	The retained receptor-proximal route links the IL2Rbeta Y392/Y510 site-set to source-supported STAT5 activation and DNA-binding output.	Preserve redundant Y392/Y510 site-set semantics; STAT5 is recorded as recruited or activated, not as terminal gene evidence.	curated_primary_route	LITEXP:003580
M21B-LITEXP-3531	M21B-DOWNSTREAM:00513	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE06606	Ly49A ITIM phosphotyrosine site-set					Ly49A phosphorylated-ITIM SHP1 recruitment and NK inhibition output	Ly49A-ITIM-SHP1-inhibitory-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001142; PMID:10457220; PMCID:PMC2326881	M21B-DOWNSTREAM-EVID:000902	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3531	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	mouse	PMID:10457220; PMCID:PMC2326881	Primary Ly49A ITIM SHP1 inhibitory recruitment evidence	The retained receptor-proximal route links H-2Dd-dependent Ly49A phosphorylation to source-supported SHP1 recruitment and NK-cell inhibition.	Preserve H-2Dd/MHC-I ligand engagement, receptor-tail site-set and murine NK-cell context; no terminal-TF inference is asserted.	curated_primary_route	LITEXP:003581
M21B-LITEXP-3532	M21B-DOWNSTREAM:00514	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE03892	G6B-B ITIM/ITSM site-set					G6B-B dual-motif SHP1 association and platelet inhibition output	G6B-B-ITIM-ITSM-SHP1-platelet-inhibition	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001144; PMID:11544253; PMCID:PMC3501490	M21B-DOWNSTREAM-EVID:000903	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3532	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	PMID:11544253; PMCID:PMC3501490	Primary G6B-B ITIM/ITSM SHP1 platelet-inhibition evidence	The retained receptor-proximal route links phosphorylated G6B-B ITIM/ITSM motifs to source-supported SHP1 association and platelet inhibitory output.	Preserve dual-phosphotyrosine and isoform context; no SCI or terminal-TF inference is asserted.	curated_primary_route	LITEXP:003582
M21B-LITEXP-3533	M21B-DOWNSTREAM:00529	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE02007	CDH1/E-cadherin juxtamembrane domain					E-cadherin juxtamembrane p120-catenin recruitment and adhesion stability output	CDH1-p120-cadherin-stability	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001200; PMID:10629228	M21B-DOWNSTREAM-EVID:000935	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3533	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human; mouse	PMID:10629228	Primary E-cadherin juxtamembrane p120-catenin evidence	The retained receptor-proximal route links the E-cadherin juxtamembrane domain to source-supported p120-catenin association and adhesion stability.	Preserve epithelial and cadherin-tail context; no direct E-cadherin-alpha-catenin inference is asserted.	curated_primary_route	LITEXP:003583
M21B-LITEXP-3534	M21B-DOWNSTREAM:00568	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout|second_messenger_readout|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE09582	RAGE/AGER cytoplasmic tail					RAGE-tail DIAPH1 Rac1/Cdc42 and migration output	RAGE-DIAPH1-actin-migration	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001266; PMID:18922799	M21B-DOWNSTREAM-EVID:000990	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3534	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	PMID:18922799	Primary RAGE cytoplasmic-tail DIAPH1 Rho-family output evidence	The retained receptor-proximal route links the RAGE cytoplasmic tail to source-supported DIAPH1 association, Rac1/Cdc42 activation and migration output.	Preserve cytoplasmic effector association and actin/migration context; RAGE ligand identity, SCI transfer and terminal-TF output remain unasserted.	curated_primary_route	LITEXP:003584
M21B-LITEXP-3535	M21B-DOWNSTREAM:03271	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phosphorylation_or_activation_readout	intracellular_continuation|transcription_factor|target_gene_expression	not_mapped	NODE08849	PDPN/podoplanin	M21B-E003841	NODE02225	CLEC1B/CLEC-2					Podoplanin-CLEC-2 receptor binding and platelet activation output	Podoplanin-CLEC2-platelet-activation	primary_literature_route_expansion	primary_receptor_functional_output	M21B-EVID-003784; PMID:18215137; PMID:17616532	M21B-DOWNSTREAM-EVID:004645	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3535	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	PMID:18215137; PMID:17616532	Primary podoplanin CLEC-2 binding and platelet activation evidence	The retained route links membrane-associated podoplanin to direct CLEC-2 binding and source-supported platelet activation output.	Preserve membrane-associated and glycosylated podoplanin, receptor clustering and platelet or renal-cell comparator boundaries; no SCI or terminal-TF inference is asserted.	curated_primary_route	LITEXP:003585
