expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	target_output_form_id	output_node_id	output_label	output_form_id	bridge_id	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_chain_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	context_scope	source_scope	primary_locator	citation_note	curation_status	evidence_summary	limitations	route_evidence_id
M21B-LITEXP-4071	M21B-DOWNSTREAM:02546	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			IL36Ra-IL36R-antagonist	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-001682	M21B-LITEXP-4071	M21B-DOWNSTREAM-EVID:003915	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMID:29180446	Primary evidence record M21B-DOWNSTREAM-EVID:003915; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The reviews identify IL-36Ra as the cognate antagonist and cite quantitative binding work showing that IL-36Ra competes for IL1RL2 and prevents agonist-dependent IL1RAP recruitment. Primary model/assay: Purified human IL-36Ra, IL-36α, IL1RL2/IL-36R, and IL1RAP/IL-1RAcP ectodomains; SPR competition and receptor-complex binding assays, with HaCaT antagonist-response validation	Promote IL-36Ra antagonism as competitive blockade of IL1RAP recruitment/functional complex assembly; do not encode IL-36Ra as a signaling agonist or infer SCI effects.	LITEXP:004101
M21B-LITEXP-4072	M21B-DOWNSTREAM:02553	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			CD300E-dual-DAP12-myeloid-adaptor-assembly	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-001880	M21B-LITEXP-4072	M21B-DOWNSTREAM-EVID:003922	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMID:29358324	Primary evidence record M21B-DOWNSTREAM-EVID:003922; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The review identifies CD300E as an activating CD300 receptor associated with ITAM adaptors; the cited primary demonstrates physical interaction with DAP12 and DAP12-dependent cytokine signaling in mouse and human myeloid systems. Primary model/assay: Mouse CD300E-transduced bone-marrow-derived mast cells and CD115-positive monocytes; human CD300E comparator monocytes; DAP12/FcRgamma-deficient systems, co-immunoprecipitation, sphingomyelin binding and cytokine assays	Preserve mouse CD300E dual DAP12/FcRgamma and sphingomyelin context; the primary shows both adaptors contribute to activation, with no SCI or terminal-TF inference.	LITEXP:004102
M21B-LITEXP-4073	M21B-DOWNSTREAM:02554	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			CD300E-dual-FcRgamma-myeloid-adaptor-assembly	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-001881	M21B-LITEXP-4073	M21B-DOWNSTREAM-EVID:003923	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMID:29358324	Primary evidence record M21B-DOWNSTREAM-EVID:003923; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The review identifies CD300E as an activating CD300 receptor associated with ITAM adaptors; the cited primary demonstrates physical interaction with FcRgamma and FcRgamma-dependent cytokine signaling in mouse and human myeloid systems. Primary model/assay: Mouse CD300E-transduced bone-marrow-derived mast cells and CD115-positive monocytes; human CD300E comparator monocytes; DAP12/FcRgamma-deficient systems, co-immunoprecipitation, sphingomyelin binding and cytokine assays	Preserve mouse CD300E dual DAP12/FcRgamma and sphingomyelin context; do not collapse FcRgamma into DAP12 or infer a single-adaptor mechanism, SCI branch, or terminal-TF effect.	LITEXP:004103
M21B-LITEXP-4074	M21B-DOWNSTREAM:02555	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			CD200R3-DAP12-mast-cell-adaptor-assembly	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-001886	M21B-LITEXP-4074	M21B-DOWNSTREAM-EVID:003924	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMID:17982101; DOI:10.4049/jimmunol.179.12.8263	Primary evidence record M21B-DOWNSTREAM-EVID:003924; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The review describes CD200R3 as a positively charged transmembrane alternate receptor with DAP12 association; the cited primary shows CD200R3 primarily associates with DAP12 and that cross-linking activates mast-cell degranulation and basophil IL-4 production. Primary model/assay: Mouse mast cells and basophils, CD200R3 monoclonal-antibody cross-linking, receptor/adaptor association, degranulation, IL-4 production and CD200R3-dependent anaphylaxis models	Preserve murine CD200R3 splice/alternate-receptor and DAP12 context; physiological ligand assignment remains uncertain, and no generic CD200R1 or SCI/terminal-TF inference is made.	LITEXP:004104
M21B-LITEXP-4075	M21B-DOWNSTREAM:02556	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			NKR-P1C-FcRgamma-activating-receptor-assembly	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-001887	M21B-LITEXP-4075	M21B-DOWNSTREAM-EVID:003925	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMID:9819435; PMCID:PMC2199168; DOI:10.1084/jem.186.12.1957	Primary evidence record M21B-DOWNSTREAM-EVID:003925; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The review identifies FcRgamma as the adaptor required for NKR-P1C signaling; the cited primary demonstrates NKR-P1/FcRgamma association in mouse NK and NK1.1-positive T-cell systems and loss of cytotoxicity/IFN-gamma responses in FcRgamma-deficient cells. Primary model/assay: Mouse CTLL-2/NK1.1-positive T cells, rat NK cells and IL-2-expanded mouse NK cells; surface biotinylation, immunoprecipitation, FcRgamma-deficient NK cells and NKR-P1 cross-linking with cytotoxicity/IFN-gamma readouts	Preserve mouse NKR-P1C/Klrb1c and FcRgamma homodimer context; the primary uses NKR-P1/NK1.1 cross-linking and does not establish a physiological ligand, with no SCI/terminal-TF inference.	LITEXP:004105
M21B-LITEXP-4076	M21B-DOWNSTREAM:02557	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			CD229-Y470EKL-AP2-endocytosis	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-002049	M21B-LITEXP-4076	M21B-DOWNSTREAM-EVID:003926	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMID:12621057	Primary evidence record M21B-DOWNSTREAM-EVID:003926; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The reviews identify CD229 as the SLAM-family exception with AP-2-dependent internalization; the cited primary maps AP-2 mu2 binding to the Y470EKL motif and links its integrity to receptor endocytosis. Primary model/assay: Human CD229 cytoplasmic-tail mutants, yeast two-hybrid/co-immunoprecipitation with AP-2 mu2, Jurkat and B-cell lines, antibody-ligation and receptor-internalization assays	Promote only the Y470EKL-to-AP2M1 trafficking branch; preserve human Y470 numbering, lymphocyte-cell and ligation context, and distinguish it from SAP recruitment and signaling.	LITEXP:004106
M21B-LITEXP-4077	M21B-DOWNSTREAM:02649	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			KCTD8-GABBR2-auxiliary-receptor-complex	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-002533	M21B-LITEXP-4077	M21B-DOWNSTREAM-EVID:004018	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMID:23035119; PMCID:PMC3501043	Primary evidence record M21B-DOWNSTREAM-EVID:004018; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The review identifies KCTD8 as a GABA-B auxiliary subunit whose T1 domain binds the GABA-B2 cytoplasmic tail; the cited primary places KCTD8 with GABA-B1/GABA-B2 receptor complexes and distinguishes its functional desensitization behavior from KCTD12/12b/16. Primary model/assay: Human/mammalian recombinant GABA-B1/GABA-B2 plus KCTD8/KCTD12/KCTD16 systems; receptor association, co-immunoprecipitation and GABA-evoked functional/desensitization assays	Represent KCTD8 as an auxiliary subunit in the GABA-B2 receptor complex; preserve pentameric auxiliary-subunit and receptor-tail context, do not generalize to all GABA-B signaling or infer SCI relevance.	LITEXP:004107
M21B-LITEXP-4078	M21B-DOWNSTREAM:02691	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			AnkB-Nav12-dendritic-targeting	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-002657	M21B-LITEXP-4078	M21B-DOWNSTREAM-EVID:004060	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMCID:PMC11097922	Primary evidence record M21B-DOWNSTREAM-EVID:004060; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The review cites endogenous ankyrin-B association with Nav1.2 and dendritic targeting. Primary model/assay: Mouse neocortical pyramidal neurons; endogenous co-immunoprecipitation, ankyrin-binding-motif deletion and dendritic-excitability assays	Keep distinct from ankyrin-G/AIS biology and preserve the Nav1.2 delta9 motif boundary.	LITEXP:004108
M21B-LITEXP-4079	M21B-DOWNSTREAM:02693	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			NGL2-PSD95-excitatory-synapse	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-002660	M21B-LITEXP-4079	M21B-DOWNSTREAM-EVID:004062	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMID:16980967	Primary evidence record M21B-DOWNSTREAM-EVID:004062; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The review cites direct NGL2 intracellular scaffold association with PSD-95 and excitatory synapse function. Primary model/assay: Rat neurons; tail binding, overexpression/knockdown, synapse-number and excitatory-current assays	Preserve NGL2-specific tail and excitatory-synapse context.	LITEXP:004109
M21B-LITEXP-4080	M21B-DOWNSTREAM:02694	retained_evidence_route	????>????>????>????>output	downstream_output_annotation_unlinked_topology	receptor_proximal_evidence	ligand_receptor_pair|functional_output|transcription_factor|target_gene_expression	source_supported																	source-supported receptor-proximal interaction; functional output not mapped			SALM1-PSD95-synaptic-scaffold	primary_literature_route_expansion	receptor_proximal_complex_evidence	M21B-EVID-002661	M21B-LITEXP-4080	M21B-DOWNSTREAM-EVID:004063	literature_expansion:primary_receptor_complex_annotation	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	unknown	Primary source-linked receptor-proximal interaction; functional output and topology remain unresolved.	ambiguous_topology_primary_evidence	PMID:16495444	Primary evidence record M21B-DOWNSTREAM-EVID:004063; functional output remains unasserted.	curated_primary_route	Primary-supported claim: The review cites SALM1 C-terminal ESTV PDZ association with PSD-95 and synaptic recruitment. Primary model/assay: HEK293 cells, rat synaptosomes and hippocampal neurons; co-immunoprecipitation, PDZ-motif deletion and synaptic-puncta recruitment	Preserve the C-terminal ESTV motif and cell-based scaffold-association evidence.	LITEXP:004110
