expansion_id	source_queue_id	route_status	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_chain_id	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	primary_locator	citation_note	evidence_summary	limitations	curation_status	species_context	cell_type_context	effect_polarity	source_scope	route_evidence_id
M21B-LITEXP-6555	M21B-DOWNSTREAM:02269	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										IFNL3-IFNLR1-IL10RB antiproliferative assay output	IFNL3-type-III-receptor	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000075;M21B-DOWNSTREAM-EVID:003636;PMID:28329704	M21B-LITEXP-6555	M21B-DOWNSTREAM-EVID:003636	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:28329704	Primary IFN-lambda3 receptor-complex interface and Huh7.5 antiproliferative assay study.	Primary-supported claim: Reviews cite the IFN-lambda3/IFNLR1/IL10RB ternary structural complex and interface-function analysis. Primary model/assay: IFN-lambda3/IFN-lambdaR1/IL-10Rbeta ternary structural complex; interface mutagenesis and Huh7.5 antiproliferative assay.	Preserve IFN-lambda isoform and IFNLR1/IL10RB pairing; no IFNAR/IFNGR substitution or astrocyte/SCI claim. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	rat	IFN-lambda3/IFN-lambdaR1/IL-10Rbeta ternary structural complex; interface mutagenesis and Huh7.5 antiproliferative assay	unknown	direct_edge	LITEXP:002436
M21B-LITEXP-6556	M21B-DOWNSTREAM:02270	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										IL1A-IL1R2-IL1RAP decoy-complex formation readout	IL1R2-soluble-decoy	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000077;M21B-DOWNSTREAM-EVID:003637;PMID:12530978	M21B-LITEXP-6556	M21B-DOWNSTREAM-EVID:003637	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	PMID:12530978	Primary soluble IL-1R2/IL-1RAP decoy-complex binding study.	Primary-supported claim: Review states that IL-1R2 binds IL-1alpha/beta and forms an IL-1/IL-1RAP decoy complex, citing soluble receptor/accessory-protein binding measurements. Primary model/assay: Recombinant human IL-1alpha, soluble type-II IL-1 receptor, and soluble accessory protein; binding-affinity measurements.	Soluble decoy-complex layer only; no IL1R2 intracellular signaling or astrocyte/SCI specificity. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	human	Recombinant human IL-1alpha, soluble type-II IL-1 receptor, and soluble accessory protein; binding-affinity measurements	unknown	direct_edge	LITEXP:002437
M21B-LITEXP-6557	M21B-DOWNSTREAM:02271	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										IL1B-IL1R2-IL1RAP decoy-complex binding-enhancement readout	IL1R2-soluble-decoy	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000078;M21B-DOWNSTREAM-EVID:003638;PMID:12530978	M21B-LITEXP-6557	M21B-DOWNSTREAM-EVID:003638	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	PMID:12530978	Primary soluble IL-1R2/IL-1RAP accessory-protein binding study.	Primary-supported claim: Review cites the soluble IL-1R2/accessory-protein study showing enhanced IL-1beta binding to the decoy system. Primary model/assay: Recombinant human IL-1beta, soluble type-II IL-1 receptor, and soluble accessory protein; accessory protein increased IL-1beta binding to sIL1R2.	Preserve IL-1beta versus IL-1RA selectivity and soluble accessory-protein dependence; no intracellular IL1R2 relay. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	human	Recombinant human IL-1beta, soluble type-II IL-1 receptor, and soluble accessory protein; accessory-protein-enhanced binding to sIL1R2	unknown	direct_edge	LITEXP:002438
M21B-LITEXP-6558	M21B-DOWNSTREAM:02272	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										HMGB1-RAGE-heparan-sulfate chemotaxis/signaling output	HMGB1-RAGE-HS-migration	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000088;M21B-DOWNSTREAM-EVID:003639;PMID:21990362	M21B-LITEXP-6558	M21B-DOWNSTREAM-EVID:003639	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:21990362	Primary HMGB1/RAGE/heparan-sulfate receptor-complex and chemotaxis study.	Primary-supported claim: Reviews describe RAGE signaling as dependent on cell-surface heparan sulfate and cite the primary study defining the functional HMGB1 receptor complex. Primary model/assay: Human monocytes and RAGE-expressing cell systems; heparan-sulfate perturbation/depletion and HMGB1 stimulation; chemotaxis/signaling assays.	Cell-surface heparan-sulfate co-receptor context is required; preserve multicomponent receptor semantics and do not infer RAGE-only binding or a CNS-specific branch. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	human	Human monocytes and RAGE-expressing cell systems; heparan-sulfate perturbation/depletion and HMGB1 stimulation; chemotaxis/signaling assays	activating	direct_edge	LITEXP:002439
M21B-LITEXP-6559	M21B-DOWNSTREAM:02273	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										Hp-Hb-CD163 endocytic scavenger output	Hp-Hb-CD163-scavenging	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000089;M21B-DOWNSTREAM-EVID:003640;PMID:23671278	M21B-LITEXP-6559	M21B-DOWNSTREAM-EVID:003640	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:23671278	Primary Hp-Hb/CD163 ligand-mapping and macrophage scavenger-receptor study.	Primary-supported claim: Reviews identify the Hp-Hb complex as the CD163 ligand and cite the primary receptor-ligand mapping study. Primary model/assay: Human recombinant Hp-Hb and CD163 SRCR-domain systems; ligand-binding assays, receptor/ligand mutagenesis, and endocytic macrophage-receptor context.	Complex-dependent scavenger/endocytic edge; preserve human Hp-Hb isoform and Ca2+ context, and do not infer a canonical kinase relay from CD163 capture. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	human	Human recombinant Hp-Hb and CD163 SRCR-domain systems; ligand-binding assays, receptor/ligand mutagenesis, and endocytic macrophage-receptor context	unknown	direct_edge	LITEXP:002440
M21B-LITEXP-6560	M21B-DOWNSTREAM:02274	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										IL1A-sIL1R2-sIL1RAP decoy sequestration readout	IL1A-sIL1R2-sIL1RAP-decoy	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000104;M21B-DOWNSTREAM-EVID:003641;PMID:12530978	M21B-LITEXP-6560	M21B-DOWNSTREAM-EVID:003641	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	PMID:12530978	Primary soluble IL-1R2/IL-1RAP decoy-complex sequestration study.	Primary-supported claim: Review cites soluble IL-1R2/accessory-protein binding measurements for IL-1alpha decoy-complex sequestration. Primary model/assay: Recombinant human IL-1alpha, soluble human type-II IL-1 receptor, and soluble IL-1 receptor accessory protein; binding-affinity and decoy-complex assays.	Soluble decoy sequestration only; no IL1R2 intracellular signaling or astrocyte/SCI specificity. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	human	Recombinant human IL-1alpha, soluble human type-II IL-1 receptor, and soluble IL-1 receptor accessory protein; binding-affinity and decoy-complex assays	unknown	direct_edge	LITEXP:002441
M21B-LITEXP-6561	M21B-DOWNSTREAM:02275	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										IL1B-sIL1R2-sIL1RAP decoy sequestration readout	IL1B-sIL1R2-sIL1RAP-decoy	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000105;M21B-DOWNSTREAM-EVID:003642;PMID:12530978	M21B-LITEXP-6561	M21B-DOWNSTREAM-EVID:003642	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	generic_functional_readout	PMID:12530978	Primary soluble IL-1R2/IL-1RAP accessory-protein decoy study.	Primary-supported claim: Review cites soluble IL-1R2/accessory-protein binding measurements for IL-1beta decoy-complex sequestration. Primary model/assay: Recombinant human IL-1beta, soluble human type-II IL-1 receptor, and soluble human IL-1 receptor accessory protein; accessory-protein-enhanced binding and decoy-complex assays.	Soluble accessory-protein-dependent decoy branch; preserve IL-1beta specificity and do not infer canonical IL1R2 signaling. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	human	Recombinant human IL-1beta, soluble human type-II IL-1 receptor, and soluble IL-1 receptor accessory protein; accessory-protein-enhanced binding and decoy-complex assays	unknown	direct_edge	LITEXP:002442
M21B-LITEXP-6562	M21B-DOWNSTREAM:02276	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										IL33-ST2-IL1RAP receptor-complex signaling activation	IL33-ST2-IL1RAP	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000130;M21B-DOWNSTREAM-EVID:003643;PMID:19836339;PMCID:PMC2766095;PMID:17675517	M21B-LITEXP-6562	M21B-DOWNSTREAM-EVID:003643	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:19836339; PMCID:PMC2766095; PMID:17675517	Primary IL-33/ST2/IL-1RAcP receptor-complex assembly and signaling studies.	Primary-supported claim: The review cites biochemical, structural, and cellular evidence for IL-33 binding ST2 and assembly of the IL-33-ST2-IL-1RAcP heterotrimeric signaling complex. Primary model/assay: Human/mouse recombinant IL-33, ST2/IL1RL1, and IL1RAcP/IL1RAP proteins; NMR/SAXS complex analysis, receptor-complex immunoprecipitation, dominant-negative and cellular signaling assays.	Preserve ST2/IL1RAP heterotrimer topology and IL-33 ligand form; biochemical and immune-cell comparator evidence does not establish an SCI glial branch or terminal-TF claim. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	human; mouse	Human/mouse recombinant IL-33, ST2/IL1RL1, and IL1RAcP/IL1RAP proteins; NMR/SAXS complex analysis, receptor-complex immunoprecipitation, dominant-negative and cellular signaling assays	unknown	direct_edge	LITEXP:002443
M21B-LITEXP-6563	M21B-DOWNSTREAM:02277	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										disulfide-HMGB1-TLR4-MD2 inflammatory signaling activation	HMGB1-TLR4-MD2-redox	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000132;M21B-DOWNSTREAM-EVID:003644;PMID:25559892;PMCID:PMC4291531	M21B-LITEXP-6563	M21B-DOWNSTREAM-EVID:003644	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	PMID:25559892; PMCID:PMC4291531	Primary disulfide-HMGB1/MD-2/TLR4 isoform-specific inflammatory signaling study.	Primary-supported claim: The reviews identify the disulfide HMGB1-TLR4/MD-2 mechanism and cite the primary study showing isoform-specific MD-2 binding and TLR4-dependent inflammatory signaling. Primary model/assay: Human MD-2/TLR4 biochemical systems; SPR and immunoprecipitation; RAW264.7, THP-1, and primary mouse macrophages; MD-2 deficiency/silencing and in vivo injury/sepsis models.	Restrict ligand to cytokine-inducing disulfide HMGB1 and receptor to the TLR4-MD-2 complex; reduced/sulfonyl HMGB1 and LPS are not equivalent, and no SCI receiver or terminal-TF claim is added. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	human; mouse	Human MD-2/TLR4 biochemical systems; SPR and immunoprecipitation; RAW264.7, THP-1, and primary mouse macrophages; MD-2 deficiency/silencing and in vivo injury/sepsis models	activating	direct_edge	LITEXP:002444
M21B-LITEXP-6564	M21B-DOWNSTREAM:02278	retained_evidence_route	???? > ???? > ???? > ???? > output	downstream_output_annotation_unlinked_topology	output	ligand_receptor_pair|receptor|intracellular_continuation|transcription_factor	not_mapped										ephrin-B2-EphB4 vascular developmental function	EFNB2-EPHB4-vascular	primary_literature_route_expansion	primary_documented_output_unlinked_topology	M21B-EVID-000140;M21B-DOWNSTREAM-EVID:003645;PMID:16867992;PMID:10518221	M21B-LITEXP-6564	M21B-DOWNSTREAM-EVID:003645	literature_expansion:output_supported_topology_unresolved	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	PMID:16867992; PMID:10518221	Primary EphB4/ephrin-B2 structural recognition and vascular developmental function studies.	Primary-supported claim: The reviews cite direct EphB4-ephrin-B2 structural/biophysical recognition and genetic vascular function studies. Primary model/assay: Human recombinant EphB4 ligand-binding domain and ephrin-B2 ectodomain; X-ray crystallography, ITC/biophysical specificity assays, plus mouse endothelial developmental comparator models.	Preserve membrane-bound trans interaction and EphB4 specificity; the primary structural source supports binding while vascular genetics is contextual, with no CNS/SCI or reverse-signaling inference. Ligand-receptor topology remains unresolved; output evidence is retained without assigning source or target roles.	curated_primary_route	human; mouse; rat	Human recombinant EphB4 ligand-binding domain and ephrin-B2 ectodomain; X-ray crystallography, ITC/biophysical specificity assays, plus mouse endothelial developmental comparator models	activating	direct_edge	LITEXP:002445
