curation_id	pair_key	module	species	tf_symbol	target_symbol	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	external_record_keys	source_registries	public_reference_pmids	public_effect_polarities	public_verification_statuses	tf_entity_ids	target_entity_ids	tf_frozen_match_status	target_frozen_match_status	tf_role_present	target_role_present	cell_type_context	stimulus_context	shared_paper_status	cross_module_status	limitations	notes	graph_materialization_status
PUBTF-AGENT-00001	human|NR1H4|ABCB11	22B	human	NR1H4	ABCB11	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	11387316		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005059;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000804:60bc58add829	OmniPath_DoRothEA;TRRUST	11387316;11509573;11870371;12052824;12135489;12393883;12483266;12519787;12525500;12704471;12705905;12949728;12971955;14684380;14699511;15307955;15471871;15694933;15911693;16178789;16371446;16522742;16706681;16819395;17135343;17622954;18270374;18668687;19027009;19111018;19228886;19369578;19407337;19653193;19809379;19821532;19833092;19913492;21330447;22268101;22291955;22345554;23213087;23213138;23546875;24002920;24107776;24335466;24338587;24729004;25582706;25612518;25675114;25747729;26100621;26177448;26723467;26812075;26867564;27465948;27609522;27637290;27818225;28051334;28234635;28424617;28505368;28987596;29202514;29235094;29283075;29427579;29660435;29721568;30068870;30517764;31450152;31549733;32018210;32534360;32976922;33581308;34064649;34310734;34387888;34483922;34630081;34653908;34767876;34774795;34926449;35128688;35523117;35557817;35633129;35712714;36271579;36386150;36787806;36795945;36950015;37028458;37077819;37348807;37769812;37995646;38014837	activating_target;unknown	unverified_public_record	12802		mapped_unique	absent_from_frozen_graph	true	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=11387316; direct_evidence_pmids=11387316; source_lead_pmids=11387316.	review_ledger_only
PUBTF-AGENT-00002	mouse|Nfe2l2|Nqo1	22B	mouse	Nfe2l2	Nqo1	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	16785233	18474683	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003239;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000622:c12157744de0;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003240	OmniPath_DoRothEA;TRRUST	11013233;11035254;11162512;11248092;11309284;11439354;11471548;11804867;11948402;12084617;12149651;12234984;12370194;12556532;12584558;12730081;12816537;12947090;14510636;14522084;14985350;15288125;15385560;15476858;15570060;15574414;15734732;15896789;15901726;15919853;16092930;16135796;16243960;16267095;16314513;16449384;16460683;16485034;16785233;16923960;16948474;17077087;17081560;17142801;17189831;17278884;17313370;17353348;17360324;17403689;17420218;17462537;17668877;17822364;17854798;17935745;17980396;18028974;18039655;18162315;18164116;18353146;18404535;18444152;18455424;18467642;18474683;18488193;18535259;18559366;18566994;18617210;18754104;18782044;18787991;18813798;18942756;18981090;18981988;19007787;19033392;19125416;19129213;19150646;19151108;19246624;19283895;19367690;19371629;19410644;19452436;19474220;19520915;19524605;19558496;19563780;19573594;19584930;19633057;19706542;19897490;19998483;20149621;20172524;20175232;20309604;20350562;20354637;20361926;20392544;20405857;20418481;20421342;20498004;20511222;20528745;20594978;20599494;20600217;20605904;20623181;20664557;20681784;20713653;20722399;20734248;20805228;20826540;20833713;20854872;20864107;20864352;20868228;20888844;20933534;20934988;20974733;21039417;21059386;21092375;21097520;21109004;21130106;21172416;21211285;21217061;21254817;21256954;21259333;21281708;21325251;21382013;21394044;21401388;21426935;21464939;21483798;21512304;21524888;21539383;21569840;21602469;21615272;21622983;21626108;21638050;21656369;21670314;21745425;21752292;21781119;21787756;21796654;21821009;21843634;21861350;21873460;21887458;21895782;21912243;21919437;21926171;21937211;21945407;21947872;21971136;22010800;22019741;22021391;22023613;22031657;22035889;22072621;22154326;22155056;22155346;22178546;22222206;22226832;22227268;22230470;22236145;22245129;22260728;22273977;22302369;22304528;22308472;22310733;22325485;22346778;22348534;22366763;22445099;22459801;22460831;22461449;22474532;22521609;22521774;22526619;22575091;22607006;22634319;22683604;22781654;22793650;22836898;22853439;22859857;22871521;22911891;22931102;22955014;22964642;23000247;23026305;23035985;23056183;23056222;23063670;23109674;23219897;23244591;23253326;23261968;23333748;23360430;23387073;23390006;23401056;23413426;23416117;23419114;23441843;23476038;23485615;23494124;23496811;23514035;23525690;23535287;23546295;23555802;23584289;23585717;23585825;23637463;23640758;23658110;23686862;23710285;23711824;23712962;23738042;23756573;23766070;23766517;23766848;23800876;23825090;23826874;23834171;23843041;23843400;23864927;23871787;23875776;23930677;23947958;23948738;23954820;23957354;23974919;24005795;24009841;24010821;24024136;24121007;24126483;24140059;24157545;24161444;24211725;24216104;24216314;24231106;24232097;24252335;24260155;24273736;24308969;24326025;24346829;24353833;24358772;24361488;24362512;24368646;24374812;24391672;24417210;24428990;24441674;24467268;24489685;24494203;24505412;24523358;24547890;24552538;24561720;24588654;24631341;24659938;24669282;24675225;24684352;24709675;24714741;24716158;24733848;24736877;24740568;24747453;24761924;24810171;24812154;24815820;24817946;24830944;24846271;24866057;24894866;24952068;24970331;24976156;24998607;25003661;25031697;25049078;25063033;25071366;25082883;25105464;25107906;25123790;25126202;25130429;25159739;25170436;25178491;25189124;25219458;25262284;25268649;25274607;25297649;25299846;25332096;25340789;25341038;25363737;25380307;25394291;25399330;25419354;25451587;25451639;25484350;25503787;25504008;25505069;25516494;25534769;25536319;25545372;25564368;25582778;25585349;25593219;25625649;25630222;25640478;25667042;25667213;25680693;25683455;25697376;25698615;25728706;25742418;25795137;25807533;25812767;25815309;25818191;25833141;25840997;25843086;25874026;25875220;25890433;25916883;25917210;25939783;25963404;25981918;25998888;26023743;26027129;26037629;26039680;26061570;26074776;26075390;26078718;26091733;26097528;26110640;26111355;26122134;26130252;26170027;26173397;26178909;26180595;26187356;26191652;26241392;26251571;26265043;26280276;26291391;26356271;26358194;26419736;26434994;26441083;26459724;26461277;26472707;26492067;26498409;26505797;26523793;26546103;26548598;26548719;26551701;26557973;26593436;26597533;26600714;26616280;26640409;26643168;26648392;26649146;26658309;26681964;26689473;26691854;26692920;26698668;26704079;26721592;26759699;26762064;26765101;26770275;26773873;26779013;26784831;26795536;26800098;26806302;26838164;26843032;26870816;26873583;26878773;26904149;26941825;26957227;26958603;26958860;26976686;26980244;26988984;27015836;27016422;27017478;27032305;27045471;27052554;27071063;27078001;27084451;27089175;27107941;27109910;27117941;27120175;27161400;27165637;27180985;27193186;27213353;27231898;27242339;27259810;27260468;27288283;27308893;27316545;27317992;27320783;27339168;27369375;27370414;27399653;27411381;27417135;27417293;27423013;27459794;27460172;27466007;27473965;27480280;27484495;27488664;27497668;27528061;27529235;27540279;27542238;27551455;27558512;27569028;27615060;27618111;27627465;27634173;27636860;27661668;27687220;27713953;27725188;27746196;27746696;27756327;27777014;27799462;27804998;27810737;27812888;27847240;27847271;27860235;27861875;27867096;27868087;27884351;27894242;27897082;27903425;27912883;27939991;28000844;28002939;28012535;28012970;28025122;28110191;28137917;28142143;28145852;28156185;28160099;28161468;28185326;28214984;28224478;28246026;28253885;28259976;28272348;28283797;28289414;28295950;28300285;28367064;28370349;28381791;28389405;28390311;28392465;28415625;28416455;28420165;28421738;28432984;28442712;28448872;28450126;28472605;28487966;28503967;28510254;28513573;28513870;28515695;28518138;28523535;28539530;28542559;28550120;28552673;28569786;28583816;28586911;28587784;28595780;28598487;28604588;28626497;28628905;28639376;28655519;28669729;28689962;28714938;28722058;28733231;28736552;28737825;28740855;28749008;28770670;28780322;28785379;28785522;28790194;28792522;28816586;28843908;28846887;28858391;28863281;28865326;28899227;28905938;28922724;28922986;28933402;28938631;28942193;28946766;28948464;28956063;28986187;28986252;29017857;29029310;29029432;29049341;29058292;29061583;29064158;29090295;29096944;29111554;29128799;29128856;29137315;29140578;29153953;29154192;29156292;29158022;29163788;29172017;29175330;29180269;29201913;29214656;29214717;29228553;29241092;29248571;29258000;29258855;29264825;29282639;29285281;29286084;29307993;29328656;29329615;29339024;29352001;29362432;29383876;29402993;29423025;29423494;29425659;29428410;29433360;29448100;29458270;29496161;29499281;29509260;29522116;29524841;29552149;29571711;29577871;29577948;29582209;29594326;29608906;29615906;29621903;29626606;29627441;29630945;29642608;29655866;29659176;29670103;29671417;29684505;29693091;29693453;29721581;29725495;29731194;29743974;29748533;29765450;29765502;29775616;29779217;29790749;29871486;29883119;29894645;29903284;29907217;29908183;29925776;29928650;29945930;29950302;29953988;29958143;29959986;29964319;29979701;30018728;30021365;30024305;30028919;30030101;30030965;30064139;30071202;30092299;30092417;30106158;30112565;30116489;30140814;30145174;30148822;30154895;30171947;30172374;30214546;30233680;30243965;30284461;30315936;30360616;30365523;30369549;30408749;30420908;30426047;30429790;30442144;30453049;30464391;30466076;30470240;30513452;30515276;30545629;30547568;30549180;30553970;30560518;30562684;30566388;30569096;30571954;30588110;30597292;30597306;30606939;30608650;30626086;30634017;30637439;30640953;30642751;30645874;30672058;30689624;30697271;30706914;30728952;30731164;30736391;30743053;30746596;30753053;30771656;30773942;30783799;30784091;30787979;30834084;30836114;30865473;30881589;30890405;30908539;30913396;30919976;30925687;30929321;30951941;30954216;30965670;30971247;30989783;30998083;31001831;31022673;31029908;31035043;31035086;31042302;31049492;31050722;31092974;31115566;31128530;31131946;31136975;31153982;31174565;31178131;31181187;31181253;31184312;31186733;31190314;31194955;31214670;31234659;31238128;31252288;31264900;31274840;31281597;31286372;31293646;31319135;31330227;31332605;31342299;31347718;31349040;31351160;31353574;31364139;31393582;31412519;31419224;31420722;31422075;31428048;31430134;31442569;31445708;31462987;31470592;31478596;31494646;31540074;31545436;31547097;31552902;31555693;31584590;31590045;31616304;31630800;31646664;31678283;31682033;31692511;31697998;31721705;31746589;31767834;31768838;31781319;31790703;31795743;31802848;31819369;31823672;31827706;31831714;31849693;31851841;31852783;31867739;31885818;31887452;31899687;31903165;31907151;31919413;31926478;31933629;31936771;31960754;31961719;31969881;31992855;31995644;32001619;32007910;32012427;32020381;32020639;32021092;32032607;32036037;32038239;32047536;32051471;32057513;32070777;32082480;32108526;32116661;32141447;32141582;32155298;32166665;32187984;32205234;32222469;32242611;32242774;32256355;32257527;32259676;32259797;32271832;32275911;32286474;32298752;32308368;32319645;32320433;32321640;32322337;32350039;32351320;32359539;32360309;32372896;32378055;32397146;32402936;32410268;32441363;32442538;32454696;32466130;32476138;32493547;32498245;32499710;32502866;32504759;32509154;32509209;32523341;32526241;32540480;32551573;32590067;32617135;32632129;32660364;32666969;32676950;32677581;32679512;32694997;32714485;32724648;32739742;32744344;32755671;32791187;32795904;32800560;32823544;32823691;32855269;32863309;32866568;32890991;32895170;32937854;32938216;32943614;32949969;32952852;32981407;32982732;32986742;32989125;32990677;33017422;33029757;33030475;33035630;33065254;33068552;33096811;33098623;33113440;33137196;33139492;33144913;33148324;33148493;33149551;33158207;33169683;33173963;33214880;33220236;33226392;33253607;33254669;33254827;33256980;33261869;33268705;33271149;33298924;33307053;33313163;33341051;33342543;33354277;33359794;33379332;33383921;33388347;33403569;33416009;33424992;33424997;33435214;33459879;33466670;33471265;33479888;33502893;33506023;33519481;33520086;33529367;33539948;33545118;33547785;33547792;33565572;33569875;33580396;33610678;33625409;33672046;33708939;33711793;33716746;33734387;33744612;33752110;33761044;33761603;33763175;33765615;33780953;33788639;33811990;33812255;33862517;33862553;33872730;33875681;33891941;33897365;33897435;33900851;33910212;33912060;33918063;33964294;33982381;33991607;34035487;34037025;34049220;34056161;34071363;34077680;34080212;34103686;34118221;34134954;34152716;34153373;34158350;34166692;34170454;34175407;34183021;34200859;34202670;34203789;34204966;34226516;34245771;34247201;34252440;34268687;34271100;34275223;34278476;34314818;34321869;34329667;34422078;34426902;34439516;34440821;34454288;34461498;34471052;34484559;34510844;34531989;34532015;34572304;34573068;34573081;34578877;34590332;34601427;34603474;34619494;34622385;34630849;34646537;34662665;34667156;34679746;34679773;34685615;34695366;34703264;34742745;34749250;34813638;34813774;34822529;34827212;34829633;34837635;34858188;34881386;34887868;34896185;34927380;34942162;34943123;34950419;34954079;34960036;34985276;35002735;35003522;35043283;35048235;35052580;35063475;35087717;35093454;35101046;35126808;35163177;35163276;35163828;35171164;35194221;35204145;35204303;35237153;35247364;35258778;35276128;35283722;35284456;35303612;35304640;35308167;35323490;35326169;35330157;35350102;35354089;35373233;35378052;35378824;35412826;35419162;35419303;35434015;35441963;35462166;35468366;35518685;35571121;35571134;35596653;35605918;35621844;35628208;35680748;35684124;35692719;35697158;35708282;35713597;35739979;35745745;35787451;35799602;35839629;35845790;35847598;35851832;35883752;35913601;35958302;35974041;35978054;35978820;35987018;36007391;36027928;36033575;36053948;36065437;36077544;36081452;36100149;36113636;36116200;36117559;36118095;36120347;36132230;36139869;36158543;36162256;36188472;36198206;36223681;36227279;36232596;36249801;36284193;36321694;36365366;36372272;36386168;36421460;36432871;36442760;36451259;36459293;36472037;36504353;36549428;36552634;36552692;36555773;36572071;36572326;36578580;36586245;36586453;36591803;36634873;36650315;36659906;36670877;36672226;36681261;36693016;36720302;36734286;36771069;36773174;36786681;36829939;36831311;36841099;36845043;36846469;36851873;36866391;36866538;36869333;36875963;36877625;36916343;36937865;36948107;36951264;36969871;36978843;36978877;36979025;36985723;36989555;36989811;36992629;37023956;37025094;37030059;37055457;37056865;37063298;37107277;37107322;37114361;37116256;37119863;37130173;37144836;37156058;37160250;37172476;37174401;37175972;37187681;37188495;37206558;37207741;37224935;37237889;37239188;37246941;37268044;37284249;37302369;37311598;37315344;37316694;37321425;37348807;37380822;37384717;37396151;37432566;37435898;37493162;37497868;37503724;37506865;37517432;37531267;37570831;37579617;37605094;37614135;37624620;37627645;37663119;37686150;37689328;37707556;37708689;37717795;37721280;37774548;37774803;37795892;37808441;37808776;37809643;37812936;37818624;37861880;37864893;37867446;37888697;37949422;37950261;37956505;37958556;38001852;38015303;38016247;38040681;38056239;38064762;38086844;38100849;38104880;38135237;38159482;38189132;38205280;38219480;39534872;8962164	activating_target;unknown	unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=16785233;18474683;19474220;21097520;25107906; direct_evidence_pmids=16785233;18474683;19474220;21097520;25107906; source_lead_pmids=16785233;18474683;19474220;21097520;25107906.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-00003	human|SREBF1|FAS	22B	human	SREBF1	FAS	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	12531699	9300785	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007734;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007733	TRRUST	18420801;12531699;20173757;9300785	activating_target;unknown	unverified_public_record		11937	absent_from_frozen_graph	mapped_unique	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Human promoter/overexpression context.	Supervised literature promotion round 2026-08-26: SREBP binds the human FAS promoter and SREBP overexpression increases FAS transcription.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-00004	human|PPARG|PTEN	22B	human	PPARG	PTEN	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	11378386	20198337	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005760;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000803:f28b858c36ad	OmniPath_DoRothEA;TRRUST	11378386;11709086;12411472;12535639;12670479;16386327;16425225;16443643;16775433;16795079;17483060;17506947;18065496;18544567;18616919;19096712;19684609;20198337;20663321;21625550;21769449;22205725;22543585;22615735;22887358;23168911;23867870;24026200;24027433;26130252;26208095;26299428;28943966;28978268;29163854;29221176;29349704;29378193;29568880;29642873;31087712;32807067;34549887;37890594	activating_target	unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=11378386;20198337; direct_evidence_pmids=11378386;20198337; source_lead_pmids=11378386;16425225;16775433;20198337.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-00005	mouse|Foxo1|G6pc	22B	mouse	Foxo1	G6pc	database_only_unverified	22B	database_curated_unverified	database_assertion	unknown			TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001486;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001484;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001485;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001513	TRRUST	12507516;18805788;16804074;12556524;18847435;20421289;20655898;16037130	activating_target;repressing_target;unknown	unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	not verified	not verified	not_assessed	none_claimed	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=12556524;18847435;20421289;20655898.	review_ledger_only
PUBTF-AGENT-00006	human|PPARA|CD36	22B	human	PPARA	CD36	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	20110263		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005662;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000979:ae9813687591	OmniPath_DoRothEA;TRRUST	11716758;11867619;12118000;12419306;12771043;12920214;15294038;15910890;16484294;16556603;16713233;16770010;16890192;19067122;19104910;19439812;19526847;20103701;20110263;20649581;30114400;30809553;9353271;9642225	activating_target;unknown	unverified_public_record		11585	absent_from_frozen_graph	mapped_unique	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=20110263; direct_evidence_pmids=20110263; source_lead_pmids=16713233;20110263.	review_ledger_only
PUBTF-AGENT-00007	human|ATF4|ATF3	22B	human	ATF4	ATF3	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	16246168	21801305	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000317;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000064:d883558209d5;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000318	OmniPath_DoRothEA;TRRUST	10085237;16246168;16989641;17042743;17699156;18451308;20361218;21777709;21801305;22819556;22848091;22955275;23269699;23678184;24280420;25681212;29413899;32210535;34294679;37546954;37874483;37985874	activating_target;unknown	unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=16246168;21801305; direct_evidence_pmids=16246168;21801305; source_lead_pmids=16246168;21801305.	staged_evidence_only;canonical_entity_role_gate_pending
PUBTF-AGENT-00008	human|EPAS1|VEGFA	22B	human	EPAS1	VEGFA	database_only_unverified	22B	database_curated_unverified	database_assertion	positive			TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001662;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000291:dfd065cb72c5;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001663	OmniPath_DoRothEA;TRRUST	10495286;10531360;11156418;11159870;11301389;11350893;11747073;11751212;11796494;11912213;12011461;12053176;12171890;12209691;12750296;12823854;14512791;15039136;15156561;15191799;15192019;15964822;16028843;16778202;16854277;16900513;16920734;16981244;17049741;17097563;17322369;17342756;17658597;17990921;18371555;18423372;18508787;18645007;19010893;19030186;19035510;19080330;19805377;19809162;19837976;19899108;19903792;20061373;20117293;20495570;20517717;20574527;20683019;20807755;21057546;21145972;21189286;21364630;21671771;21765015;21777345;21836617;21888897;21984395;22223045;22275802;22360823;22563687;22692279;22705278;22777959;23213445;23222716;23335846;23478175;23509317;23873332;24062466;24136229;24194900;24473118;24486412;24512978;24790010;25218350;25327972;25414188;25881609;25966094;26572826;26972697;27249651;27321194;27490118;27628483;27635045;28079892;28427869;28720067;29268860;29514844;29946188;30090327;30431439;30487161;30555801;30659163;30988710;31015364;31546898;31704243;32235007;32708433;32943729;33088626;33220275;33867843;33966427;34031851;34959539;35102545;35405577;36410688;36421334;36500549;36752726;36831657;37489462;37550790;37835592;9113979;9178256;9665461;9746763	activating_target;unknown	unverified_public_record		13630	absent_from_frozen_graph	mapped_unique	false	true	not verified	not verified	not_assessed	none_claimed	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=11301389;11751212;16900513;19080330.	review_ledger_only
PUBTF-AGENT-00009	human|FOXO3|FASLG	22B	human	FOXO3	FASLG	database_only_unverified	22B	database_curated_unverified	database_assertion	positive			TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002290;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000078:06b6e87f5221	OmniPath_DoRothEA;TRRUST	10102273;11756562;12970676;14701673;15007096;15569384;15895074;16684889;16710360;17604640;19050264;19690465;20051626;20371612;20651833;20671123;21071886;21291561;22892845;23352980;24177179;24194922;24910802;25179440;25721362;25952685;26098777;26517515;27060196;28157684;28701864;28969041;29350814;32786113;34674361;36713778;38168566	activating_target	unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	not verified	not verified	not_assessed	none_claimed	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=11756562.	review_ledger_only
PUBTF-AGENT-00010	human|SRF|FOS	22B	human	SRF	FOS	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	2200737	2493627	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007781;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000118:dea3c261bb11;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007780	OmniPath_DoRothEA;TRRUST	10022839;10319327;10330504;10369679;10446998;10462507;10579051;10642500;10742173;10777594;10843867;10961986;11003045;11015205;11035001;11083868;11139618;11151091;11158291;11181183;11397816;11570821;11744740;11846562;11862715;12051724;12120892;12153563;12231642;12234660;12242287;12470826;12622724;12711593;12760745;12788062;1328862;1339307;14512164;14693367;14994271;15169892;15256479;1531519;15352164;1547771;15772901;15950986;15955069;1630900;16314510;16537394;1660958;16903857;17005865;17182846;17376895;17403043;17612644;17913848;17938209;18172855;1833404;18334532;18557893;18719353;1875937;1902475;1906604;1909174;19151755;19173292;1924358;1945851;19513551;19581295;20066477;20581838;2104799;2110922;21292826;21705668;21832068;2200737;22073300;2247085;23508111;24386331;2493627;25057795;2511007;25523140;25898000;26363224;26493679;26589769;2673922;2845402;28716058;2928331;29284006;29472703;30015886;3119326;3203386;32408395;33061800;33985971;35143939;35817647;37286514;7540136;7551568;7565750;7588632;7600583;7615093;7699002;7760827;7851904;7854423;7889942;7910456;7957108;7958835;8007980;8063733;8065325;8083220;8164681;8262053;8262137;8336707;8375385;8386592;8389697;8413226;8417810;8423791;8437853;8477450;8735278;8764983;8864058;8874187;8986626;9010223;9032300;9111305;9118940;9271374;9300412;9315625;9325329;9343429;9349499;9351440;9467416;9515031;9545312;9570363;9571041;9584171;9690619;9734357;9799237;9813041	activating_target;unknown	unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=2200737;2493627;11846562; direct_evidence_pmids=2200737;2493627;11846562; source_lead_pmids=11846562;2200737;2493627.	staged_evidence_only;canonical_entity_role_gate_pending
