source_registry	source_version	species_context	identity_role	source_symbol	normalized_symbol	normalized_symbol_key	identity_decision	identity_reason	mscidblit_entity_id	frozen_entity_match_status
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	P2RY10	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Cyp3a41a; Cyp3a41b	\N	\N	composite_unresolved	Composite or non-simple label retained without heuristic splitting.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	H2bc4; H2bc6; H2bc8	\N	\N	composite_unresolved	Composite or non-simple label retained without heuristic splitting.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	H2bc7; H2bc11; H2bc13; H2bc15	\N	\N	composite_unresolved	Composite or non-simple label retained without heuristic splitting.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	H3c1; H3c8; H3c10; H3c11	\N	\N	composite_unresolved	Composite or non-simple label retained without heuristic splitting.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	H3c2; H3c3; H3c4; H3c6; H3c7; H3c13; H3c14; H3c15	\N	\N	composite_unresolved	Composite or non-simple label retained without heuristic splitting.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	H4c1; H4c2; H4c3; H4c4; H4c6; H4c8; H4c9; H4c11; H4c12; Hist1h4m; H4c14; H4c16	\N	\N	composite_unresolved	Composite or non-simple label retained without heuristic splitting.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	O08797	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	O19441	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	O35424	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	O55179	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	O78196	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q05B95	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q05BA5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q08EC9	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
