promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13877	M21B-E010007	M21B-EVID-009953	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	RPS3-enriched liver-derived EVs are transported to spinal-cord lesion sites and taken up by neural stem cells.	Preserve EV cargo and recipient-cell uptake semantics; do not infer a receptor or direct RPS3 binding.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13878	M21B-E010008	M21B-EVID-009954	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	RPS3-enriched liver-derived EVs are transported to spinal-cord lesion sites and taken up by astrocytes.	Preserve EV cargo and recipient-cell uptake semantics; do not infer a receptor or direct RPS3 binding.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13879	M21B-E010009	M21B-EVID-009955	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	RPS3 is enriched in plasma EVs and liver-derived EVs after SCI, with activated Kupffer cells identified as the primary source.	Measured EV protein cargo; preserve the distinction between RPS3 protein enrichment and RPS3 gene expression.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13880	M21B-E010010	M21B-EVID-009956	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	receptor_proximal_or_pathway;downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	RPS3-enriched liver-derived EVs increase p65 phosphorylation and nuclear translocation in lesion-site recipient cells, and NF-kB inhibition attenuates the effects.	Pathway readout only; preserve recipient-cell and EV context without naming an untested upstream receptor.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13881	M21B-E010011	M21B-EVID-009957	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	SCI-derived liver EVs, especially RPS3-enriched EVs, reduce neuronal differentiation of neural stem cells, while RPS3 depletion attenuates the effect.	Preserve EV cargo and neural-stem-cell differentiation output; do not infer a direct transcriptional mechanism.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13882	M21B-E010012	M21B-EVID-009958	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	SCI-derived liver EVs, especially RPS3-enriched EVs, reduce oligodendrocyte differentiation of neural stem cells, while RPS3 depletion attenuates the effect.	Preserve EV cargo and neural-stem-cell differentiation output; do not infer a direct transcriptional mechanism.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13883	M21B-E010013	M21B-EVID-009959	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	RPS3-enriched liver-derived EVs polarize astrocytes toward a neuroinflammatory phenotype, and liver or Kupffer-cell RPS3 depletion attenuates this effect.	Preserve EV cargo and astrocyte phenotype output; no single downstream gene or terminal TF is inferred.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13884	M21B-E010014	M21B-EVID-009960	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	Kupffer-cell depletion reduces hepatic RPS3 release and RPS3 expression at the spinal-cord lesion after SCI.	Intervention-to-secreted-EV output; preserve that this is a depletion perturbation, not a ligand identity.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13885	M21B-E010015	M21B-EVID-009961	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	Liver-specific RPS3 depletion decreases RPS3-associated NF-kB activation at the SCI lesion.	Perturbation-supported pathway effect; preserve liver-specific depletion and lesion-site context.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-batch021b-2026-09-13-secretome-001	M21B-DISC-13886	M21B-E010016	M21B-EVID-009962	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	Primary report (review lead not used; primary-only discovery)	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	PMID:41514493; PMCID:PMC13042475; DOI:10.1002/advs.202517019	RPS3-Enriched Extracellular Vesicles Mediate Liver-Spinal Cord Inter-Organ Communication	Liver-specific RPS3 depletion attenuates the harmful EV axis and restores axonal regeneration and remyelination after SCI.	Organismal/tissue perturbation output; preserve liver-specific intervention and do not infer a sole molecular mediator.	local_21B_registers_only; no_database_write
