review_id	pair_key	pair_label_canonical	b_edge_id	b_primary_evidence_id	a_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_frozen_evidence_confidence	new_edge_confidence	new_frozen_evidence_confidence	decision_basis
M20A-EXT-2545	nmb nmbr	Nmb Nmbr	M20B-E004320	M20B-EVID-004320-P2-DIRECT	M20A-MEDHIGH001-EVID-0001	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2549	nms nmur1	Nms Nmur1	M20B-E004324	M20B-EVID-004324-P2-DIRECT	M20A-MEDHIGH001-EVID-0002	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2567	npb npbwr1	Npb Npbwr1	M20B-E004342	M20B-EVID-004342-P2-DIRECT	M20A-MEDHIGH001-EVID-0003	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2568	npff npffr1	Npff Npffr1	M20B-E004343	M20B-EVID-004343-P2-DIRECT	M20A-MEDHIGH001-EVID-0004	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2569	npff npffr2	Npff Npffr2	M20B-E004344	M20B-EVID-004344-P2-DIRECT	M20A-MEDHIGH001-EVID-0005	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2570	nppa npr1	Nppa Npr1	M20B-E004345	M20B-EVID-004345-P2-DIRECT	M20A-MEDHIGH001-EVID-0006	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2574	nppc npr2	Nppc Npr2	M20B-E004349	M20B-EVID-004349-P2-DIRECT	M20A-MEDHIGH001-EVID-0007	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2581	nps npsr1	Nps Npsr1	M20B-E004356	M20B-EVID-004356-P2-DIRECT	M20A-MEDHIGH001-EVID-0008	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2589	npvf npffr1	Npvf Npffr1	M20B-E004364	M20B-EVID-004364-P2-DIRECT	M20A-MEDHIGH001-EVID-0009	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2590	npvf npffr2	Npvf Npffr2	M20B-E004365	M20B-EVID-004365-P2-DIRECT	M20A-MEDHIGH001-EVID-0010	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2594	npw npbwr1	Npw Npbwr1	M20B-E004369	M20B-EVID-004369-P2-DIRECT	M20A-MEDHIGH001-EVID-0011	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
