curation_id	pair_key	module	species	tf_symbol	target_symbol	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	external_record_keys	source_registries	public_reference_pmids	public_effect_polarities	public_verification_statuses	tf_entity_ids	target_entity_ids	tf_frozen_match_status	target_frozen_match_status	tf_role_present	target_role_present	cell_type_context	stimulus_context	shared_paper_status	cross_module_status	limitations	notes	graph_materialization_status
PUBTF-AGENT-00001	human|NR1H4|ABCB11	22B	human	NR1H4	ABCB11	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	11387316		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005059;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000804:60bc58add829	OmniPath_DoRothEA;TRRUST	11387316;11509573;11870371;12052824;12135489;12393883;12483266;12519787;12525500;12704471;12705905;12949728;12971955;14684380;14699511;15307955;15471871;15694933;15911693;16178789;16371446;16522742;16706681;16819395;17135343;17622954;18270374;18668687;19027009;19111018;19228886;19369578;19407337;19653193;19809379;19821532;19833092;19913492;21330447;22268101;22291955;22345554;23213087;23213138;23546875;24002920;24107776;24335466;24338587;24729004;25582706;25612518;25675114;25747729;26100621;26177448;26723467;26812075;26867564;27465948;27609522;27637290;27818225;28051334;28234635;28424617;28505368;28987596;29202514;29235094;29283075;29427579;29660435;29721568;30068870;30517764;31450152;31549733;32018210;32534360;32976922;33581308;34064649;34310734;34387888;34483922;34630081;34653908;34767876;34774795;34926449;35128688;35523117;35557817;35633129;35712714;36271579;36386150;36787806;36795945;36950015;37028458;37077819;37348807;37769812;37995646;38014837	activating_target;unknown	unverified_public_record	12802		mapped_unique	absent_from_frozen_graph	true	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=11387316; direct_evidence_pmids=11387316; source_lead_pmids=11387316.	review_ledger_only
PUBTF-AGENT-00003	human|SREBF1|FAS	22B	human	SREBF1	FAS	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	12531699		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007734;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007733	TRRUST	18420801;12531699;20173757;9300785	activating_target;unknown	unverified_public_record		11937	absent_from_frozen_graph	mapped_unique	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=12531699; direct_evidence_pmids=12531699; source_lead_pmids=12531699;20173757;9300785.	review_ledger_only
PUBTF-AGENT-00005	mouse|Foxo1|G6pc	22B	mouse	Foxo1	G6pc	database_only_unverified	22B	database_curated_unverified	database_assertion	unknown			TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001486;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001484;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001485;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001513	TRRUST	12507516;18805788;16804074;12556524;18847435;20421289;20655898;16037130	activating_target;repressing_target;unknown	unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	not verified	not verified	not_assessed	none_claimed	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=12556524;18847435;20421289;20655898.	review_ledger_only
PUBTF-AGENT-00006	human|PPARA|CD36	22B	human	PPARA	CD36	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	20110263		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005662;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000979:ae9813687591	OmniPath_DoRothEA;TRRUST	11716758;11867619;12118000;12419306;12771043;12920214;15294038;15910890;16484294;16556603;16713233;16770010;16890192;19067122;19104910;19439812;19526847;20103701;20110263;20649581;30114400;30809553;9353271;9642225	activating_target;unknown	unverified_public_record		11585	absent_from_frozen_graph	mapped_unique	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=20110263; direct_evidence_pmids=20110263; source_lead_pmids=16713233;20110263.	review_ledger_only
PUBTF-AGENT-00008	human|EPAS1|VEGFA	22B	human	EPAS1	VEGFA	database_only_unverified	22B	database_curated_unverified	database_assertion	positive			TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001662;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000291:dfd065cb72c5;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001663	OmniPath_DoRothEA;TRRUST	10495286;10531360;11156418;11159870;11301389;11350893;11747073;11751212;11796494;11912213;12011461;12053176;12171890;12209691;12750296;12823854;14512791;15039136;15156561;15191799;15192019;15964822;16028843;16778202;16854277;16900513;16920734;16981244;17049741;17097563;17322369;17342756;17658597;17990921;18371555;18423372;18508787;18645007;19010893;19030186;19035510;19080330;19805377;19809162;19837976;19899108;19903792;20061373;20117293;20495570;20517717;20574527;20683019;20807755;21057546;21145972;21189286;21364630;21671771;21765015;21777345;21836617;21888897;21984395;22223045;22275802;22360823;22563687;22692279;22705278;22777959;23213445;23222716;23335846;23478175;23509317;23873332;24062466;24136229;24194900;24473118;24486412;24512978;24790010;25218350;25327972;25414188;25881609;25966094;26572826;26972697;27249651;27321194;27490118;27628483;27635045;28079892;28427869;28720067;29268860;29514844;29946188;30090327;30431439;30487161;30555801;30659163;30988710;31015364;31546898;31704243;32235007;32708433;32943729;33088626;33220275;33867843;33966427;34031851;34959539;35102545;35405577;36410688;36421334;36500549;36752726;36831657;37489462;37550790;37835592;9113979;9178256;9665461;9746763	activating_target;unknown	unverified_public_record		13630	absent_from_frozen_graph	mapped_unique	false	true	not verified	not verified	not_assessed	none_claimed	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=11301389;11751212;16900513;19080330.	review_ledger_only
PUBTF-AGENT-00009	human|FOXO3|FASLG	22B	human	FOXO3	FASLG	database_only_unverified	22B	database_curated_unverified	database_assertion	positive			TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002290;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000078:06b6e87f5221	OmniPath_DoRothEA;TRRUST	10102273;11756562;12970676;14701673;15007096;15569384;15895074;16684889;16710360;17604640;19050264;19690465;20051626;20371612;20651833;20671123;21071886;21291561;22892845;23352980;24177179;24194922;24910802;25179440;25721362;25952685;26098777;26517515;27060196;28157684;28701864;28969041;29350814;32786113;34674361;36713778;38168566	activating_target	unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	not verified	not verified	not_assessed	none_claimed	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=11756562.	review_ledger_only
PUBTF-AGENT-00012	human|NR5A1|STAR	22B	human	NR5A1	STAR	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	23530236		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005233;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000117:780d13725a33;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005231;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005232	OmniPath_DoRothEA;TRRUST	10026215;10221587;10319323;10403575;10473624;10499490;10746638;10852468;10919277;10960482;11089528;11111087;11145595;11196415;11250933;11297612;11427738;11444433;11459805;12208674;12727988;12790807;15026184;15129808;15261303;15615861;16439455;16857744;16901925;17065415;17082260;17526944;18004794;18165439;18436715;18596066;18845640;18987158;19022561;19237537;19455657;20045459;20573681;20601698;20650879;20924043;21111771;21632081;21913902;22155568;22427816;22615892;22927646;23313103;23358192;23530236;24232453;25239642;27035099;27455990;28063793;29275294;29887570;30576245;30930217;32497285;35246761;36068745;37106514;37393747;37726790;8703908;9013761;9029708;9188726;9801462;9832418	activating_target;repressing_target;unknown	unverified_public_record			absent_from_frozen_graph	absent_from_frozen_graph	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=23530236; direct_evidence_pmids=23530236; source_lead_pmids=10919277;11111087;15129808;16439455;23530236.	review_ledger_only
PUBTF-AGENT-00014	human|WT1|IGF2	22B	human	WT1	IGF2	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	negative	7535092		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009052;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000354:966d64ca9f2f;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009053	OmniPath_DoRothEA;TRRUST	10606246;1323141;19749460;21123950;32703985;7520150;7535092;7553624;7862533;8119964;8196623;8243887;8383279;8566784;8634146;8755514;8875984;9215294;9460996;9927198	repressing_target;unknown	unverified_public_record		12449	absent_from_frozen_graph	mapped_unique	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=7535092; direct_evidence_pmids=7535092; source_lead_pmids=1323141;7535092;8634146.	review_ledger_only
PUBTF-AGENT-00018	human|NR1I2|CYP3A4	22B	human	NR1I2	CYP3A4	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	23807564		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005088;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000189:c0fc54148599;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005087	OmniPath_DoRothEA;TRRUST	10403778;10415106;10570062;10611146;10628745;10681370;10772626;10908304;10935643;11090943;11114890;11248086;11297522;11302925;11329060;11336976;11560876;11581012;11602520;11602521;11602523;11602528;11668216;11723248;11737189;11807162;11808342;11865669;11868391;11950789;11950795;11958559;11983567;11991950;11996099;12054576;12072427;12130689;12130690;12167569;12206849;12235278;12354121;12369894;12370413;12413960;12417264;12424907;12504080;12514743;12542705;12569201;12601364;12606758;12613276;12664659;12695338;12695340;12695359;12744492;12766253;12781341;12805410;12815172;12851153;12869653;12958193;12970323;14512885;14586772;14613717;14636322;14683519;14705863;14709622;14709632;14754570;14770174;14989258;15075359;15100175;15102944;15102959;15125996;15175893;15180306;15180307;15183191;15269186;15309450;15331348;15347657;15350151;15364541;15367577;15371980;15454728;15456840;15456926;15459237;15496645;15499176;15523048;15535420;15548381;15554232;15569515;15578943;15617534;15649653;15650019;15698577;15708356;15710363;15713537;15736155;15761118;15792627;15814084;15826607;15832810;15833926;15864135;15976188;15986414;16013442;16054614;16101010;16126318;16141365;16219912;16381673;16397270;16455805;16470913;16470914;16472102;16513849;16547076;16556443;16568343;16580901;16608838;16608920;16632523;16683519;16724927;16817017;16863430;16928788;17003103;17020958;17028159;17035600;17041008;17118915;17179942;17207564;17293382;17305497;17392393;17392718;17404718;17429319;17435798;17451886;17456796;17484516;17526937;17553741;17593354;17636047;17640954;17687072;17692354;17761971;17764444;17825266;17925385;17936189;17936928;17962516;17984292;17998298;18052847;18094037;18096673;18256201;18268015;18276839;18299335;18314648;18332045;18332078;18332086;18347084;18473749;18540626;18652346;18725505;18763755;18765524;18784074;18799805;18805405;18839173;18925944;18971317;18981011;18989830;19074998;19077665;19084030;19084549;19129222;19138736;19144646;19171678;19173680;19232333;19251824;19297428;19307295;19356119;19429418;19505191;19530969;19686543;19686701;19712670;19746521;19797611;19833845;19854261;19934400;19954708;20005348;20005886;20060928;20147837;20151218;20171174;20201776;20354104;20361990;20403969;20416375;20504912;20538049;20538721;20553580;20558333;20566695;20580705;20599501;20599767;20736322;20818746;20829393;20830510;20832446;20861742;20921307;20942813;20955791;20959500;20979450;21084653;21091656;21111054;21117944;21145880;21219911;21292004;21311750;21315811;21333771;21342487;21365896;21402137;21524698;21561094;21628639;21641981;21733184;21742782;21787672;21808872;21898498;21920351;21952236;21996064;22050110;22076448;22126990;22171088;22252826;22260016;22269145;22310326;22314385;22333269;22363234;22416981;22453080;22461449;22467028;22560839;22562045;22648626;22687401;22698814;22779192;22797870;22864345;22913318;22968811;22975079;22976785;22982774;23153560;23160821;23162896;23179081;23264496;23274663;23358370;23360470;23384967;23395915;23503447;23527115;23536728;23562850;23574760;23674609;23688499;23702042;23707768;23732298;23749765;23790868;23807564;23845848;23876595;23891548;23926955;23928187;23974067;23977680;24037590;24094773;24235770;24259679;24270587;24345506;24379885;24486573;24492412;24690092;24705503;24705672;24764148;24788541;24819614;24828006;24832206;24853400;24871460;24886881;24905729;24924803;25069801;25073399;25141173;25181459;25208844;25302309;25332983;25341566;25341568;25377539;25381754;25401275;25542144;25561723;25612518;25660334;25689036;25725071;25824487;25825801;25831443;25907981;25916520;25956306;25977700;25989892;26032512;26091473;26340669;26341324;26408814;26516577;26549688;26618923;26626330;26658429;26759700;26775663;26782648;26783937;26902414;26910068;26978987;26987505;27177772;27197997;27325500;27349986;27482056;27506419;27572875;27678410;27713827;27760163;27853109;27871908;28043194;28115221;28199000;28218408;28270768;28289823;28468837;28532222;28546420;28558634;28571685;28685622;28716828;28760623;28865089;28887089;28916285;28942083;28945086;29095659;29157826;29430850;29440179;29493154;29548889;29569712;29665350;29736778;29883717;29903249;29914136;29945292;29949932;29973476;30009337;30050067;30068521;30071242;30120929;30146095;30291945;30303438;30312753;30342195;30349375;30394306;30414935;30463833;30465708;30471425;30486538;30532626;30573465;30573512;30594244;30653754;30799725;30848264;30919109;30955332;31038762;31040347;31057647;31061625;31101589;31118196;31132328;31233785;31280915;31336134;31388680;31436536;31455676;31540101;31676845;31792727;31825663;31867158;31877331;32024859;32092453;32120108;32205367;32320483;32505840;32550794;32613761;32682830;32788213;32801751;32848756;32946962;32992777;33002526;33041817;33048369;33108181;33125572;33163657;33200619;33321412;33333074;33397228;33483427;33515843;33570057;33600922;33647240;33782543;33812052;34003642;34035124;34147617;34249768;34267886;34269665;34524495;34689256;34729944;34861291;34922950;34949673;35011625;35168517;35222807;35272879;35280431;35417848;35455978;35582377;35754737;35773338;36017806;36017831;36030841;36077251;36473234;36668808;36707511;36797057;36893891;36948264;37285043;37349114;37543347;37631299;37863663;37969738;38084912;38166548;9727070;9855641	activating_target;unknown	unverified_public_record		11537	absent_from_frozen_graph	mapped_unique	false	true	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=23807564; direct_evidence_pmids=23807564; source_lead_pmids=11991950;12606758;15100175;15650019;16608838;18096673;20171174;21292004;21920351;23807564.	review_ledger_only
PUBTF-AGENT-00019	human|ZEB1|CDH1	22B	human	ZEB1	CDH1	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	negative	23743934		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009295;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000565:125b085856f0;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009294;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009296	OmniPath_DoRothEA;TRRUST	10487759;10949939;12161443;12508111;12714599;12841867;15311212;15674322;16203744;16424029;16510593;16707460;16804902;16862183;17072345;17615296;17655524;17804704;17875687;17997862;18192284;18303430;18321996;18381457;18411277;18487993;18698484;18773488;18805502;19147758;19153669;19177200;19225155;19435871;19474681;19502803;19584296;19604397;19706487;19759263;19839049;19921427;20009910;20012924;20025777;20049172;20053763;20056746;20139075;20207041;20332115;20418909;20484038;20543868;20566745;20625840;20682048;20705680;20735391;20970163;21049046;21351095;21478908;21501518;21584833;21593765;21703419;21771732;21791114;21874048;21874049;21878201;21899661;21983934;21996746;22144583;22147512;22205702;22205962;22249256;22261924;22286765;22452538;22579465;23013135;23065281;23158001;23159064;23160379;23381389;23461975;23474752;23483955;23492772;23518002;23530113;23667256;23743934;23754305;23759590;23811942;23845467;23890107;23977447;24072701;24126800;24127332;24304617;24508063;24573236;24577090;24643400;24756066;24810497;24845104;24853424;24994678;25080992;25161999;25197668;25287362;25315069;25424898;25492890;25657336;25738863;25808945;25896413;25963537;25973312;26011542;26049022;26061747;26151815;26540342;26547370;26559025;26560121;26717907;26748910;26789630;26884796;26887353;26990571;27133071;27150059;27270426;27292262;27396618;27429844;27537263;27554058;27806288;28065642;28133913;28212565;28531914;28583190;28625518;28703793;28857253;29069783;29071006;29138864;29218247;29271397;29352232;29363574;29512767;29515788;29528143;29557087;29970904;30178847;30285803;30306207;30315928;30530042;30561520;30609805;30705280;30899394;30945380;31063022;31180394;31185503;31244281;31322233;31439646;31511359;31513784;31804558;31815037;31838790;31880901;31942198;32139122;32619930;32922621;32926159;33032610;33033709;33068045;33303690;33507617;33627769;33754289;33771981;33913391;34210327;34258252;34727382;35117409;35138000;35186455;35611144;35682554;36172159;36230799;36293154;37318032;37380081;37567892;37685721;37715420;37894829;38008393	repressing_target;activating_target;unknown	unverified_public_record		11606	absent_from_frozen_graph	mapped_unique	false	false	as reported in abstract	as reported in abstract	not_assessed	none_claimed	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=23743934; direct_evidence_pmids=23743934; source_lead_pmids=12161443;15311212;23743934.	review_ledger_only
