review_id	pair_key	pair_label_canonical	in_cellchat_priority	in_cellchat_full	in_liana_consensus	cellchat_priority_annotations	cellchat_priority_pathways	cellchat_priority_directness	complex_receptor_coverage	review_priority	review_priority_rationale	review_status	confidence_decision	evidence_register_ids	curator_notes
M20A-CELLCHAT-REMAINING-0001	12oxoltb4-ptgr1 ltb4r1	12oxoLTB4-PTGR1 Ltb4r1	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0002	12oxoltb4-ptgr1 ltb4r2	12oxoLTB4-PTGR1 Ltb4r2	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0003	22hc-cyp11a1 nr1h4	22HC-CYP11A1 Nr1h4	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0004	22hc-cyp3a4 nr1h4	22HC-CYP3A4 Nr1h4	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0005	2ag-dagla cnr1	2AG-DAGLA Cnr1	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0006	2ag-dagla cnr2	2AG-DAGLA Cnr2	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0007	2ag-dagla gpr55	2AG-DAGLA Gpr55	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0008	2ag-daglb cnr1	2AG-DAGLB Cnr1	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0009	2ag-daglb cnr2	2AG-DAGLB Cnr2	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0010	2ag-daglb gpr55	2AG-DAGLB Gpr55	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Expanded CellChat search verdict=hold_low.
M20A-CELLCHAT-REMAINING-0011	5-ht-dopa-ddc drd1	5-HT-DOPA-DDC Drd1	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	uncertain		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.
M20A-CELLCHAT-REMAINING-0012	5-ht-dopa-ddc drd2	5-HT-DOPA-DDC Drd2	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	uncertain		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.
M20A-CELLCHAT-REMAINING-0013	5-ht-dopa-ddc drd3	5-HT-DOPA-DDC Drd3	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	uncertain		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.
M20A-CELLCHAT-REMAINING-0014	5-ht-dopa-ddc drd4	5-HT-DOPA-DDC Drd4	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	uncertain		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.
M20A-CELLCHAT-REMAINING-0015	5-ht-dopa-ddc drd5	5-HT-DOPA-DDC Drd5	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	uncertain		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=reject_pair. Independent non-LR audit retained manual status: The submitted source combines 5-HT with DOPA and DDC, while DRD1-5 are dopamine receptors. Mature dopamine is produced from DOPA by DDC and directly activates DRD subtypes, but the mixed 5-HT-DOPA-DDC entity does not identify one exact ligand or receptor-side source.
M20A-CELLCHAT-REMAINING-0016	5-ht-dopa-ddc htr1a	5-HT-DOPA-DDC Htr1a	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0017	5-ht-dopa-ddc htr1b	5-HT-DOPA-DDC Htr1b	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0018	5-ht-dopa-ddc htr1d	5-HT-DOPA-DDC Htr1d	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0019	5-ht-dopa-ddc htr1f	5-HT-DOPA-DDC Htr1f	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0020	5-ht-dopa-ddc htr2a	5-HT-DOPA-DDC Htr2a	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0021	5-ht-dopa-ddc htr2b	5-HT-DOPA-DDC Htr2b	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0022	5-ht-dopa-ddc htr2c	5-HT-DOPA-DDC Htr2c	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0023	5-ht-dopa-ddc htr3a	5-HT-DOPA-DDC Htr3a	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0024	5-ht-dopa-ddc htr3b	5-HT-DOPA-DDC Htr3b	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0025	5-ht-dopa-ddc htr4	5-HT-DOPA-DDC Htr4	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0026	5-ht-dopa-ddc htr5a	5-HT-DOPA-DDC Htr5a	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0027	5-ht-dopa-ddc htr6	5-HT-DOPA-DDC Htr6	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0028	5-ht-dopa-ddc htr7	5-HT-DOPA-DDC Htr7	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0029	5-ht-tph1_slc18a1 htr1a	5-HT-TPH1_SLC18A1 Htr1a	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0030	5-ht-tph1_slc18a1 htr1b	5-HT-TPH1_SLC18A1 Htr1b	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0031	5-ht-tph1_slc18a1 htr1d	5-HT-TPH1_SLC18A1 Htr1d	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0032	5-ht-tph1_slc18a1 htr1e	5-HT-TPH1_SLC18A1 Htr1e	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0033	5-ht-tph1_slc18a1 htr1f	5-HT-TPH1_SLC18A1 Htr1f	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0034	5-ht-tph1_slc18a1 htr2a	5-HT-TPH1_SLC18A1 Htr2a	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0035	5-ht-tph1_slc18a1 htr2b	5-HT-TPH1_SLC18A1 Htr2b	no	yes	no				not_assessed	8	cellchat_remaining_discovery	reviewed	low		Remaining CellChat pair searched in bounded exact-pair and expanded-family pass. Candidate citation audit verdict=retain_low.
