edge_id	source_entity	relation_type	target_entity	pathway_name	effect_polarity	directionality	upstream_signal_context	receptor_or_target_context	cell_type_context	compartment_context	species_context	injury_context	evidence_layer	evidence_status	context_scope	confidence_tier	export_priority	curator_decision
M24A-E001	foam-cell lipid accumulation	increases	C1q	lipid-debris-complement signaling	increasing	directed	lipid-loaded foam-cell state	C1q/complement context	foam-cell macrophages and lesion microglia	synaptic/lesion compartment	mouse	T10 forceps-clamp SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	SCI plus BMDM context	high	P1	RETAIN_AS_LIPID_TO_COMPLEMENT_FUNCTIONAL_EDGE
M24A-E002	C1q	promotes	synaptic engulfment	complement-linked synaptic loss	increasing	directed	C1q-enriched lesion context	complement-mediated phagocytic context	lesion microglia and synaptic compartment	synapse/lesion compartment	mouse	T10 forceps-clamp SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	SCI synaptic engulfment	medium-high	P1	RETAIN_AS_FUNCTIONAL_OUTPUT_NOT_RECEPTOR_EDGE
M24A-E003	myelin debris	engages	TREM2	debris-sensor PI3K-AKT/DAM relay	modulating	directed	myelin-debris exposure	TREM2 sensor context	microglia/macrophages	debris and lesion compartment	mouse	T10 crush SCI	receptor_or_sensor_engagement	reviewed_first_pass	early versus prolonged TREM2 activation	medium-high	P1	RETAIN_AS_SENSOR_CONTEXT_NOT_PURIFIED_BINDING
M24A-E004	extracellular ATP	activates	P2X7R	purinergic excitotoxicity	increasing	directed	peritraumatic extracellular ATP	P2X7R ion-channel context	spinal neurons and peritraumatic tissue	plasma membrane and lesion	rat	impact SCI	ligand_receptor_activation	reviewed_first_pass	acute SCI pharmacology	medium	P1	RETAIN_WITH_PPX7_SELECTIVITY_LIMITATION
M24A-E005	P2X7R	promotes	microglial/gliotic inflammation	purinergic secondary injury	increasing	directed	P2X7R activation/blockade	P2X7R inflammatory signaling	microglia, astrocytes, neutrophils	lesion and inflammatory compartment	rat	thoracic weight-drop SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	systemic Brilliant Blue G intervention	medium-high	P1	RETAIN_AS_PHARMACOLOGIC_FUNCTIONAL_EDGE
M24A-E006	P2Y12R	promotes	CD39/CD73-adenosine-A1R relay	purinergic repair relay	increasing	directed	ATP availability and P2Y12R restoration	P2Y12R plus ectonucleotidase/A1R context	microglia and neurons	microglia-neuron interface	mouse	T10 contusion SCI	receptor_proximal_relay	reviewed_first_pass	co-culture, ex vivo, and in-vivo nanoparticle context	high	P1	RETAIN_AS_MULTI_STEP_RELAY_NOT_DIRECT_ATP_BINDING
M24A-E007	P2Y12R/adenosine	promotes	PINK1/Parkin/LC3 neuronal mitophagy	purinergic mitochondrial repair	increasing	directed	P2Y12R-driven ATP-to-adenosine conversion	A1R and mitophagy pathway blockade	neurons and microglia	microglia-neuron interface and injured cord	mouse	T10 contusion SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	P2Y12R restoration and pathway blockade	medium-high	P1	RETAIN_AS_DOWNSTREAM_FUNCTIONAL_RELAY
M24A-E008	extracellular traps/LL37	engages	P2X7R-NF-kB inflammatory relay	trap-mediated purinergic inflammation	increasing	directed	macrophage extracellular traps and LL37	P2X7R co-IP/pathway context	macrophages/microglia and human serum comparator	extracellular trap and cell-surface compartment	rat; human comparator	T10 contusion SCI	receptor_proximal_relay	reviewed_first_pass	DNase I intervention plus human association	medium-high	P1	RETAIN_AS_PROXIMAL_CONTEXT_NOT_GENETIC_RECEPTOR_PROOF
M24A-E009	LTB4	activates	BLT1	LTB4-BLT1 neutrophil recruitment	increasing	directed	5-LO-derived LTB4	BLT1 receptor context	neutrophils, leukocytes, neuronal co-culture	vascular/lesion compartment	mouse	traumatic SCI	ligand_receptor_activation	reviewed_first_pass	BLT1 knockout and inflammatory assays	high	P1	RETAIN_AS_LIPID_RECEPTOR_EDGE
M24A-E010	5-LO products/LTB4/PGE2	modulates	CysLT1-linked inflammatory injury	leukotriene/eicosanoid pharmacology	modulating	directed	5-LO and prostanoid mediator production	CysLT1 antagonist context	neutrophils and injured spinal tissue	lesion/vascular compartment	mouse	T6-T7 clip-compression SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	zileuton/montelukast pharmacology	medium-high	P2	RETAIN_AS_PHARMACOLOGIC_CONTEXT_NOT_SINGLE_LIGAND_EDGE
