expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-3537	M21B-DOWNSTREAM:00486	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE10333	SLAMF7/CRACC pY304 ITSM	M21B-E001154	NODE10249	SH2D1B/EAT2					SLAMF7 pY304-EAT2 PLCgamma/PI3K and NK-cell output	SLAMF7-pY304-EAT2-activating-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001097; PMID:16339536	M21B-DOWNSTREAM-EVID:000847	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3537	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human	PMID:16339536	Primary SLAMF7 pY304 EAT2 recruitment and NK signaling evidence	The retained receptor-proximal route links SLAMF7 pY304 phosphorylation to EAT2 association and PLCgamma/PI3K or cytotoxicity readouts.	Preserve the long-cytoplasmic isoform and human NK context; do not infer the separate SHP1/SHIP1 branch, SCI transfer or terminal-TF output.	curated_primary_route	LITEXP:003587
M21B-LITEXP-3538	M21B-DOWNSTREAM:00487	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cellular_functional_readout|phosphorylation_or_activation_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE10332	SLAMF6/NTB-A/Ly108	M21B-E001155	NODE10249	SH2D1B/EAT2					SLAMF6-EAT2 recruitment and B-cell survival output	SLAMF6-EAT2-B-cell-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001098; PMCID:PMC5805483	M21B-DOWNSTREAM-EVID:000848	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3538	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse	PMCID:PMC5805483	Primary SLAMF6 EAT2 recruitment and B-cell survival evidence	The retained receptor-proximal route links SLAMF6 phosphorylation/recruitment of EAT2 to source-supported B-cell survival output.	Preserve B-cell/T-cell contact and mouse context; do not infer a general SLAMF6 adaptor, SCI branch or terminal-TF effect.	curated_primary_route	LITEXP:003588
M21B-LITEXP-3539	M21B-DOWNSTREAM:00488	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout|second_messenger_readout|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE01964	CD84/SLAMF5	M21B-E001157	NODE10249	SH2D1B/EAT2					CD84-EAT2 phosphorylation, Akt and B-cell survival output	CD84-EAT2-memory-B-cell-relay	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001100; PMID:12115647; PMID:23435417	M21B-DOWNSTREAM-EVID:000850	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3539	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	human	PMID:12115647; PMID:23435417	Primary CD84 EAT2 recruitment and survival signaling evidence	The retained receptor-proximal route links CD84 ligation to EAT2 recruitment/phosphorylation and Akt or B-cell survival readouts.	Preserve primary human B-cell/CLL context; do not equate CLL survival with general CD84 signaling or infer SCI/terminal-TF output.	curated_primary_route	LITEXP:003589
M21B-LITEXP-3540	M21B-DOWNSTREAM:00515	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE03892	G6B-B ITIM/ITSM site-set	M21B-E001202	NODE09450	PTPN11/SHP2					G6B-B ITIM/ITSM-SHP2 platelet inhibitory output	G6B-B-ITIM-ITSM-SHP2-platelet-inhibition	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001145; PMID:11544253; PMCID:PMC3501490	M21B-DOWNSTREAM-EVID:000905	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3540	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	human; mouse	PMID:11544253; PMCID:PMC3501490	Primary G6B-B ITIM/ITSM SHP2 platelet-inhibition evidence	The retained receptor-proximal route links phosphorylated G6B-B ITIM/ITSM motifs to SHP2 association and platelet inhibitory output.	Preserve that SHP2 can bind with one phosphorylated motif whereas SHP1 requires both in the cited hierarchy; no SCI or terminal-TF inference is asserted.	curated_primary_route	LITEXP:003590
M21B-LITEXP-3541	M21B-DOWNSTREAM:00526	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout|second_messenger_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE11182	TLT-1 pY281 classical ITIM	M21B-E001217	NODE09450	PTPN11/SHP2					TLT-1 pY281-SHP2 and FcεRI calcium output	TLT1-pY281-SHP2-platelet-costimulation	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001160; PMID:15128762	M21B-DOWNSTREAM-EVID:000931	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3541	mechanism_evidence_v1	supports	not_evaluated	source_claim	phosphorylation_or_activation_readout	rat	PMID:15128762	Primary TLT-1 pY281 SHP2 and calcium signaling evidence	The retained receptor-proximal route links TLT-1 Tyr-281 phosphorylation to SHP2 association and FcεRI-linked calcium output.	Preserve TLT-1 platelet/megakaryocyte and RBL-2H3 model context; distinguish this costimulatory ITIM branch from generic inhibitory semantics.	curated_primary_route	LITEXP:003591
M21B-LITEXP-3542	M21B-DOWNSTREAM:00542	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|phosphorylation_or_activation_readout|cellular_functional_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE01872	CD36 receptor complex	M21B-E001284	NODE00996	ATP1A1/Na+-K+-ATPase alpha1					CD36-ATP1A1-Lyn oxLDL uptake and macrophage output	CD36-ATP1A1-LYN-oxLDL-complex	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001227; PMID:26350901; PMCID:PMC4852751	M21B-DOWNSTREAM-EVID:000950	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3542	mechanism_evidence_v1	supports	not_evaluated	source_claim	cellular_functional_readout	mouse	PMID:26350901; PMCID:PMC4852751	Primary CD36 ATP1A1 Lyn and oxLDL macrophage evidence	The retained receptor-proximal route links oxLDL-stimulated CD36 complex assembly with ATP1A1/Lyn activation and lipid-uptake or migration output.	Treat ATP1A1 as a complex component rather than an isolated direct ligand; preserve oxLDL/macrophage context and the reported erratum caveat.	curated_primary_route	LITEXP:003592
M21B-LITEXP-3543	M21B-DOWNSTREAM:00552	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|translocation_or_localization_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE01897	CD44 cytoplasmic tail	M21B-E001300	NODE03429	EZR/ezrin					CD44-tail ezrin membrane-localization and adhesion output	CD44-ezrin-adhesion	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001243; PMID:9637922	M21B-DOWNSTREAM-EVID:000967	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3543	mechanism_evidence_v1	supports	not_evaluated	source_claim	translocation_or_localization_readout	human	PMID:9637922	Primary CD44 cytoplasmic-tail ezrin coupling evidence	The retained receptor-proximal route links the CD44 cytoplasmic tail to source-supported ezrin association and membrane-localization or adhesion output.	This is adhesion-receptor/cytoskeletal coupling evidence; tail mutations did not disrupt hyaluronan binding, and no kinase relay or SCI inference is made.	curated_primary_route	LITEXP:003593
M21B-LITEXP-3544	M21B-DOWNSTREAM:00830	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|protein_secretion_or_release|gene_expression_or_transcription	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE10281	SIGLEC-H	M21B-E001923	NODE02768	DAP12/TYROBP					Siglec-H-DAP12 pDC surface-expression and type-I-IFN output	SIGLEC-H-DAP12-adaptor-assembly	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001866; PMID:16293595; PMCID:PMC1895736	M21B-DOWNSTREAM-EVID:001369	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3544	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	mouse	PMID:16293595; PMCID:PMC1895736	Primary Siglec-H DAP12 pDC receptor and IFN evidence	The retained receptor-proximal route links Siglec-H transmembrane association with DAP12 to source-supported pDC surface expression and type-I-IFN secretion readouts.	Preserve murine Siglec-H/pDC and DAP12-dependent surface-expression semantics; no physiological ligand, human counterpart, SCI branch or terminal-TF effect is inferred.	curated_primary_route	LITEXP:003594
M21B-LITEXP-3545	M21B-DOWNSTREAM:00835	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|protein_secretion_or_release	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE06719	MAIR-II	M21B-E001928	NODE02768	DAP12/TYROBP					MAIR-II-DAP12 adaptor assembly and macrophage cytokine output	MAIR-II-DAP12-dual-ITAM-adaptor-assembly	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001871; PMID:17202337	M21B-DOWNSTREAM-EVID:001380	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3545	mechanism_evidence_v1	supports	not_evaluated	source_claim	secreted_protein_or_release	mouse	PMID:17202337	Primary MAIR-II DAP12 association and macrophage cytokine evidence	The retained receptor-proximal route links MAIR-II transmembrane adaptor assembly with DAP12 to source-supported TNF-alpha and IL-6 secretion output.	Preserve MAIR-II dual-adaptor and mouse macrophage context; DAP12 is not the sole adaptor and no physiological ligand, SCI branch or terminal-TF effect is inferred.	curated_primary_route	LITEXP:003595
M21B-LITEXP-3546	M21B-DOWNSTREAM:00842	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|reporter_readout|gene_expression_or_transcription|second_messenger_readout	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE01853	CD300C	M21B-E001936	NODE03533	FCER1G/FcRgamma					CD300C-FcRgamma ERK, cytokine and apoptotic-cell reporter output	CD300C-FcRgamma-activating-receptor-assembly	primary_literature_route_expansion	primary_receptor_proximal_output	M21B-EVID-001879; PMID:23372157; PMCID:PMC3597807	M21B-DOWNSTREAM-EVID:001392	literature_expansion:primary_receptor_proximal_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-3546	mechanism_evidence_v1	supports	not_evaluated	source_claim	reporter_readout	human; mouse	PMID:23372157; PMCID:PMC3597807	Primary CD300C FcRgamma surface expression and ERK/cytokine evidence	The retained receptor-proximal route links CD300C association with FcRgamma to source-supported surface expression, ERK, cytokine and lipid/apoptotic-cell reporter output.	Preserve activating CD300C versus inhibitory CD300A paired-receptor context and FcRgamma dependence; candidate ligand recognition is not promoted to a universal assignment.	curated_primary_route	LITEXP:003596
