queue_id	module	edge_id	source_label	target_label	evidence_scope	curation_priority	disposition	output_class_observed	route_action	existing_output_route_count	existing_output_route_ids	review_basis	source_locator	source_evidence_ids	evidence_summary	limitations	next_action
M21B-DOWNSTREAM:02284	21B	M21B-E000275	Fibronectin/FN	ITGA5:ITGB1 integrin	direct_edge	P2	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	1	ROUTE:10294	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:12970173; PMID:33962943	M21B-EVID-000218	Primary-supported claim: The reviews identify alpha5beta1 as the fibronectin receptor and cite structural studies resolving fibronectin engagement of the alpha5beta1 headpiece and ligand-induced integrin opening. Primary model/assay: Human recombinant alpha5beta1 and fibronectin fragments or native fibronectin; EM/cryo-EM structural complexes, interface mapping, ligand-induced opening, and receptor-binding assays	Preserve alpha5beta1 heterodimer, fibronectin RGD/synergy-module context, and structural/receptor-binding scope; no universal integrin kinase relay or SCI inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02294	21B	M21B-E000317	CD13/ANPEP	SELE/E-selectin	direct_edge	P2	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	6	ROUTE:10381;ROUTE:10382;ROUTE:10383;ROUTE:10384;ROUTE:12345;ROUTE:12346	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:29777742	M21B-EVID-000260	Primary-supported claim: The review identifies sLeX-decorated CD13 among additional E-selectin ligands and cites the primary breast-cancer glycoproteomics study; the primary study isolates E-selectin-binding glycoproteins and validates CD13 glycoforms as sLeX-bearing E-selectin ligands. Primary model/assay: Human CF1_T patient-derived ductal breast-cancer cells and clinical breast-cancer tissue; E-selectin affinity glycoprotein isolation, bottom-up LC-MS/MS, flow cytometry, Western blot, immunohistochemistry, and in-situ proximity ligation assays	Preserve CD13 and CD44 co-expression, sLeX glycoform, patient-derived breast-cancer context, and affinity/proximity validation limits; no standalone CD13 intracellular relay or SCI inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02345	21B	M21B-E000557	Laminin-411	ITGA7:ITGB1 integrin	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:16413178	M21B-EVID-000500	Primary-supported claim: The laminin reviews identify alpha7beta1 as a laminin receptor and cite the recombinant-integrin survey showing that laminin-411 binds alpha7X1beta1, albeit weakly. Primary model/assay: Purified recombinant human alpha7X1beta1 and other laminin-binding integrins; purified laminin isoform panel including laminin-411; solid-phase binding and affinity assays	Preserve the weak laminin-411 affinity and alpha7X1 splice-variant context; no generic laminin signaling or SCI inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02346	21B	M21B-E000558	Laminin-421	ITGA7:ITGB1 integrin	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:16413178	M21B-EVID-000501	Primary-supported claim: The laminin reviews identify alpha7beta1 as a laminin receptor and cite the recombinant-integrin survey showing alpha7X1beta1 binding across the laminin panel, including laminin-421. Primary model/assay: Purified recombinant human alpha7X1beta1 and other laminin-binding integrins; purified laminin isoform panel including laminin-421; solid-phase binding and affinity assays	Preserve alpha7X1 splice-variant and laminin-421 isoform context; no generic laminin signaling or SCI inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02631	21B	M21B-E002491	P2RX2/P2X2 ATP-gated receptor	TUBB/tubulin beta I	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:17664027; DOI:10.1016/j.neuint.2007.06.032	M21B-EVID-002434	Primary-supported claim: The reviews identify beta-tubulin as a P2X2 C-terminal-associated cytoskeletal protein; the cited primary shows isoform-specific P2X2a C-terminal binding to beta-tubulin I in biochemical assays, direct interaction with purified brain tubulin and surface-receptor association in heterologous cells. Primary model/assay: Rat brain and bovine brain tubulin, purified P2X2/P2X2b C-terminal constructs and HEK293 cells; GST pull-down, co-sedimentation, co-immunoprecipitation, isoform deletion/mutant comparison and surface biotinylation assays	Represent the long P2X2a isoform-to-beta-tubulin-I interaction; preserve alternative-splice and cytoskeletal-context boundaries, without inferring a universal tubulin isoform, SCI effect or terminal-TF output.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02677	21B	M21B-E002665	CASK/MAGUK scaffold	NRXN1/neurexin-1	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:8786425; PMCID:PMC6578772	M21B-EVID-002608	Primary-supported claim: The review identifies CASK as an intracellular neurexin scaffold; the cited primary uses yeast two-hybrid and C-terminal deletion mapping to show neurexin binding through its terminal residues. Primary model/assay: Rat and human neurexin/CASK constructs; yeast two-hybrid, deletion mapping and biochemical interaction assays	Preserve intracellular synaptic adhesion-scaffold association, neurexin isoform and Y2H limitations; no SCI or terminal-TF inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02863	21B	M21B-E004759	M4/Arp4/M protein/Streptococcus pyogenes	C4BP/C4b-binding protein	direct_edge	P2	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	2	ROUTE:11072;ROUTE:11073	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:16330538	M21B-EVID-004702	Primary-supported claim: The review identifies M4/Arp4 M-protein as a C4BP-binding streptococcal complement-evasion factor; the cited primary demonstrates direct C4BP CCP1-2 interaction with recombinant M4/Arp4 material and structural/biochemical binding analysis. Primary model/assay: Recombinant S. pyogenes M4/Arp4 hypervariable-region or M-protein constructs and purified human C4BP; solid-phase binding, deletion/mutant mapping and structural/biochemical interaction assays.	Preserve M4/Arp4 hypervariable-region and C4BP CCP1-2 binding context; direct complement capture does not imply a host signaling relay or SCI/terminal-TF effect.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03024	21B	M21B-E005534	NECTIN1/CD111	CD96/TACTILE	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:17971293; PMCID:PMC6373967; DOI:10.1371/journal.pone.0191588	M21B-EVID-005477	Primary-supported claim: The review identifies nectin-1 as a species- and receptor-context-dependent CD96 ligand; the cited primary directly demonstrates dose-dependent human nectin-1/CD96 ectodomain binding by ELISA and SPR, with the nectin-1 V-domain sufficient for interaction. Primary model/assay: Human recombinant nectin-1 full ectodomain/V-domain and CD96 ectodomain; ELISA, surface-plasmon resonance and domain/isoform comparison.	Promote direct human nectin-1/CD96 ectodomain binding with bounded adhesion/checkpoint context only; preserve the relatively low affinity, CD96 isoform and species differences, and do not infer universal NK signaling or SCI function.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03025	21B	M21B-E005536	LGALS3BP/Mac-2BP	SIGLEC10	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:25320078; PMCID:PMC4246102; DOI:10.1038/onc.2014.326	M21B-EVID-005479	Primary-supported claim: The review identifies LGALS3BP as an extracellular immunomodulatory glycoprotein and cites the primary study showing high-affinity binding of human LGALS3BP to Siglec-10-Fc in recombinant glycan-dependent assays. Primary model/assay: Human and murine recombinant LGALS3BP/CyCAP and human Siglec-5/6/7/9/10/11 or mouse Siglec-E Fc proteins; ELISA binding panel, sialic-acid mutant controls and carcinoma-tissue proximity context.	Promote direct glycan-dependent LGALS3BP-Siglec-10 binding with bounded inhibitory/immunomodulatory context only; preserve multimeric LGALS3BP glycoform and species/affinity boundaries, and do not infer a universal Siglec-10 signaling mechanism or SCI function.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03026	21B	M21B-E005537	NLGN4X/NLGN4	NRXN1beta	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:20543817; PMCID:PMC2910273; DOI:10.1038/emboj.2010.123	M21B-EVID-005480	Primary-supported claim: The review describes neuroligin 4X as a postsynaptic neurexin ligand; the cited primary resolves a 2.6-A Nrx1beta-NL4 complex and confirms subtype-selective extracellular binding by structure-guided SPR and mutational analysis. Primary model/assay: Recombinant human Nrx1beta and neuroligin-4 extracellular domains; 2.6-A X-ray crystallography, structure-guided mutants and surface-plasmon resonance binding.	Promote direct Ca2+-coordinated NLGN4X-NRXN1beta extracellular adhesion only; preserve beta-neurexin isoform, splice/ionic dependence and synaptic-development context, with no SCI or terminal-TF inference.	full_text_primary_review_if_output_route_is_needed
