expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	receptor_intracellular_edge_id	intracellular_continuation_node_id	intracellular_continuation_label	intracellular_tf_edge_id	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	target_gene_node_id	target_gene_label	output_node_id	output_label	pathway_name	input_evidence_type	output_evidence_type	evidence_ids	source_evidence_record_id	route_linkage_status	causal_status	traversal_status	source_chain_id	route_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	output_class	species_context	cell_type_context	compartment_context	injury_context	context_scope	assay_or_perturbation	effect_polarity	source_scope	primary_locator	citation_note	evidence_summary	limitations	curation_status	route_evidence_id
M21B-LITEXP-0434	M21B-DOWNSTREAM:00053	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|cellular_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE01625	CCL1	M21B-E000234	NODE01786	CCR8	M21B-E003376	NODE04271	GNAI/O/Z								CCL1-CCR8-GNAI/O/Z-associated calcium, chemotaxis and migration output	CCL1-CCR8-Gi-chemotaxis-output	primary_literature_route_expansion	composite_primary_cellular_functional_output	M21B-E000234;M21B-EVID-000177;M21B-DOWNSTREAM-EVID:000100;M21B-DOWNSTREAM-EVID:000101;M21B-E003376;M21B-EVID-003319;PMID:38040762;PMID:23878309;PMID:9207005;PMID:9211859	M21B-DOWNSTREAM-EVID:000100	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0434	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	cellular_functional_readout	human; mouse; rat	Human CCR8-expressing engineered cells with mouse/human lymphatic and tumor-cell migration models; separate CCR8-Gi coupling systems	Extracellular CCL1 engagement of plasma-membrane CCR8; GNAI/O/Z continuation and calcium/chemotaxis output	No SCI transfer inferred; engineered-receptor, migration and receptor-coupling models only	Retain the CCL1-CCR8 input and functional output with a separately supported CCR8-Gi continuation; TF and target-gene layers remain unresolved.	CCL1-CCR8 binding/activation, calcium and migration assays combined with CCR8 ligand-stimulated Gi coupling and pertussis-toxin sensitivity	activating	composite_primary_evidence	PMID:38040762; PMID:23878309; PMID:9207005; PMID:9211859	Primary CCL1-CCR8 activation/migration and CCR8-Gi coupling studies	Primary studies support CCL1 engagement of CCR8 with calcium/chemotaxis or migration output, while separate CCR8 studies support Gi-family coupling. The overlay records a bounded intracellular continuation for plausibility analysis without asserting that all observations are from one experiment or a terminal transcriptional route.	Preserve engineered-human-receptor versus in vivo migration and coupling contexts, CCL1/CCR8 ligand specificity and shared chemokine-receptor caveats; do not infer a single-cell causal chain, CNS/SCI transfer or terminal TF.	curated_primary_route	LITEXP:000434
M21B-LITEXP-0435	M21B-DOWNSTREAM:00556	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|generic_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE00979	ATP	M21B-E001305	NODE08707	P2Y2/P2RY2	M21B-E001847	NODE04282	GNAQ/GNA11								ATP-P2Y2-GNAQ/GNA11-associated PLC/calcium second-messenger output	ATP-P2Y2-Gq-calcium-output	primary_literature_route_expansion	composite_primary_second_messenger_output	M21B-E001305;M21B-EVID-001248;M21B-DOWNSTREAM-EVID:000974;M21B-E001847;M21B-EVID-001790;PMID:10839197	M21B-DOWNSTREAM-EVID:000974	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0435	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	generic_functional_readout	human; mouse	Human and murine P2Y2-expressing 1321N1 astrocytoma and A431 cell systems; ATP/UTP calcium and receptor-desensitization assays	Extracellular ATP engagement of plasma-membrane P2Y2; GNAQ/GNA11 continuation and PLC/calcium output	No SCI transfer inferred; heterologous receptor and astrocytoma-cell systems only	Retain ATP-P2Y2 activation and calcium output with the graph-linked GNAQ/GNA11 continuation; TF and target-gene layers remain unresolved.	ATP/UTP concentration-response, calcium mobilization and P2Y2 desensitization assays	activating	composite_primary_evidence	PMID:10839197	Primary P2Y2 ATP/UTP calcium and Gq-coupling study	Primary evidence supports ATP activation of P2Y2 with PLC-linked calcium mobilization, and the graph contains a P2Y2-GNAQ/GNA11 continuation supported by the same primary locator. The route remains an evidence-layer annotation without a TF or terminal target gene.	Preserve ATP/UTP agonist overlap, P2Y2 subtype and heterologous-cell context; do not infer a universal P2Y2 coupling profile, CNS/SCI transfer or terminal transcriptional endpoint.	curated_primary_route	LITEXP:000435
M21B-LITEXP-0436	M21B-DOWNSTREAM:00560	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|generic_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE00322	ADP	M21B-E001310	NODE08700	P2Y12/P2RY12	M21B-E001843	NODE04268	GNAI								ADP-P2Y12-GNAI-associated adenylyl-cyclase inhibition and platelet-activation output	ADP-P2Y12-Gi-platelet-output	primary_literature_route_expansion	composite_primary_second_messenger_output	M21B-E001310;M21B-EVID-001253;M21B-DOWNSTREAM-EVID:000979;M21B-E001843;M21B-EVID-001786;PMID:11196645;PMID:11327712	M21B-DOWNSTREAM-EVID:000979	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0436	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	generic_functional_readout	human; mouse comparator	Human P2Y12-transfected cells and human platelets; ADP binding, Gi-sensitive cAMP inhibition and platelet-aggregation assays	Extracellular ADP engagement of plasma-membrane P2Y12; GNAI continuation and cAMP/platelet output	No SCI transfer inferred; platelet and heterologous receptor systems only	Retain ADP-P2Y12 activation, GNAI continuation and cAMP/platelet output; TF and target-gene layers remain unresolved.	ADP receptor binding, Gi-sensitive adenylyl-cyclase inhibition and platelet aggregation assays	activating	composite_primary_evidence	PMID:11196645; PMID:11327712	Primary P2Y12 ADP/Gi and platelet-activation studies	Primary evidence supports ADP activation of P2Y12 with Gi-dependent adenylyl-cyclase inhibition and platelet output; a graph-linked P2Y12-GNAI continuation is retained. The route remains non-causal and leaves TF and terminal gene-expression layers unresolved.	Preserve P2Y12 versus P2Y1 distinction and the two-receptor requirement for full platelet aggregation; do not infer a universal platelet-independent route, CNS/SCI transfer or terminal TF.	curated_primary_route	LITEXP:000436
M21B-LITEXP-0437	M21B-DOWNSTREAM:00565	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|generic_functional_readout	transcription_factor|target_gene_expression	source_supported	NODE01470	C5a/complement C5a fragment	M21B-E001316	NODE01475	C5AR1/CD88	M21B-E001819	NODE04268	GNAI								C5a-C5AR1-GNAI-associated calcium and receptor-activation output	C5a-C5AR1-Gi-calcium-output	primary_literature_route_expansion	composite_primary_second_messenger_output	M21B-E001316;M21B-EVID-001259;M21B-DOWNSTREAM-EVID:000985;M21B-DOWNSTREAM-EVID:000986;M21B-E001819;M21B-EVID-001762;PMID:2007135;PMID:1472004;PMID:36806352	M21B-DOWNSTREAM-EVID:000986	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0437	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	generic_functional_readout	human; canine comparator	Human C5AR1/CD88 expression-cloning and canine/human receptor-expressing COS/CHO calcium systems; separate C5AR1-Gi structural/pharmacology systems	Extracellular C5a engagement of plasma-membrane C5AR1; GNAI continuation and calcium/activation output	No SCI transfer inferred; receptor-expression and complement-receptor pharmacology systems only	Retain C5a-C5AR1 binding/activation and calcium output with a separately supported C5AR1-GNAI continuation; TF and target-gene layers remain unresolved.	C5a receptor cloning, radioligand binding, intracellular calcium and C5AR1-Gi receptor pharmacology assays	activating	composite_primary_evidence	PMID:2007135; PMID:1472004; PMID:36806352	Primary C5a-C5AR1 calcium and C5AR1-Gi coupling studies	Primary evidence supports C5a binding to C5AR1/CD88 and calcium signaling, while separate structural/pharmacology evidence supports C5AR1-Gi coupling. The route is retained as a bounded intracellular plausibility annotation without a TF or terminal target gene.	Keep human binding and canine functional evidence separate, distinguish C5AR1 from C5AR2 and preserve receptor-activation context; do not infer a single-cell causal chain, CNS/SCI transfer or terminal transcriptional endpoint.	curated_primary_route	LITEXP:000437
M21B-LITEXP-0438	M21B-DOWNSTREAM:00649	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|reporter_readout	transcription_factor|target_gene_expression	source_supported	NODE00019	2prime3prime-cGAMP	M21B-E001483	NODE10735	STING/TMEM173	M21B-E001484	NODE10872	TBK1								2prime3prime-cGAMP-STING-TBK1-associated interferon-reporter activation output	2prime3prime-cGAMP-STING-TBK1-output	primary_literature_route_expansion	composite_primary_reporter_output	M21B-E001483;M21B-EVID-001426;M21B-DOWNSTREAM-EVID:001100;M21B-DOWNSTREAM-EVID:001101;M21B-E001484;M21B-EVID-001427;PMID:23747010;PMID:30842653	M21B-DOWNSTREAM-EVID:001101	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0438	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	reporter_readout	human; mouse	Recombinant and cellular STING systems with cGAMP binding and interferon-pathway reporter assays; separate STING-TBK1 structural/cellular systems	Cytosolic 2prime3prime-cGAMP binding to the STING adaptor; TBK1 continuation and interferon-reporter output	No SCI transfer inferred; innate-immune structural and cellular systems only	Retain 2prime3prime-cGAMP-STING binding/activation, graph-linked TBK1 continuation and interferon-reporter output; TF and target-gene layers remain unresolved.	cGAMP-STING binding and conformational activation, STING oligomerization, TBK1 recruitment/activation and interferon-reporter assays	activating	composite_primary_evidence	PMID:23747010; PMID:30842653	Primary 2prime3prime-cGAMP-STING binding and STING-TBK1 activation studies	Primary evidence supports high-affinity 2prime3prime-cGAMP binding to STING and ligand-induced activation, while separate graph-linked evidence supports STING-TBK1 recruitment/activation and reporter output. STING is retained as a cytosolic adaptor rather than a conventional plasma-membrane receptor.	Preserve STING as a cytosolic adaptor, retain isoform/species and assay boundaries, and do not infer extracellular ligand transport, a single-cell causal chain, CNS/SCI transfer or terminal TF output.	curated_primary_route	LITEXP:000438
M21B-LITEXP-0439	M21B-DOWNSTREAM:00809	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|reporter_readout	transcription_factor|target_gene_expression	source_supported	NODE00719	APRIL/TNFSF13	M21B-E001741	NODE10831	TACI/TNFRSF13B	M21B-E001743	NODE07589	MYD88								APRIL-TACI-MyD88-associated NF-kB reporter, phosphorylation and B-cell class-switch output	APRIL-TACI-MyD88-NFkB-output	primary_literature_route_expansion	composite_primary_reporter_output	M21B-E001741;M21B-EVID-001684;M21B-DOWNSTREAM-EVID:001327;M21B-DOWNSTREAM-EVID:001328;M21B-E001743;M21B-EVID-001686;PMID:20676093	M21B-DOWNSTREAM-EVID:001328	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0439	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	reporter_readout	human; mouse	Primary mouse splenic B cells and human B-cell systems stimulated with APRIL or BAFF; TACI/MyD88 co-immunoprecipitation, IKK/I-kappaB phosphorylation, NF-kB reporter/EMSA and class-switch assays	Extracellular APRIL engagement of plasma-membrane TACI; MYD88 continuation and NF-kB/class-switch output	No SCI transfer inferred; primary B-cell and receptor-reconstitution systems only	Retain APRIL-TACI binding/activation, TACI-MYD88 continuation and NF-kB/class-switch output; TF identity and terminal target-gene layers remain unresolved.	APRIL/BAFF stimulation, TACI co-immunoprecipitation, MyD88-deficient comparators, IKK/I-kappaB phosphorylation, NF-kB reporter/EMSA and class-switch readouts	activating	composite_primary_evidence	PMID:20676093	Primary APRIL-TACI-MyD88 NF-kB and class-switch study	Primary evidence supports APRIL/TACI signaling through MyD88 with IRAK/TRAF pathway activity, NF-kB output and B-cell class switching. The graph-linked TACI-MYD88 edge supplies the intracellular continuation; the route remains non-causal and does not assign a terminal TF or target gene.	Preserve APRIL/BAFF distinction, TACI receptor context, B-cell class-switch model and MyD88-dependent pathway semantics; do not infer a universal TNFRSF relay, CNS/SCI transfer or terminal gene target.	curated_primary_route	LITEXP:000439
M21B-LITEXP-0440	M21B-DOWNSTREAM:00822	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|reporter_readout	transcription_factor|target_gene_expression	source_supported	NODE05349	IL1A	M21B-E001765	NODE05367	IL1R1-IL1RAP receptor complex	M21B-E000023	NODE07589	MYD88								IL1A-IL1R1/IL1RAcP-MyD88-associated NF-kB/AP-1 reporter output	IL1A-IL1R1-IL1RAcP-MyD88-output	primary_literature_route_expansion	composite_primary_reporter_output	M21B-E001765;M21B-EVID-001708;M21B-DOWNSTREAM-EVID:001355;M21B-E000023;M21B-EVID-000005;PMID:9820540;PMCID:PMC201562	M21B-DOWNSTREAM-EVID:001355	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0440	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	reporter_readout	mouse; human comparator	IL-1RAcP-deficient mice and fibroblasts, wild-type controls and IL-1alpha stimulation; receptor-binding, NF-kB/AP-1 reporter and in-vivo response assays	Extracellular IL1A engagement of the IL1R1-IL1RAcP receptor complex; MYD88 continuation and NF-kB/AP-1 reporter output	No SCI transfer inferred; IL-1 receptor-deficiency and fibroblast models only	Retain IL1A receptor-complex signaling, graph-linked MYD88 continuation and NF-kB/AP-1 reporter output; TF and terminal target-gene layers remain unresolved.	IL-1alpha stimulation, IL-1RAcP-deficient comparator cells/mice, receptor binding and NF-kB/AP-1 reporter assays	activating	composite_primary_evidence	PMID:9820540; PMCID:PMC201562	Primary IL-1 receptor accessory-protein and NF-kB/AP-1 signaling study	Primary evidence supports IL-1alpha binding to IL-1RI with IL-1RAcP required for NF-kB/AP-1 gene-expression signaling; the graph-linked IL1 receptor-complex-to-MYD88 edge supplies a receptor-proximal continuation. The route remains evidence-layer only and lacks a terminal TF/target gene.	Preserve mature or active IL-1alpha and IL-1RI/IL-1RAcP ternary-complex context; distinguish direct receptor-complex evidence from the separate MyD88 edge, and do not infer SCI or terminal-TF specificity.	curated_primary_route	LITEXP:000440
M21B-LITEXP-0441	M21B-DOWNSTREAM:00312	ligand>receptor>intracellular>????>output	ligand_receptor_intracellular_output_missing_tf	ligand|receptor|intracellular_continuation|phosphorylation_or_activation_readout	transcription_factor|target_gene_expression	source_supported	NODE00598	ANXA1/Annexin A1	M21B-E000709	NODE03812	FPR2/ALX	M21B-E001809	NODE04268	GNAI								ANXA1-FPR2-GNAI-associated calcium/ERK and chemotaxis output	ANXA1-FPR2-Gi-chemotaxis-output	primary_literature_route_expansion	composite_primary_activation_output	M21B-E000709;M21B-EVID-000652;M21B-DOWNSTREAM-EVID:000513;M21B-DOWNSTREAM-EVID:000514;M21B-E001809;M21B-EVID-001752;PMID:22610094;PMCID:PMC3397896;DOI:10.1074/jbc.M112.377101;PMID:8006586;PMID:9054386;PMID:9151906	M21B-DOWNSTREAM-EVID:000513	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0441	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human	Human ANXA1/Ac2-26 and FPR2/FPR1 chimeric HEK293 systems; separate FPR2/ALX-transfected CHO and human neutrophil/monocyte coupling assays	Extracellular ANXA1 engagement of plasma-membrane FPR2; GNAI continuation and calcium/ERK/chemotaxis output	No SCI transfer inferred; chimeric-receptor, neutrophil-like and heterologous-cell models only	Retain ANXA1-FPR2 receptor-domain and activation evidence with a separately supported FPR2-GNAI continuation; TF and target-gene layers remain unresolved.	ANXA1/Ac2-26 receptor-domain mapping, calcium/ERK activation and FPR2 G-protein/pertussis-toxin-sensitive functional assays	activating	composite_primary_evidence	PMID:22610094; PMCID:PMC3397896; DOI:10.1074/jbc.M112.377101; PMID:8006586; PMID:9054386; PMID:9151906	Primary ANXA1-FPR2 activation and FPR2-Gi coupling studies	Primary evidence supports annexin-A1-dependent FPR2 activation with calcium/ERK-associated readouts, and separate FPR2 studies support GNAI coupling. The overlay retains this as a composite intracellular plausibility route without assigning a terminal TF or target gene.	Preserve full-length ANXA1 versus Ac2-26 peptide, FPR2 ligand bias and chimeric-receptor/domain-mapping limits; do not infer universal FPR1 equivalence, a single-cell causal chain, CNS/SCI weighting or terminal TF.	curated_primary_route	LITEXP:000441
M21B-LITEXP-0442	M21B-DOWNSTREAM:00812	ligand>receptor>????>TF>output	ligand_receptor_tf_output_annotation_missing_intracellular	ligand|receptor|transcription_factor|phosphorylation_or_activation_readout	intracellular_continuation|target_gene_expression	not_assayed	NODE05003	IFNL3	M21B-E001751	NODE05006	IFNLR1:IL10RB receptor complex				M21B-E011536	NODE10672	STAT1					IFNL3-IFNLR1:IL10RB-STAT1-associated antiproliferative and antiviral output	IFNL3-IFNLR1-IL10RB-STAT1-output	primary_literature_route_expansion	composite_primary_tf_functional_output	M21B-E001751;M21B-EVID-001694;M21B-DOWNSTREAM-EVID:001333;M21B-E011536;M21B-EVID-010839;PMID:28329704;PMID:23258595	M21B-DOWNSTREAM-EVID:001333	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0442	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human	Human IFN-lambda-3/IFNLR1/IL10RB structural and Huh7.5 functional systems; separate primary-human-hepatocyte IFN-lambda/STAT1 phosphorylation assays	Extracellular IFNL3 engagement of the IFNLR1:IL10RB receptor complex; STAT1 observation and antiproliferative/antiviral output	No SCI transfer inferred; structural, hepatocyte and antiviral models only	Retain IFNL3 receptor-complex activation, STAT1 association and functional output; JAK/TYK2 intracellular continuation and terminal target-gene layers remain unresolved.	IFN-lambda receptor-complex structural/interface validation, antiproliferative assays and primary-hepatocyte STAT1 phosphorylation readouts	activating	composite_primary_evidence	PMID:28329704; PMID:23258595	Primary IFN-lambda receptor-complex and STAT1 functional studies	Primary evidence supports IFNL3 activation of the IFNLR1/IL10RB receptor complex and functional antiproliferative/antiviral output, while separate primary-hepatocyte evidence supports receptor-dependent STAT1 activation. The route is retained with intracellular continuation unresolved and no terminal target gene asserted.	Preserve engineered IFN-lambda variant, receptor-complex, Huh7.5 and hepatocyte contexts; do not infer a complete JAK/TYK2 relay, a terminal ISG target, astrocyte/SCI signaling or universal type-III interferon behavior.	curated_primary_route	LITEXP:000442
M21B-LITEXP-0443	M21B-DOWNSTREAM:00812	ligand>receptor>????>TF>output	ligand_receptor_tf_output_annotation_missing_intracellular	ligand|receptor|transcription_factor|phosphorylation_or_activation_readout	intracellular_continuation|target_gene_expression	not_assayed	NODE05003	IFNL3	M21B-E001751	NODE05006	IFNLR1:IL10RB receptor complex				M21B-E011537	NODE10692	STAT2					IFNL3-IFNLR1:IL10RB-STAT2-associated antiproliferative and antiviral output	IFNL3-IFNLR1-IL10RB-STAT2-output	primary_literature_route_expansion	composite_primary_tf_functional_output	M21B-E001751;M21B-EVID-001694;M21B-DOWNSTREAM-EVID:001333;M21B-E011537;M21B-EVID-010840;PMID:28329704;PMID:23258595	M21B-DOWNSTREAM-EVID:001333	literature_expansion:primary_route_annotation	not_asserted	evidence_route_not_causal	M21B-LITEXP-0443	retained_evidence_route	mechanism_evidence_v1	supports	not_evaluated	composite_source_claim	phosphorylation_or_activation_readout	human	Human IFN-lambda-3/IFNLR1/IL10RB structural and Huh7.5 functional systems; separate primary-human-hepatocyte IFN-lambda/STAT2 phosphorylation assays	Extracellular IFNL3 engagement of the IFNLR1:IL10RB receptor complex; STAT2 observation and antiproliferative/antiviral output	No SCI transfer inferred; structural, hepatocyte and antiviral models only	Retain IFNL3 receptor-complex activation, STAT2 association and functional output; JAK/TYK2 intracellular continuation and terminal target-gene layers remain unresolved.	IFN-lambda receptor-complex structural/interface validation, antiproliferative assays and primary-hepatocyte STAT2 phosphorylation readouts	activating	composite_primary_evidence	PMID:28329704; PMID:23258595	Primary IFN-lambda receptor-complex and STAT2 functional studies	Primary evidence supports IFNL3 activation of the IFNLR1/IL10RB receptor complex and functional antiproliferative/antiviral output, while separate primary-hepatocyte evidence supports receptor-dependent STAT2 activation. The route is retained with intracellular continuation unresolved and no terminal target gene asserted.	Preserve engineered IFN-lambda variant, receptor-complex, Huh7.5 and hepatocyte contexts; do not infer a complete JAK/TYK2 relay, a terminal ISG target, astrocyte/SCI signaling or universal type-III interferon behavior.	curated_primary_route	LITEXP:000443
