tf_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	identity_source_count	catalog_profile_count	tflink_target_count	unique_reference_pmids	current_status	identifier_flags	triage_bucket	promotion_scope	module_route	evidence_readiness	triage_reason	provenance_note
ac023509.3	AC023509.3	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	2	0	0	0	new_candidate	transcript_like_identifier	promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac092835.1	AC092835.1	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	2	0	0	0	new_candidate	transcript_like_identifier	promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ac138696.1	AC138696.1	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	2	0	0	0	new_candidate	transcript_like_identifier	promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
adnp	ADNP;Adnp	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	0	958	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
adnp2	ADNP2;Adnp2	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ahctf1	AHCTF1;Ahctf1	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ahrr	AHRR;Ahrr	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	0	1136	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
akna	AKNA;Akna	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
alx1	ALX1;Alx1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	1	0	0	new_candidate	transcript_like_identifier	promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
alx3	ALX3;Alx3	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	1	0	0	new_candidate	transcript_like_identifier	promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. Identifier flag is retained for manual review: transcript_like_identifier.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
