regulator_key	display_symbols	species_scopes	primary_role_category	role_subcategory	source_registries	source_versions	identity_catalogs	candidate_regulon_status	regulon_source_count	regulon_source_registries	regulon_target_count	pair_record_count	target_membership_scope	claimed_effect	target_cell_presence_status	downstream_activation_status	upstream_relay_status	module_route	module22b_eligibility	evidence_readiness	provenance_note
na	Na	mouse	alias_or_ingestion_artifact_review	noncanonical_or_missing_value_symbol	TFLink	TFLink_v1.0_snapshot		database_attributed_regulon_available	1	TFLink	5304	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	identifier_or_profile_review	not_ready_identity_or_profile_only	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: alias_or_ingestion_artifact_review.
p65	p65	human	alias_or_ingestion_artifact_review	noncanonical_or_missing_value_symbol	TFLink	TFLink_v1.0_snapshot		database_attributed_regulon_available	1	TFLink	7640	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	identifier_or_profile_review	not_ready_identity_or_profile_only	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: alias_or_ingestion_artifact_review.
ewsr1-fli1	EWSR1-FLI1	vertebrates	binding_profile_only	motif_profile_without_pair_evidence	JASPAR_CORE	JASPAR2026_CORE_vertebrates_nonredundant	JASPAR_CORE	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	identifier_or_profile_review	not_ready_identity_or_profile_only	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: binding_profile_only.
mix-a	mix-a	vertebrates	binding_profile_only	motif_profile_without_pair_evidence	JASPAR_CORE	JASPAR2026_CORE_vertebrates_nonredundant	JASPAR_CORE	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	identifier_or_profile_review	not_ready_identity_or_profile_only	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: binding_profile_only.
scand3	SCAND3	vertebrates	binding_profile_only	motif_profile_without_pair_evidence	JASPAR_CORE	JASPAR2026_CORE_vertebrates_nonredundant	JASPAR_CORE	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	identifier_or_profile_review	not_ready_identity_or_profile_only	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: binding_profile_only.
zfta	ZFTA	vertebrates	binding_profile_only	motif_profile_without_pair_evidence	JASPAR_CORE	JASPAR2026_CORE_vertebrates_nonredundant	JASPAR_CORE	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	identifier_or_profile_review	not_ready_identity_or_profile_only	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: binding_profile_only.
ac023509.3	AC023509.3	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
ac092835.1	AC092835.1	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
ac138696.1	AC138696.1	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
ahctf1	AHCTF1;Ahctf1	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
ahrr	AHRR;Ahrr	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	database_attributed_regulon_available	1	TFLink	1136	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
akna	AKNA;Akna	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
alx1	ALX1;Alx1	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
alx3	ALX3;Alx3	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
anhx	ANHX	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
