evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-NONDIRECTHIGH004-EVID-0001	M20A-EXT-2884	ptn alk	Ptn Alk	primary_literature_recovery	PMID:17681947; DOI:10.1074/jbc.M704505200; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PTN_ALK_ITGAV_ITGB3_PTPRZ1_primary_records.xml	PTN_RPTPbeta_zeta_ALK_phosphorylation_relay	mammalian PTN/RPTPbeta/zeta and ALK-expressing cells	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PTN/RPTPbeta/zeta pathway regulation increased ALK phosphorylation/activation by reducing receptor-mediated ALK dephosphorylation.	This is an indirect receptor-pathway relay; direct PTN-ALK binding is explicitly not established.	No universal downstream kinase or terminal TF was established. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
M20A-NONDIRECTHIGH004-EVID-0002	M20A-EXT-2981	rtn4 ngfr	Rtn4 Ngfr	primary_literature_recovery	PMID:12422217; DOI:10.1038/nature01176; PMID:14966521; DOI:10.1038/nn1188; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_RTN4_NGFR_RTN4R_S1PR2_primary_records.xml	receptor_complex_relay	mouse; human/reconstituted comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:12422217; DOI:10.1038/nature01176; PMID:14966521; DOI:10.1038/nn1188	p75/NGFR interacts with NgR1 and is required for NgR-mediated Nogo/myelin-inhibitor signaling; LINGO-1 is an additional complex component.	Primary evidence supports receptor-complex participation, not purified RTN4-to-NGFR binary binding; complex composition is context-dependent. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
M20A-NONDIRECTHIGH004-EVID-0003	M20A-EXT-2989	s100a1 tlr4	S100a1 Tlr4	primary_literature_recovery	PMID:24833748; PMCID:PMC4203355; DOI:10.15252/emmm.201303498; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_S100A1_TLR4_PMC4203355.xml	receptor_dependent_TLR4_MAPK_NFkB_relay	mouse; human patient comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:24833748; DOI:10.15252/emmm.201303498	Extracellular S100A1 induced TLR4-dependent MAPK and NF-kappaB activation in cardiac fibroblasts after ischemic injury.	TLR4 dependence is shown without purified S100A1/TLR4 affinity; NF-kappaB is not a direct ligand-TF edge. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
M20A-NONDIRECTHIGH004-EVID-0004	M20A-EXT-3008	saa1 fpr2	Saa1 Fpr2	primary_literature_recovery	PMID:25154907; PMCID:PMC2745437; DOI:10.1016/j.imbio.2014.08.002; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SAA1_SAA2_isoform_P25154907.xml	qualified_primary_receptor_proximal_review	human recombinant isoforms	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:25154907; PMCID:PMC2745437; DOI:10.1016/j.imbio.2014.08.002	Recombinant human SAA1.1, SAA1.3, SAA1.5, and SAA2.2 activated FPR2 in calcium-mobilization and chemotaxis assays; SAA1.1 and SAA2.2 produced stronger ERK phosphorylation than SAA1.3 and SAA1.5.	The edge is murine Saa1, while the primary comparison is recombinant human isoforms. Allelic and species differences are retained; no direct affinity value was reported. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
M20A-NONDIRECTHIGH004-EVID-0005	M20A-EXT-3015	saa2 fpr2	Saa2 Fpr2	primary_literature_recovery	PMID:25154907; PMCID:PMC2745437; DOI:10.1016/j.imbio.2014.08.002; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SAA1_SAA2_isoform_P25154907.xml	qualified_primary_receptor_proximal_review	human recombinant SAA2.2	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:25154907; PMCID:PMC2745437; DOI:10.1016/j.imbio.2014.08.002	Recombinant human SAA2.2 activated FPR2 in calcium-mobilization and chemotaxis assays and produced ERK phosphorylation comparable to SAA1.1.	The Module 20B release is mouse-scoped, whereas the primary study uses human SAA2.2. Isoform and species caveats remain explicit. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
M20A-NONDIRECTHIGH004-EVID-0006	M20A-EXT-3019	saa2 tlr2	Saa2 Tlr2	primary_literature_recovery	PMID:25154907; PMCID:PMC2745437; DOI:10.1016/j.imbio.2014.08.002; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SAA1_SAA2_isoform_P25154907.xml	qualified_primary_receptor_proximal_review	human recombinant SAA2.2	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:25154907; PMCID:PMC2745437; DOI:10.1016/j.imbio.2014.08.002	SAA2.2 activated a TLR2-dependent NF-kB luciferase reporter, with only small efficacy differences among the tested SAA1 proteins and SAA2.2.	The assay demonstrates receptor-dependent reporter activity, not purified ligand-receptor affinity; species is human recombinant SAA2.2. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
M20A-NONDIRECTHIGH004-EVID-0007	M20A-EXT-3088	sema4d cd72	Sema4d Cd72	primary_literature_recovery	PMID:17244710; PMCID:PMC1482558; DOI:10.1073/pnas.0606344104; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_Sema4D_primary_records.xml	qualified_primary_receptor_complex_review	mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:17244710; PMCID:PMC1482558; DOI:10.1073/pnas.0606344104	Soluble Sema4D caused dissociation of the CD72/SHP-1 complex in activated mouse platelets, paralleling the receptor-proximal CD72 signal described in B lymphocytes.	The source establishes receptor-complex modulation rather than a purified binding constant; platelet and B-cell contexts are not SCI-specific. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
M20A-NONDIRECTHIGH004-EVID-0008	M20A-EXT-3097	sema5b plxna1	Sema5b Plxna1	primary_literature_recovery	PMID:31209173; PMCID:PMC6697390; DOI:10.1523/JNEUROSCI.0113-19.2019; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_Sema5B_primary_records.xml; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_Sema5B_PMC6697390_fulltext.xml	qualified_primary_function_review	mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:31209173; PMCID:PMC6697390; DOI:10.1523/JNEUROSCI.0113-19.2019	In mouse cochlear development, Sema5B-Fc reduced type I spiral-ganglion terminal branch number and increased branch length; Sema5B loss caused the opposite phenotype, while conditional Plxna1 loss increased branching, supporting a Sema5B/PlexinA1 receptor-dependent branch-refinement output.	The study identifies PlexinA1 as a responding receptor in a context where SGNs also express PlexinA3; Sema5B-Fc activates Plexin-As and does not provide a purified pair-specific binding measurement. Developmental auditory model only. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
M20A-NONDIRECTHIGH004-EVID-0009	M20A-EXT-3103	sema7a plxnc1	Sema7a Plxnc1	primary_literature_recovery	PMID:28281529; PMCID:PMC5353663; DOI:10.1038/ncomms14666; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_Sema7A_PMC5353663_fulltext.xml; data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B_PMC5353663_Sema7A_integrin_PlexinC1_full.html	qualified_primary_function_review	mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:28281529; PMCID:PMC5353663; DOI:10.1038/ncomms14666	In adult mouse dentate gyrus, Sema7A inhibited early neural-progenitor proliferation through PlexinC1 in vitro and in vivo; Sema7A and PlexinC1 knockout mice showed concordant increased proliferation, while later dendritic effects used beta1-integrin receptors rather than PlexinC1.	This is a stage-specific adult hippocampal model. PlexinC1 and beta1-integrin effects are receptor-context dependent; the paper does not define a complete intracellular kinase-to-TF cascade or SCI receiver-cell mechanism. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
M20A-NONDIRECTHIGH004-EVID-0010	M20A-EXT-3360	trf tfr2	Trf Tfr2	primary_literature_recovery	PMID:19454495; PMCID:PMC2688567; DOI:10.3324/haematol.2008.003541; https://pmc.ncbi.nlm.nih.gov/articles/PMC2688567/	validated_primary_receptor_proximal_assay	mouse	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:19454495; PMCID:PMC2688567; DOI:10.3324/haematol.2008.003541	In primary mouse hepatocytes, 30 microM holo-transferrin induced rapid, transient ERK1/2 phosphorylation; serum plus holo-transferrin enhanced and prolonged the response, and 10 microM U0-126 blunted the holo-transferrin-dependent hepcidin response.	The primary full text supports ligand-triggered TFR2-associated signaling in primary hepatocytes, not purified TFR2 binding affinity or a universal TFR2 kinase pathway. The article notes that TFR2 attribution is favored by transferrin subtype/context comparisons; TFR2 remains an iron-sensing/complex node. High is limited to the cited non-direct relay/function record; no binary binding, TF, or SCI-transfer inference is made.
