candidate_id	source_a_status	b_status	layer1_status	layer2_status	layer3_status	species_posture	injury_context_posture	next_gap
M24A-LEGACY-001	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	context_supported	not_assessed	reviewed_supported	mouse	T10 forceps-clamp SCI	Legacy Module 18 reuse anchor; C1q receptor and cellular source unresolved
M24A-LEGACY-002	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	context_supported	reviewed_supported	reviewed_supported	mouse	T10 crush SCI	Legacy Module 18 reuse anchor; direct debris-TREM2 binding unresolved
M24A-LEGACY-003	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	context_supported	reviewed_supported	reviewed_supported	rat	impact SCI	Legacy Module 18 reuse anchor; P2X7-selective receptor necessity unresolved
M24A-LEGACY-004	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	context_supported	reviewed_supported	reviewed_supported	mouse	T10 contusion SCI	Legacy Module 18 reuse anchor; nanoparticle and restoration confounds
M24A-LEGACY-005	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	context_supported	reviewed_supported	reviewed_supported	rat; human comparator	T10 contusion SCI	Legacy Module 18 reuse anchor; genetic P2X7R necessity unresolved
M24A-LEGACY-006	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	reviewed_supported	reviewed_supported	reviewed_supported	mouse	traumatic SCI	Legacy Module 18 reuse anchor; BLT1 is an amplification factor, not the sole recruitment route
M24A-LEGACY-007	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	context_supported	not_assessed	reviewed_supported	mouse	SCI	Legacy Module 18 reuse anchor; receptor assignment unresolved
M24A-LEGACY-008	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	context_supported	not_assessed	reviewed_supported	rat	SCI combination therapy	Legacy Module 18 reuse anchor; receptor and single-agent contribution unresolved
M24A-LEGACY-009	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	fragment_context_supported	reviewed_supported	reviewed_supported	mouse	traumatic SCI	Legacy Module 18 reuse anchor; endogenous fragment identity and CR2 relay unresolved
M24A-LEGACY-010	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	not_direct_binding	reviewed_supported	reviewed_supported	rat	SCI and primary astrocyte/macrophage models	Legacy Module 18 reuse anchor; direct binding and TLR2/TLR4 separation unresolved
M24A-LEGACY-011	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	not_direct_binding	reviewed_supported	reviewed_supported	rat	spinal cord ischemia-reperfusion	Legacy Module 18 reuse anchor; direct binding and complex specificity unresolved
M24A-LEGACY-012	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	not_direct_binding	reviewed_supported	reviewed_supported	rat	contusion SCI	Legacy Module 18 reuse anchor; pharmacologic specificity and purified binding unresolved
M24A-LEGACY-013	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	context_supported	reviewed_supported	reviewed_supported	mouse	thoracic contusion SCI	Legacy Module 18 reuse anchor; likely overlap with frozen Module 20A LR record
M24A-LEGACY-014	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	context_supported	reviewed_supported	reviewed_supported	mouse	SCI	Legacy Module 18 reuse anchor; likely overlap with frozen Module 20A LR record
M24A-LEGACY-015	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	not_direct_binding	not_assessed	reviewed_supported	mouse; rat	contusion SCI	Legacy Module 18 reuse anchor; CCR1 perturbation unresolved
M24A-LEGACY-016	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	not_direct_binding	reviewed_supported	reviewed_supported	mouse	T10 contusion explants	Legacy Module 18 reuse anchor; TNC-specific receptor perturbation unresolved
M24A-LEGACY-017	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	not_direct_binding	reviewed_supported	reviewed_supported	rat	SCI	Legacy Module 18 reuse anchor; decorin-TLR2 edge not supported
M24A-LEGACY-018	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	REVIEWED_SUPPORTED_DOWNSTREAM_CONTEXT	not_direct_binding	reviewed_supported	reviewed_supported	mouse	chronic contusion SCI	Legacy Module 18 reuse anchor; MMP9-to-TLR4 direction not supported
M24A-Q0151	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	REVIEWED_SUPPORTED_WITH_PAIR_LIMIT	context_supported	reviewed_supported	not_assessed	human	peripheral blood comparator	mouse SCI relevance absent
