review_id	pair_key	pair_label_canonical	pathway_reuse_key	evidence_id	source_locators	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence_tier	terminal_tf_entities	review_status	curator_note
M20A-EXT-1408	cubn lrp2	Cubn Lrp2	M21A-REUSE-1483	M21A-PAIR-EVID-2699	PMID:20798259; PMID:11606717; PMID:37126375	human; rat; mouse	renal proximal-tubule epithelial cells, yolk-sac cells, and OK cells	conditional Cubn/Lrp2 knockout, albumin or transferrin uptake, co-localization, and endocytic-flux assays	CUBN-LRP2 receptor-complex association promotes cubilin-ligand internalization	receptor_proximal_relay	CUBAM/megalin-Dab2-clathrin endocytosis -> proximal-tubule protein uptake	 high		reviewed_relay_candidate	Evidence establishes a receptor-complex/endocytic relationship rather than a conventional secreted-ligand GPCR or kinase-receptor relay; no terminal TF was assayed.
M20A-EXT-1409	cx3cl1 itgav	Cx3cl1 Itgav	M21A-REUSE-1484	M21A-PAIR-EVID-2700	PMCID:PMC3518660; PMCID:PMC4008574; DOI:10.1016/j.atherosclerosis.2012.08.017	human; mouse	K562, CHO, and CX3CR1/integrin-transfected cell systems; mouse peritonitis model	CX3CL1 chemokine-domain binding and K36E/R37E mutant, ternary-complex, integrin-activation, adhesion, and peritonitis assays	direct_chemokine_integrin_complex_binding_and_activation	receptor_proximal_relay	CX3CL1 -> alphaVbeta3 (ITGAV/ITGB3) -> integrin activation and CX3CR1 ternary-complex adhesion	high		reviewed_relay_candidate	Evidence is for the alphaVbeta3 heterodimer and its ternary complex, not ITGAV as an isolated receptor subunit; no terminal TF was assayed. Module 21A qualified-relay promotion batch084 (2026-09-02): exact CX3CL1-associated alphaVbeta3 receptor-complex binding/activation and bounded relay/function are raised to high at the validated layer. The alphaVbeta3 heterodimer and CX3CR1 ternary context, integrin-subunit boundary, species/model, assay, pathway, and no-terminal-TF/SCI limits remain explicit; no isolated ITGAV/ITGB3 or universal complex claim is made.
M20A-EXT-1410	cx3cl1 itgb3	Cx3cl1 Itgb3	M21A-REUSE-1485	M21A-PAIR-EVID-2701	PMCID:PMC3518660; PMCID:PMC4008574; DOI:10.1016/j.atherosclerosis.2012.08.017	human; mouse	K562, CHO, and CX3CR1/integrin-transfected cell systems; mouse peritonitis model	CX3CL1 chemokine-domain binding and K36E/R37E mutant, ternary-complex, integrin-activation, adhesion, and peritonitis assays	direct_chemokine_integrin_complex_binding_and_activation	receptor_proximal_relay	CX3CL1 -> alphaVbeta3 (ITGAV/ITGB3) -> integrin activation and CX3CR1 ternary-complex adhesion	high		reviewed_relay_candidate	Evidence is for the alphaVbeta3 heterodimer and its ternary complex, not ITGB3 as an isolated receptor subunit; no terminal TF was assayed. Module 21A qualified-relay promotion batch084 (2026-09-02): exact CX3CL1-associated alphaVbeta3 receptor-complex binding/activation and bounded relay/function are raised to high at the validated layer. The alphaVbeta3 heterodimer and CX3CR1 ternary context, integrin-subunit boundary, species/model, assay, pathway, and no-terminal-TF/SCI limits remain explicit; no isolated ITGAV/ITGB3 or universal complex claim is made.
M20A-EXT-1411	cxcl1 adra2a	Cxcl1 Adra2a		M21A-PAIR-EVID-2702	PMID:1452search-query; https://pubmed.ncbi.nlm.nih.gov/?term=CXCL1+ADRA2A; https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=9606&goId=0008009	human; mouse	CXCL1/CXCR2 inflammatory models and adrenergic-receptor literature; no exact CXCL1-ADRA2A model	exact-symbol PubMed, PMC, publisher, and pathway-resource searches; no pair-specific binding, activation, relay, or perturbation assay recovered	no exact molecular or receptor-proximal evidence recovered	ligand_receptor_binding_or_activation	CXCL1 canonical CXCR2 branch; ADRA2A candidate unresolved	low		reviewed_unresolved	Co-expression, inflammatory co-regulation, and CXCL1-CXCR2 evidence do not establish CXCL1 as an ADRA2A ligand or signal.
M20A-EXT-1412	cxcl1 dpp4	Cxcl1 Dpp4		M21A-PAIR-EVID-2703	PMID:1452search-query; https://pubmed.ncbi.nlm.nih.gov/?term=CXCL1+DPP4; https://pubmed.ncbi.nlm.nih.gov/?term=CXCL1+CD26	human; mouse	CXCL1 chemokine and DPP4/CD26 processing literature; no exact CXCL1-DPP4 model	exact-symbol PubMed, PMC, publisher, and pathway-resource searches; no primary CXCL1-DPP4 substrate or receptor-dependent assay recovered	no exact CXCL1-DPP4 processing or signaling evidence recovered	ligand_receptor_binding_or_activation	DPP4 chemokine-processing branch; exact CXCL1 substrate relationship unresolved	low		reviewed_unresolved	DPP4 processing of other chemokines cannot be transferred to CXCL1, and CXCL1-CXCR2 function does not establish DPP4 as a receptor or relay.
M20A-EXT-1413	cxcl1 grm7	Cxcl1 Grm7		M21A-PAIR-EVID-2704	PMID:1452search-query; https://pubmed.ncbi.nlm.nih.gov/?term=CXCL1+GRM7	human; mouse	CXCL1 inflammatory models and GRM7 glutamate-receptor literature; no exact CXCL1-GRM7 model	exact-symbol PubMed, PMC, publisher, and pathway-resource searches; no pair-specific binding, activation, relay, or perturbation assay recovered	no exact molecular or receptor-proximal evidence recovered	ligand_receptor_binding_or_activation	CXCL1 canonical CXCR2 branch; GRM7 candidate unresolved	low		reviewed_unresolved	Neuroinflammatory co-expression or pathway overlap does not establish CXCL1-GRM7 binding or signaling.
M20A-EXT-1414	cxcl1 mtnr1a	Cxcl1 Mtnr1a		M21A-PAIR-EVID-2705	PMID:1452search-query; https://pubmed.ncbi.nlm.nih.gov/?term=CXCL1+MTNR1A	human; mouse	CXCL1 inflammatory models and melatonin-receptor literature; no exact CXCL1-MTNR1A model	exact-symbol PubMed, PMC, publisher, and pathway-resource searches; no pair-specific binding, activation, relay, or perturbation assay recovered	no exact molecular or receptor-proximal evidence recovered	ligand_receptor_binding_or_activation	CXCL1 canonical CXCR2 branch; MTNR1A candidate unresolved	low		reviewed_unresolved	Melatonin or inflammatory regulation of CXCL1 is reverse-direction/context evidence and does not establish CXCL1 as an MTNR1A ligand.
M20A-EXT-1415	cxcl1 xcr1	Cxcl1 Xcr1		M21A-PAIR-EVID-2706	PMID:21300913; https://pubmed.ncbi.nlm.nih.gov/?term=CXCL1+XCR1	human; mouse	thymic dendritic-cell and chemokine-receptor models; no exact CXCL1-XCR1 model	chemotaxis and receptor-expression studies for XCL1-XCR1, plus exact-symbol CXCL1-XCR1 searches; no CXCL1-XCR1 binding or perturbation assay recovered	no exact CXCL1-XCR1 interaction recovered	ligand_receptor_binding_or_activation	XCL1-XCR1 canonical branch; CXCL1 assignment unresolved	low		reviewed_unresolved	The primary XCR1 study identifies XCL1, not CXCL1, as the ligand; receptor-family or chemokine-name similarity is not sufficient for transfer.
M20A-EXT-1416	cxcl10 adra2a	Cxcl10 Adra2a		M21A-PAIR-EVID-2707	PMID:41779853; https://pubmed.ncbi.nlm.nih.gov/?term=CXCL10+ADRA2A	human; mouse	adrenal/skin fibroblast and inflammatory chemokine models; no CXCL10-ADRA2A ligand assay	NE/ADRA2A perturbation and CXCL10 secretion measurements, plus exact-symbol binding/activation searches; no CXCL10-ADRA2A ligand assay recovered	no exact CXCL10-ADRA2A interaction recovered	ligand_receptor_binding_or_activation	ADRA2A regulates inflammatory chemokine production; CXCL10-to-ADRA2A direction unresolved	low		reviewed_unresolved	The cited NE-ADRA2A study is reverse-direction regulation of CXCL10 production, not CXCL10 binding to or activating ADRA2A; no exact relay was recovered.
M20A-EXT-1417	cxcl10 dpp4	Cxcl10 Dpp4		M21A-PAIR-EVID-2708	PMID:27137491; PMID:16846531; PMCID:PMC4888857; DOI:10.15252/emmm.201506145	human	primary human fibroblasts, human islets/immune-cell chemokine systems, and purified or cell-associated CD26/DPP4	DPP4/CD26 N-terminal truncation of CXCL10 to CXCL10(3-77), mass spectrometry, chemokine-receptor phosphorylation, migration, and DPP4-inhibition assays	direct_chemokine_processing_changes_receptor_activity	receptor_proximal_relay	DPP4/CD26 processing -> CXCL10(3-77) antagonist -> reduced CXCR3 signaling and T-cell/NK-cell migration	high		reviewed_binding_only	This is direct extracellular proteolytic processing and receptor-activity modulation, not DPP4 as a signaling receptor; no terminal TF was assayed.
M20A-EXT-1418	cxcl10 grm7	Cxcl10 Grm7		M21A-PAIR-EVID-2709	PMID:1452search-query; https://pubmed.ncbi.nlm.nih.gov/?term=CXCL10+GRM7	human; mouse	CXCL10/CXCR3 inflammatory models and GRM7 glutamate-receptor literature; no exact CXCL10-GRM7 model	exact-symbol PubMed, PMC, publisher, and pathway-resource searches; no pair-specific binding, activation, relay, or perturbation assay recovered	no exact molecular or receptor-proximal evidence recovered	ligand_receptor_binding_or_activation	CXCL10 canonical CXCR3 branch; GRM7 candidate unresolved	low		reviewed_unresolved	Neuroimmune co-expression or pathway overlap does not establish CXCL10-GRM7 binding or signaling.
M20A-EXT-1419	cxcl10 mtnr1a	Cxcl10 Mtnr1a		M21A-PAIR-EVID-2710	PMID:1452search-query; https://pubmed.ncbi.nlm.nih.gov/?term=CXCL10+MTNR1A	human; mouse	CXCL10 inflammatory models and melatonin-receptor literature; no exact CXCL10-MTNR1A model	exact-symbol PubMed, PMC, publisher, and pathway-resource searches; no pair-specific binding, activation, relay, or perturbation assay recovered	no exact molecular or receptor-proximal evidence recovered	ligand_receptor_binding_or_activation	CXCL10 canonical CXCR3 branch; MTNR1A candidate unresolved	low		reviewed_unresolved	Melatonin-related regulation of inflammatory genes does not establish CXCL10 as an MTNR1A ligand or signal.
M20A-EXT-1420	cxcl10 sdc4	Cxcl10 Sdc4	M21A-REUSE-1486	M21A-PAIR-EVID-2711	PMID:20484822; PMCID:PMC2877927; DOI:10.1172/JCI38644	human; mouse	primary mouse lung fibroblasts, bleomycin-injured mouse lungs, and fibroblasts from patients with pulmonary fibrosis	125I-CXCL10 binding/competition, DSS crosslinking and syndecan-4 immunoprecipitation, Sdc4-null mice/fibroblasts, CXCL10 mutants, heparinase, and fibroblast-migration assays	direct_chemokine_syndecan_binding_and_function	receptor_proximal_relay	CXCL10-GAG/SDC4 binding -> fibroblast migration inhibition -> reduced pulmonary fibrosis	 high		reviewed_relay_candidate	The direct interaction is heparan-sulfate-dependent and SDC4-mediated; downstream intracellular effectors were not fully resolved and no terminal TF was assayed.
