promotion_id	discovery_id	b_edge_id	b_evidence_id	previous_status	new_status	supported_layer	review_locator	review_cited_primary	primary_locator	primary_title	decision_basis	limitations_preserved	materialization_status
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-001	M21B-DISC-15147	M21B-E011274	M21B-EVID-010763	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC10351166, Lipid in microglial biology — from material to mediator; PMCID:PMC11948825, Decoding microglial immunometabolism: a new frontier in Alzheimer's disease research	PMID:33498265; PMCID:PMC7909280	PMID:33498265; PMCID:PMC7909280; DOI:10.3390/cells10020198	Lipoprotein Lipase Regulates Microglial Lipid Droplet Accumulation	The primary study directly measured increased lipid-droplet accumulation after LPL loss in BV-2 and primary mouse microglia.	Preserve model and LPL-loss context; no receptor or transcript-to-protein inference.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-002	M21B-DISC-15148	M21B-E011275	M21B-EVID-010763	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC10351166, Lipid in microglial biology — from material to mediator; PMCID:PMC11948825, Decoding microglial immunometabolism: a new frontier in Alzheimer's disease research	PMID:33498265; PMCID:PMC7909280	PMID:33498265; PMCID:PMC7909280; DOI:10.3390/cells10020198	Lipoprotein Lipase Regulates Microglial Lipid Droplet Accumulation	The primary study directly measured increased cholesteryl-ester content after LPL knockdown.	Preserve cholesteryl-ester measurement and distinguish it from total cholesterol and droplet count.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-003	M21B-DISC-15149	M21B-E011276	M21B-EVID-010763	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC10351166, Lipid in microglial biology — from material to mediator; PMCID:PMC11948825, Decoding microglial immunometabolism: a new frontier in Alzheimer's disease research	PMID:33498265; PMCID:PMC7909280	PMID:33498265; PMCID:PMC7909280; DOI:10.3390/cells10020198	Lipoprotein Lipase Regulates Microglial Lipid Droplet Accumulation	The primary study directly measured reduced baseline cholesterol efflux after LPL knockdown.	Preserve efflux as a measured output without assigning a single transporter or acceptor.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-004	M21B-DISC-15150	M21B-E011277	M21B-EVID-010763	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC10351166, Lipid in microglial biology — from material to mediator; PMCID:PMC11948825, Decoding microglial immunometabolism: a new frontier in Alzheimer's disease research	PMID:33498265; PMCID:PMC7909280	PMID:33498265; PMCID:PMC7909280; DOI:10.3390/cells10020198	Lipoprotein Lipase Regulates Microglial Lipid Droplet Accumulation	The primary study directly measured reduced PPAR-gamma protein expression after LPL knockdown.	Preserve protein-level PPAR-gamma measurement; no terminal-TF or exclusive transcriptional inference.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-005	M21B-DISC-15151	M21B-E011278	M21B-EVID-010763	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC10351166, Lipid in microglial biology — from material to mediator; PMCID:PMC11948825, Decoding microglial immunometabolism: a new frontier in Alzheimer's disease research	PMID:33498265; PMCID:PMC7909280	PMID:33498265; PMCID:PMC7909280; DOI:10.3390/cells10020198	Lipoprotein Lipase Regulates Microglial Lipid Droplet Accumulation	The primary study measured reduced Scarb1 expression in LPL-loss microglia.	Preserve SCARB1 as a transcript output distinct from protein abundance or a terminal-TF claim.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-006	M21B-DISC-15152	M21B-E011279	M21B-EVID-010763	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC10351166, Lipid in microglial biology — from material to mediator; PMCID:PMC11948825, Decoding microglial immunometabolism: a new frontier in Alzheimer's disease research	PMID:33498265; PMCID:PMC7909280	PMID:33498265; PMCID:PMC7909280; DOI:10.3390/cells10020198	Lipoprotein Lipase Regulates Microglial Lipid Droplet Accumulation	The primary study measured reduced Abca1 expression in LPL-loss microglia.	Preserve ABCA1 transcript versus protein and efflux distinction; no transcript-to-protein shortcut.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-007	M21B-DISC-15153	M21B-E011280	M21B-EVID-010763	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC10351166, Lipid in microglial biology — from material to mediator; PMCID:PMC11948825, Decoding microglial immunometabolism: a new frontier in Alzheimer's disease research	PMID:33498265; PMCID:PMC7909280	PMID:33498265; PMCID:PMC7909280; DOI:10.3390/cells10020198	Lipoprotein Lipase Regulates Microglial Lipid Droplet Accumulation	The primary study measured reduced Abcg1 expression in LPL-loss microglia.	Preserve ABCG1 transcript versus protein and efflux distinction; no terminal-TF inference.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-008	M21B-DISC-15154	M21B-E011281	M21B-EVID-010763	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC10351166, Lipid in microglial biology — from material to mediator; PMCID:PMC11948825, Decoding microglial immunometabolism: a new frontier in Alzheimer's disease research	PMID:33498265; PMCID:PMC7909280	PMID:33498265; PMCID:PMC7909280; DOI:10.3390/cells10020198	Lipoprotein Lipase Regulates Microglial Lipid Droplet Accumulation	The primary study measured rosiglitazone-associated reduction of lipid droplets in LPL-knockdown microglia.	Preserve rosiglitazone dose, LPL-knockdown context and PPAR-agonist rescue caveat.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-009	M21B-DISC-15155	M21B-E011282	M21B-EVID-010763	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMCID:PMC10351166, Lipid in microglial biology — from material to mediator; PMCID:PMC11948825, Decoding microglial immunometabolism: a new frontier in Alzheimer's disease research	PMID:33498265; PMCID:PMC7909280	PMID:33498265; PMCID:PMC7909280; DOI:10.3390/cells10020198	Lipoprotein Lipase Regulates Microglial Lipid Droplet Accumulation	The primary study measured bezafibrate-associated reduction of lipid droplets in LPL-knockdown microglia.	Preserve bezafibrate dose, LPL-knockdown context and multi-PPAR agonist caveat.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-010	M21B-DISC-15156	M21B-E011283	M21B-EVID-010764	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMID:25358504; PMCID:PMC4255096, Apolipoprotein E in Synaptic Plasticity and Alzheimer's Disease: Potential Cellular and Molecular Mechanisms	PMID:26239183; PMCID:PMC4583088	PMID:26239183; PMCID:PMC4583088; DOI:10.1194/jlr.M058164	Neurite outgrowth stimulation by n-3 and n-6 PUFAs of phospholipids in apoE-containing lipoproteins secreted from glial cells	The primary study isolated apoE-containing particles from cortical glial conditioned medium and demonstrated PUFA incorporation by lipidomics.	Preserve PUFA and particle identity; no astrocyte-only source or transcript-to-particle shortcut.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-011	M21B-DISC-15157	M21B-E011284	M21B-EVID-010764	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	ligand_receptor_binding_or_activation;downstream_or_functional	PMID:25358504; PMCID:PMC4255096, Apolipoprotein E in Synaptic Plasticity and Alzheimer's Disease: Potential Cellular and Molecular Mechanisms	PMID:26239183; PMCID:PMC4583088	PMID:26239183; PMCID:PMC4583088; DOI:10.1194/jlr.M058164	Neurite outgrowth stimulation by n-3 and n-6 PUFAs of phospholipids in apoE-containing lipoproteins secreted from glial cells	The primary study used RAP and anti-LRP1 blockade to support LRP1-mediated LpE uptake and neurite-growth involvement.	Preserve blockade semantics and do not upgrade receptor involvement to a purified ternary complex or universal relay.	local_21B_registers_only; no_database_write
module21b-discovery-materialization-lpl-glial-lpe-2026-09-15-012	M21B-DISC-15158	M21B-E011285	M21B-EVID-010764	PROMOTE_CANDIDATE	MATERIALIZED_REVIEWED_PRIMARY	downstream_or_functional	PMID:25358504; PMCID:PMC4255096, Apolipoprotein E in Synaptic Plasticity and Alzheimer's Disease: Potential Cellular and Molecular Mechanisms	PMID:26239183; PMCID:PMC4583088	PMID:26239183; PMCID:PMC4583088; DOI:10.1194/jlr.M058164	Neurite outgrowth stimulation by n-3 and n-6 PUFAs of phospholipids in apoE-containing lipoproteins secreted from glial cells	The primary study measured enhanced neurite length and branch number after treatment with PUFA-enriched LpE.	Preserve particle formulation and distinguish neuronal growth output from an unmeasured downstream LRP1 signaling chain.	local_21B_registers_only; no_database_write
