edge_id	source_node_id	target_node_id	pathway_label	relation_type	effect_polarity	species_context	cell_type_context	compartment_context	injury_context	evidence_status	context_scope	export_priority	notes
EDGE02381	NODE11631	NODE11458	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02382	NODE11683	NODE11685	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02383	NODE11972	NODE13587	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02384	NODE11973	NODE11244	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02385	NODE11973	NODE13585	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02386	NODE12055	NODE13536	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02387	NODE12059	NODE11357	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02388	NODE12898	NODE11242	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02389	NODE12899	NODE11242	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02390	NODE12900	NODE11242	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02391	NODE12956	NODE13058	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02392	NODE12956	NODE13059	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02393	NODE13304	NODE13301	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02394	NODE13332	NODE12421	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02395	NODE13524	NODE11243	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02396	NODE11344	NODE13360	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02397	NODE11547	NODE11209	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02398	NODE11549	NODE11209	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02399	NODE11551	NODE11209	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02400	NODE11551	NODE11570	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02401	NODE11555	NODE11211	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02402	NODE11559	NODE11209	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02403	NODE11560	NODE11211	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02404	NODE11563	NODE11569	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02405	NODE11565	NODE11209	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02406	NODE12056	NODE13537	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02407	NODE13342	NODE13129	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02408	NODE13343	NODE13129	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02409	NODE13343	NODE13130	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02410	NODE13346	NODE13072	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02411	NODE13347	NODE13072	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02412	NODE13352	NODE13072	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02413	NODE13686	NODE12736	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02414	NODE11269	NODE11186	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02415	NODE11269	NODE11187	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02416	NODE11296	NODE11786	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02417	NODE11298	NODE12015	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02418	NODE11298	NODE12016	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02419	NODE11344	NODE12908	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02420	NODE11349	NODE11159	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02421	NODE11349	NODE11160	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02422	NODE11350	NODE11339	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02423	NODE11351	NODE11335	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02424	NODE11351	NODE11336	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02425	NODE11351	NODE11337	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02426	NODE11351	NODE11357	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02427	NODE11351	NODE11338	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02428	NODE11351	NODE11339	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02429	NODE11352	NODE11335	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02430	NODE11352	NODE11336	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02431	NODE11352	NODE11337	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02432	NODE11352	NODE11357	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02433	NODE11352	NODE11338	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02434	NODE11352	NODE11339	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02435	NODE11353	NODE11156	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02436	NODE11353	NODE11157	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02437	NODE11353	NODE11158	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
EDGE02438	NODE11353	NODE11335	module20a_frozen_ligand_receptor	binds_receptor	unknown	mouse_release_scope	not_inferred_from_LR_release	not_inferred	SCI-relevant candidate universe	frozen_lr_supported	Module 20A frozen LR release	high	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
