extraction_id	module	b_edge_id	b_evidence_id	evidence_layer	canonical_paper_key	paper_status	observation_status	observation_id_or_action	observation_value_or_blocker	observation_source_section	observation_figure_or_table	observation_species	observation_cell_or_model	observation_assay	observation_perturbation	claim_status	claim_id_or_action	claim_text_or_blocker	claim_source_section	confidence	context_and_limitations	source_locator	search_boundary	reviewer_notes
P2MAN-M21B-M21B-EVID-000003-PMID_9653170	21B	M21B-E000013;M21B-E000014;M21B-E000015;M21B-E000016	M21B-EVID-000003	receptor_proximal_or_pathway	PMID:9653170	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	IFN-γ stimulation activated Jak1/Jak2 and Stat1 in wild-type mouse embryonic fibroblasts/splenocytes, but not IFN-γR2-null cells; IFN-γ-induced IRF-1 and GBP-1 transcripts and IgG2a switching were reduced or absent in null cells (Fig. 2A–C; Fig. 3).	Materials and Methods; Results, “Mutation of IFN-γR2 Results in Defective IFN-γ Signaling,” “IFN-γR2 Is Required for the Regulation of Ig Class Switching by IFN-γ,” and “Compromised Cellular Immunity of IFN-γR2−/− Mice”; Figs. 2–5; Discussion.	Fig. 2A–C; Fig. 3	mouse	Mouse IFN-γR2 wild-type and knockout mice; embryonic fibroblasts, splenocytes, IgM+ B cells, CD4+ T cells, lymph-node cells.	immunoprecipitation/immunoblotting, EMSA, Northern blot, ELISA, class-switching, contact-hypersensitivity, and Listeria-survival assays	Targeted IFN-γR2 disruption; IFN-γ stimulation	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors conclude that IFN-γR2 is essential for IFN-γ signaling and IFN-γ-mediated immune responses in vivo.	Materials and Methods; Results, “Mutation of IFN-γR2 Results in Defective IFN-γ Signaling,” “IFN-γR2 Is Required for the Regulation of Ig Class Switching by IFN-γ,” and “Compromised Cellular Immunity of IFN-γR2−/− Mice”; Figs. 2–5; Discussion.	not separately scored; source-review PASS	Mouse immune systems, not CNS/SCI; establishes receptor-chain requirement but not a new extracellular binding edge or astrocyte-specific response.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_external_PMC20959.html; M21B-EVID-000003; identifier: PMID:9653170; PMCID:PMC20959	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
P2MAN-M21B-M21B-EVID-000004-PMID_16611992	21B	M21B-E000017;M21B-E000018;M21B-E000019;M21B-E000020;M21B-E000021;M21B-E000022	M21B-EVID-000004	receptor_proximal_or_pathway	PMID:16611992	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	In Jurkat cells, TNF-α-induced TNFR1 complexes recruited TRADD, RIP1, TRAF2, and FADD; TRADD/RIP1 depletion separated NF-κB, caspase-8 apoptosis, and RIP1-dependent nonapoptotic death branches (Figs. 2–5).	Materials and Methods; Results, “TRADD is not essential…,” “RIP1 and TRADD are both essential for TNF-α-induced NF-κB activation,” “TRADD and RIP1 can independently and competitively associate with TNFR1,” and “TRAF2 is recruited to TNFR1 through TRADD”; Figs. 1–5; Discussion.	Figs. 2–5	human	Human Jurkat T-cell leukemia cells, including wild-type, FADD-deficient, RIP1-deficient, and caspase-8-deficient lines.	cell-death assays, co-immunoprecipitation/Western blot, NF-κB microscopy/luciferase, cytochrome-c and ROS assays	TNF-α; TRADD/RIP1 siRNA; genetic deficiencies; zVAD-FMK and BHA	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors conclude that TNFR1 signals diverge proximally through competing TRADD and RIP1 associations, with distinct apoptosis, necrosis-like death, and NF-κB outputs.	Materials and Methods; Results, “TRADD is not essential…,” “RIP1 and TRADD are both essential for TNF-α-induced NF-κB activation,” “TRADD and RIP1 can independently and competitively associate with TNFR1,” and “TRAF2 is recruited to TNFR1 through TRADD”; Figs. 1–5; Discussion.	not separately scored; source-review PASS	Transformed human-cell model; no SCI receiver-cell context; does not establish one ternary TNFR1–TRADD–TRAF2–RIP1 complex.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC1447428_article.html; M21B-EVID-000004; identifier: PMID:16611992; PMCID:PMC1447428	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
P2MAN-M21B-M21B-EVID-000005-PMID_11416133	21B	M21B-E000023;M21B-E000024;M21B-E000025;M21B-E000026;M21B-E000027;M21B-E000028;M21B-E000029	M21B-EVID-000005	receptor_proximal_or_pathway	PMID:11416133	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	Wild-type MyD88, IRAK-1, and TRAF-6 enhanced IL-1-induced Gal4-p65 activity, while dominant-negative forms, MyD88 deficiency, or IRAK deficiency reduced it; dominant-negative Rac1 blocked the response and Rac1 associated with MyD88/IL-1RAcP (Figs. 1–6).	Materials and Methods; Results, “MyD88, IRAK-1, and TRAF-6 drive p65-mediated transactivation,” “Rac1 lies downstream of MyD88…,” and “Rac1 is detected in a complex with MyD88 and IL-1RAcP”; Figs. 1–6; Discussion.	Figs. 1–6	mouse; human	EL4.NOB-1 mouse T-cell line; MyD88-null mouse-derived cells; IRAK-deficient 293 cells; transfected human 293 cells.	Gal4-p65/luciferase reporters, Western blotting, GST pull-down, and co-immunoprecipitation	IL-1; wild-type and dominant-negative MyD88, IRAK-1, TRAF-6, and Rac1	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors conclude that a MyD88–IRAK-1–TRAF-6–Rac1 signaling complex is required for IL-1-induced p65-dependent transactivation.	Materials and Methods; Results, “MyD88, IRAK-1, and TRAF-6 drive p65-mediated transactivation,” “Rac1 lies downstream of MyD88…,” and “Rac1 is detected in a complex with MyD88 and IL-1RAcP”; Figs. 1–6; Discussion.	not separately scored; source-review PASS	Reporter/transfection systems; Rac1/IRAK/TRAF6 ordering is specific to the measured p65-transactivation output and is not a direct TRAF6-activation assay.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC87113_article.html; M21B-EVID-000005; identifier: PMID:11416133; PMCID:PMC87113	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
P2MAN-M21B-M21B-EVID-000005-PMID_12538665	21B	M21B-E000023;M21B-E000024;M21B-E000025;M21B-E000026;M21B-E000027;M21B-E000028;M21B-E000029	M21B-EVID-000005	receptor_proximal_or_pathway	PMID:12538665	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	MyD88, but not MyD88s, enabled IRAK-4-associated IRAK-1 phosphorylation and IL-1β-induced IκB degradation; MyD88s failed to bind IRAK-4 and inhibited IRAK-4 recruitment to IL-1 receptors (Figs. 1–4).	Introduction; Materials and Methods; Results and Discussion, “The ID of MyD88 Is Critical for IRAK-1 Phosphorylation,” “MyD88 Is Required for IRAK-4-induced IRAK-1 Phosphorylation,” and “MyD88s Does not Bind to IRAK-4 and Blocks Recruitment of IRAK-4 to the IL-1Rs”; Figs. 1–4.	Figs. 1–4	mouse; human	MyD88-null mouse embryo fibroblasts reconstituted with MyD88 or MyD88s; HEK293T cells; yeast interaction system.	co-immunoprecipitation, yeast two-hybrid, in-vitro kinase, and immunoblot assays	IL-1β/TNFα; MyD88/MyD88s reconstitution; IRAK-1 kinase-dead and IRAK-4 kinase-dead mutants	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors conclude that MyD88 links IRAK-1 and IRAK-4, whereas the short MyD88 isoform negatively regulates IL-1/TLR signaling by preventing IRAK-4 access to IRAK-1.	Introduction; Materials and Methods; Results and Discussion, “The ID of MyD88 Is Critical for IRAK-1 Phosphorylation,” “MyD88 Is Required for IRAK-4-induced IRAK-1 Phosphorylation,” and “MyD88s Does not Bind to IRAK-4 and Blocks Recruitment of IRAK-4 to the IL-1Rs”; Figs. 1–4.	not separately scored; source-review PASS	Reconstituted/overexpression systems; the paper states that activation of IRAK-4 at the receptor was not formally demonstrated; no CNS/SCI context.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC2193806_article.html; M21B-EVID-000005; identifier: PMID:12538665; PMCID:PMC2193806	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
P2MAN-M21B-M21B-EVID-000006-PMID_31289212	21B	M21B-E000030;M21B-E000031;M21B-E000032;M21B-E000033	M21B-EVID-000006	receptor_proximal_or_pathway	PMID:31289212	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	CXCL12-CXCR4 stimulation activated ERK and Akt; FBS/EGF conditioning increased the fraction and amplitude of subsequent CXCR4-Akt/ERK responses, while trametinib or ridaforolimus conditioning potentiated Akt and/or ERK in defined subpopulations (Figs. 1, 4, 7, 8).	Results, “Growth factor conditioning potentiates subsequent CXCR4 signaling,” “Maps of the signaling landscape…,” “MEK inhibition potentiates subsequent CXCR4-mediated Akt signaling,” and “mTORC1 inhibition potentiates subsequent CXCR4-mediated Akt and ERK signaling”; Figs. 1–8; Discussion; Materials and Methods.	Figs. 1, 4, 7, 8	human	Human breast-cancer cell lines MDA-MB-231 and SUM-159 and patient-derived Vari-068 cells engineered to express CXCR4 reporters.	live-cell ERK/Akt kinase-translocation reporters plus conditional signaling model	CXCL12; FBS/EGF conditioning; MEK inhibitor trametinib and mTORC1 inhibitor ridaforolimus	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors conclude that short-term cellular signaling states, especially PI3K, Ras, and mTORC1 state, tune CXCR4 responsiveness and create heterogeneous Akt/ERK outputs.	Results, “Growth factor conditioning potentiates subsequent CXCR4 signaling,” “Maps of the signaling landscape…,” “MEK inhibition potentiates subsequent CXCR4-mediated Akt signaling,” and “mTORC1 inhibition potentiates subsequent CXCR4-mediated Akt and ERK signaling”; Figs. 1–8; Discussion; Materials and Methods.	not separately scored; source-review PASS	No direct CXCR4–GNAI binding or Src–EGFR transactivation assay; 2-D cancer-cell systems, not SCI receiver cells; computational pathway details are model assumptions.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC7059217_article.html; M21B-EVID-000006; identifier: PMID:31289212; PMCID:PMC7059217	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
P2MAN-M21B-M21B-EVID-000010-PMID_11447289	21B	M21B-E000044;M21B-E000045;M21B-E000046	M21B-EVID-000010	receptor_proximal_or_pathway	PMID:11447289	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	FRS2α-deficient mouse fibroblasts showed impaired FGF-induced MAPK/ERK and PI3K/Gab1 signaling, proliferation, and migration; wild-type FRS2α rescued these responses, with partial rescue by selected binding-site mutants (Figs. 2–5).	Methods; Results, “FRS2α Is Required for Recruitment of PI-3 Kinase via the Docking Protein Gab1,” “FRS2α-Dependent and -Independent MAP Kinase (ERK) Stimulation,” “FRS2α Is Required for FGF-Induced Cell Proliferation,” and “FRS2α Is Required for FGF-Induced Cell Migration”; Figs. 1–5; Discussion.	Figs. 2–5	mouse	Mouse FRS2α-null embryonic-stem-cell-derived fibroblasts and rescued fibroblasts.	phospho-MAPK immunoblot, PI3K assay, proliferation assay, and Boyden-chamber migration	FGF stimulation; Frs2α gene targeting and wild-type/4F/6F/2F rescue	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors conclude that FRS2α is a docking platform linking FGFR stimulation to Ras/MAPK, PI3K, proliferation, and migration.	Methods; Results, “FRS2α Is Required for Recruitment of PI-3 Kinase via the Docking Protein Gab1,” “FRS2α-Dependent and -Independent MAP Kinase (ERK) Stimulation,” “FRS2α Is Required for FGF-Induced Cell Proliferation,” and “FRS2α Is Required for FGF-Induced Cell Migration”; Figs. 1–5; Discussion.	not separately scored; source-review PASS	Requirement/deficiency does not alone prove direct FGFR–FRS2α recruitment; ligand and FGFR paralog specificity and SCI relevance are unresolved.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC37478_article.html; M21B-EVID-000010; identifier: PMID:11447289; PMCID:PMC37478	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
P2MAN-M21B-M21B-EVID-000010-PMID_11997436	21B	M21B-E000044;M21B-E000045;M21B-E000046	M21B-EVID-000010	receptor_proximal_or_pathway	PMID:11997436	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	FGF-stimulated tyrosine-phosphorylated FRS2α joined a pre-existing Grb2/Cbl complex; Cbl/FRS2α promoted ubiquitination of FRS2α and FGFR, and FRS2α deficiency or Grb2-binding mutants slowed FGF internalization and FGFR down-regulation (Figs. 1, 4, 5).	Materials and Methods; Results, “Cbl Forms a Complex with FRS2α Primarily Through Interactions with Grb2…,” “The Recruitment of Cbl by FRS2α Results in the Ubiquitination of FRS2α and FGFR,” and “Partial Attenuation of FGFR Down-Regulation in FRS2α-Deficient Cells”; Figs. 1–5; Discussion.	Figs. 1, 4, 5	mouse; human	NIH 3T3 cells, mouse embryonic fibroblasts, PC12 cells, HeLa cells, HEK293 cells, and FRS2α-deficient/rescued fibroblasts.	pull-down/co-immunoprecipitation, ubiquitination immunoblotting, and 125I-FGF internalization/FGFR half-life assays	FGF; Cbl/FRS2α/FGFR expression and FRS2α binding-site mutants	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors conclude that FRS2α recruits Cbl indirectly through Grb2 to provide a negative/attenuating FGF-receptor signaling mechanism.	Materials and Methods; Results, “Cbl Forms a Complex with FRS2α Primarily Through Interactions with Grb2…,” “The Recruitment of Cbl by FRS2α Results in the Ubiquitination of FRS2α and FGFR,” and “Partial Attenuation of FGFR Down-Regulation in FRS2α-Deficient Cells”; Figs. 1–5; Discussion.	not separately scored; source-review PASS	Overexpression contributes to the complex/ubiquitination measurements; FGFR down-regulation remained only partially affected, with redundant mechanisms possible; no SCI context.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC124463_article.html; M21B-EVID-000010; identifier: PMID:11997436; PMCID:PMC124463	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
P2MAN-M21B-M21B-EVID-000012-PMID_22174934	21B	M21B-E000048;M21B-E000049	M21B-EVID-000012	receptor_proximal_or_pathway	PMID:22174934	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	In primary lymphatic endothelial cells, VEGF-A/VEGFR2 activated PLCγ/PKC/ERK1/2 and PI3K/Akt; inhibition of VEGFR2, ERK1/2, or Akt reduced proliferation/migration (Figs. 2–5).	Introduction; Results, “VEGFR2 is the primary signaling VEGF-A receptor in LECs,” “VEGF-A promotes PKC dependent phosphorylation of ERK1/2,” and “Phosphorylation of ERK1/2 and Akt is required…”; Figs. 1–5; Discussion; Materials and Methods.	Figs. 2–5	human; mouse	Primary human lymphatic endothelial cells and mouse tumor lymphangiogenesis model.	immunoblot, proliferation/viability, migration, and tissue analyses	VEGF-A; VEGFR2-selective anti-VEGF-A antibody, receptor comparison, PKC/MEK/PI3K inhibitors	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors conclude that VEGF-A activation of VEGFR2, rather than VEGFR1, drives LEC proliferation and migration through ERK1/2 and PI3K/Akt.	Introduction; Results, “VEGFR2 is the primary signaling VEGF-A receptor in LECs,” “VEGF-A promotes PKC dependent phosphorylation of ERK1/2,” and “Phosphorylation of ERK1/2 and Akt is required…”; Figs. 1–5; Discussion; Materials and Methods.	not separately scored; source-review PASS	Vascular-endothelial comparator, not SCI astrocytes; in-vivo antibody effects can involve other tumor-microenvironment cell types.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC3236226_article.html; M21B-EVID-000012; identifier: PMID:22174934; PMCID:PMC3236226	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
P2MAN-M21B-M21B-EVID-000012-PMID_22745786	21B	M21B-E000048;M21B-E000049	M21B-EVID-000012	receptor_proximal_or_pathway	PMID:22745786	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	VEGF-C/VEGFR3 activated PI3K/Akt, P70S6K, eNOS, PLCγ1, and ERK-related outputs in LECs; PI3K blockade reduced tube formation/migration; VEGFR3 and PI3K p85 were detected in a complex (Figs. 1–5).	Background/Methods and Results; Results, “VEGF-C Induces PI3K-dependent Akt Activation…,” “P70S6K, eNOS and PLCγ…,” “Blocking PI3K…,” and “VEGFR-3 and PI3K Form a Complex”; Figs. 1–7; Discussion.	Figs. 1–5	human	Primary human lymphatic endothelial cells and human lung, melanoma, breast, and colon tumor specimens.	Western blot, tube formation, migration, co-immunoprecipitation, and proximity-ligation assay	VEGF-C; PI3K inhibition, PLCγ1 knockdown, and receptor stimulation	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors conclude that VEGFR3-associated PI3K/Akt signaling is a central VEGF-C lymphangiogenic pathway and that VEGFR3–PI3K interaction is associated with metastatic specimens.	Background/Methods and Results; Results, “VEGF-C Induces PI3K-dependent Akt Activation…,” “P70S6K, eNOS and PLCγ…,” “Blocking PI3K…,” and “VEGFR-3 and PI3K Form a Complex”; Figs. 1–7; Discussion.	not separately scored; source-review PASS	Tumor/LEC comparator evidence; physical association is not a purified direct-binding or SCI-cell mechanism; ligand-specific branch differences remain.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC3382126_article.html; M21B-EVID-000012; identifier: PMID:22745786; PMCID:PMC3382126	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
P2MAN-M21B-M21B-EVID-000013-PMID_18077588	21B	M21B-E000050;M21B-E000051;M21B-E000052;M21B-E000053	M21B-EVID-000013	mixed_receptor_proximal_and_downstream	PMID:18077588	validated_primary_paper	validated_full_text	VALIDATE_EXISTING_SOURCE_UNIT	Wnt-induced LRP6 phosphorylation required Frizzled and Dishevelled; forced Frizzled–LRP6 association activated LRP6; Dishevelled recruited Axin, and Axin/GSK3 functions were required for LRP6 phosphorylation and β-catenin signaling (Figs. 1–5).	Introduction; Materials and Methods; Results, Figs. 1–5; Discussion and Fig. 6 model.	Figs. 1–5	mammalian; Xenopus laevis	Mammalian cell lines and Xenopus laevis embryonic animal-pole explants.	immunoblotting, reporter assays, and embryonic immunofluorescence	Wnt stimulation; Frizzled knockdown/mutants, forced Frizzled–LRP6 association, Dishevelled domain mutants, membrane-tethered Axin/GSK3 manipulations	validated_author_claim	VALIDATE_EXISTING_SOURCE_UNIT	The authors propose a sequential Frizzled→Dishevelled→Axin/GSK3 recruitment and amplification model for Wnt-induced LRP6 activation.	Introduction; Materials and Methods; Results, Figs. 1–5; Discussion and Fig. 6 model.	not separately scored; source-review PASS	Supports the signalosome/pathway sequence but not direct molecular edges for every registered pair; noncanonical Wnt branches and SCI relevance are unresolved.; evidence grade B; context L1.	/Users/derea/Documents/SCI/mSCIdblit/data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC5328672_article.html; M21B-EVID-000013; identifier: PMID:18077588; PMCID:PMC5328672	Review bounded to the exact retained source artifact and listed source sections/figures; no unsupported inference beyond the source-supported atomic unit; not a canonical import.	source_supported_atomic_candidate; exact artifact reviewed; evidence grade B; context L1; preserve input evidence_layer and canonical_paper_key; observation/claim identifier fields use an action because no source experiment or claim identifier was provided.
