resource_key	source_record_key	record_kind	canonical_communication_id	side	component_name	component_ordinal	source_field_name	original_component_value	notes
mscs_phase2:cellchat_mouse.tsv	TGFB1_TGFBR1_TGFBR2	complex_lr_candidate	MSCICOMM-34660a07e9d64386e5c298fd	ligand	Tgfb1	1	ligand_components	Tgfb1	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_TGFBR1_TGFBR2	complex_lr_candidate	MSCICOMM-34660a07e9d64386e5c298fd	receptor	Tgfbr1	1	receptor_components	Tgfbr1	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_TGFBR1_TGFBR2	complex_lr_candidate	MSCICOMM-34660a07e9d64386e5c298fd	receptor	Tgfbr2	2	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_TGFBR1_TGFBR2	complex_lr_candidate	MSCICOMM-c6ea0f03b8f5a8d3c84e0de8	ligand	Tgfb2	1	ligand_components	Tgfb2	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_TGFBR1_TGFBR2	complex_lr_candidate	MSCICOMM-c6ea0f03b8f5a8d3c84e0de8	receptor	Tgfbr1	1	receptor_components	Tgfbr1	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_TGFBR1_TGFBR2	complex_lr_candidate	MSCICOMM-c6ea0f03b8f5a8d3c84e0de8	receptor	Tgfbr2	2	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB3_TGFBR1_TGFBR2	complex_lr_candidate	MSCICOMM-35ab84654ea941a30721c6cb	ligand	Tgfb3	1	ligand_components	Tgfb3	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB3_TGFBR1_TGFBR2	complex_lr_candidate	MSCICOMM-35ab84654ea941a30721c6cb	receptor	Tgfbr1	1	receptor_components	Tgfbr1	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB3_TGFBR1_TGFBR2	complex_lr_candidate	MSCICOMM-35ab84654ea941a30721c6cb	receptor	Tgfbr2	2	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1B_TGFBR2	complex_lr_candidate	MSCICOMM-9fc30446690d72cd9242da94	ligand	Tgfb1	1	ligand_components	Tgfb1	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1B_TGFBR2	complex_lr_candidate	MSCICOMM-9fc30446690d72cd9242da94	receptor	Acvr1b	1	receptor_components	Acvr1b	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1B_TGFBR2	complex_lr_candidate	MSCICOMM-9fc30446690d72cd9242da94	receptor	Tgfbr2	2	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1C_TGFBR2	complex_lr_candidate	MSCICOMM-586d9528cb88313baa69be3e	ligand	Tgfb1	1	ligand_components	Tgfb1	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1C_TGFBR2	complex_lr_candidate	MSCICOMM-586d9528cb88313baa69be3e	receptor	Acvr1c	1	receptor_components	Acvr1c	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1C_TGFBR2	complex_lr_candidate	MSCICOMM-586d9528cb88313baa69be3e	receptor	Tgfbr2	2	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_ACVR1B_TGFBR2	complex_lr_candidate	MSCICOMM-90823ee936b1bdfd54cdaa04	ligand	Tgfb2	1	ligand_components	Tgfb2	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_ACVR1B_TGFBR2	complex_lr_candidate	MSCICOMM-90823ee936b1bdfd54cdaa04	receptor	Acvr1b	1	receptor_components	Acvr1b	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_ACVR1B_TGFBR2	complex_lr_candidate	MSCICOMM-90823ee936b1bdfd54cdaa04	receptor	Tgfbr2	2	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_ACVR1C_TGFBR2	complex_lr_candidate	MSCICOMM-c235593f8630e59360583625	ligand	Tgfb2	1	ligand_components	Tgfb2	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_ACVR1C_TGFBR2	complex_lr_candidate	MSCICOMM-c235593f8630e59360583625	receptor	Acvr1c	1	receptor_components	Acvr1c	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_ACVR1C_TGFBR2	complex_lr_candidate	MSCICOMM-c235593f8630e59360583625	receptor	Tgfbr2	2	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB3_ACVR1B_TGFBR2	complex_lr_candidate	MSCICOMM-b6692e4e4161e32d5038207b	ligand	Tgfb3	1	ligand_components	Tgfb3	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB3_ACVR1B_TGFBR2	complex_lr_candidate	MSCICOMM-b6692e4e4161e32d5038207b	receptor	Acvr1b	1	receptor_components	Acvr1b	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB3_ACVR1B_TGFBR2	complex_lr_candidate	MSCICOMM-b6692e4e4161e32d5038207b	receptor	Tgfbr2	2	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB3_ACVR1C_TGFBR2	complex_lr_candidate	MSCICOMM-c302100f039656d7e76260ee	ligand	Tgfb3	1	ligand_components	Tgfb3	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB3_ACVR1C_TGFBR2	complex_lr_candidate	MSCICOMM-c302100f039656d7e76260ee	receptor	Acvr1c	1	receptor_components	Acvr1c	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB3_ACVR1C_TGFBR2	complex_lr_candidate	MSCICOMM-c302100f039656d7e76260ee	receptor	Tgfbr2	2	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1_TGFBR1	complex_lr_candidate	MSCICOMM-6e2ec3e5a7e9e48d97baca1b	ligand	Tgfb1	1	ligand_components	Tgfb1	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1_TGFBR1	complex_lr_candidate	MSCICOMM-6e2ec3e5a7e9e48d97baca1b	receptor	Acvr1	1	receptor_components	Acvr1	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1_TGFBR1	complex_lr_candidate	MSCICOMM-6e2ec3e5a7e9e48d97baca1b	receptor	Tgfbr1	2	receptor_components	Tgfbr1	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB1_ACVR1_TGFBR1	complex_lr_candidate	MSCICOMM-6e2ec3e5a7e9e48d97baca1b	receptor	Tgfbr2	3	receptor_components	Tgfbr2	Explicit CellChat component field; components were not inferred from the receptor name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_ACVR1_TGFBR1	complex_lr_candidate	MSCICOMM-d98c309bc98be5e99653f9c5	ligand	Tgfb2	1	ligand_components	Tgfb2	Explicit CellChat component field; components were not inferred from the ligand name.
mscs_phase2:cellchat_mouse.tsv	TGFB2_ACVR1_TGFBR1	complex_lr_candidate	MSCICOMM-d98c309bc98be5e99653f9c5	receptor	Acvr1	1	receptor_components	Acvr1	Explicit CellChat component field; components were not inferred from the receptor name.
