evidence_id	pathway_reuse_key	source_locators	support_kind	species_support	source_species_detail	evidence_layer	confidence_tier	evidence_summary	limitations
M21A-PAIR-EVID-001	M21A-REUSE-0094	PMID:15930396; PMID:31223654	primary_experiment_or_structural_primary	rat sympathetic neurons; mouse neuropathic-pain model	rat sympathetic neurons; mouse neuropathic-pain model	downstream_pathway_function	medium	BDNF/proBDNF-p75NTR-SORT1 apoptotic branch	ProBDNF versus mature BDNF and p75NTR scope require explicit separation.
M21A-PAIR-EVID-002	M21A-REUSE-0095	PMID:39903605; PMCID:PMC12017343; PMID:24890717	primary_experiment_or_structural_primary	human and mouse ACKR2-expressing HEK293T and mouse leukocyte uptake systems	human and mouse ACKR2-expressing HEK293T and mouse leukocyte uptake systems	downstream_pathway_function	medium	ACKR2 chemokine internalization/scavenging	Scavenging/availability control is not canonical G-protein signaling and does not establish a TF endpoint.
M21A-PAIR-EVID-003	M21A-REUSE-0096	PMID:24890717; PMID:19906300	primary_experiment_or_structural_primary	mouse leukocytes and mouse EAE monocyte-trafficking model	mouse leukocytes and mouse EAE monocyte-trafficking model	receptor_proximal_relay	high	CCL2-CCR2-Gi/PI3K/ERK chemotaxis branch	No pair-specific TF-target program or SCI receiver relay was established.
M21A-PAIR-EVID-004	M21A-REUSE-0097	PMID:23341447; PMID:32289156; PMID:26976955; PMID:33875601; PMCID:PMC7188906	primary_experiment_or_structural_primary	human receptor assays and mouse ACKR4 loss-of-function/barrier-tissue models	human receptor assays and mouse ACKR4 loss-of-function/barrier-tissue models	receptor_proximal_relay	medium	ACKR4 chemokine scavenging/internalization branch	GRK3/beta-arrestin trafficking and chemokine-gradient control do not establish canonical Gi signaling or a TF endpoint.
M21A-PAIR-EVID-005	M21A-REUSE-0098	PMID:10725697; PMID:14581607; PMID:35663027	primary_experiment_or_structural_primary	human CCR10 transfectants and mouse melanoma/skin models	human CCR10 transfectants and mouse melanoma/skin models	receptor_proximal_relay	medium	CCL27-CCR10-Gi/Ca2+/chemotaxis branch	Mouse Ccl27b paralog was not isolated and no terminal TF program was demonstrated.
M21A-PAIR-EVID-006	M21A-REUSE-0099	PMID:10433822; PMID:10102268; PMID:17360927; PMID:18417704	primary_experiment_or_structural_primary	mouse developmental binding, genetics, and repulsion assays	mouse developmental binding, genetics, and repulsion assays	receptor_proximal_relay	high	Slit-Robo-CC0-srGAP-Rac/Rho actin-guidance branch	Canonical guidance relay is supported, but no terminal TF endpoint or SCI receiver weighting was established.
M21A-PAIR-EVID-007	M21A-REUSE-0100	PMID:23345436; PMCID:PMC3593915; PMID:29934346; PMCID:PMC6705959	primary_experiment_or_structural_primary	rat neurons and heterologous synapse assays	rat neurons and heterologous synapse assays	downstream_pathway_function	medium	SLITRK-PTPRS synaptogenic adhesion/scaffold branch	Synapse assembly is a functional/scaffold output; no terminal TF endpoint.
M21A-PAIR-EVID-008	M21A-REUSE-0101	PMID:24335906; PMID:33462195	primary_experiment_or_structural_primary	human cells, zebrafish embryos, and mouse/human renal models	human cells, zebrafish embryos, and mouse/human renal models	receptor_proximal_relay	high	WNT5A-MCAM/CD146-DVL2-JNK branch	JUN/AP-1 is a candidate only; target-program evidence remains deferred to Module22A.
M21A-PAIR-EVID-009	M21A-REUSE-0102	PMID:26001835; PMID:15475360; PMID:8622651	primary_experiment_or_structural_primary	human granulosa cells and heterologous/cell-free receptor systems	human granulosa cells and heterologous/cell-free receptor systems	receptor_proximal_relay	medium	Activin-ACVR2A/B-ALK4-SMAD2/3-SMAD4 branch	Exact ligand plus four-part receptor complex was not isolated in one assay.
M21A-PAIR-EVID-010	M21A-REUSE-0103	PMID:18951876; PMID:32235336; PMID:15475360	primary_experiment_or_structural_primary	human beta-cell, myeloma/HepG2, and cell-free receptor systems	human beta-cell, myeloma/HepG2, and cell-free receptor systems	receptor_proximal_relay	medium	Activin-ACVR2A/B-ALK7-SMAD2/3-SMAD4 branch	ACVR2A/B partner identity is not uniquely resolved in the ALK7 assays; PDX1 is model-specific.
M21A-PAIR-EVID-011	M21A-REUSE-0104	PMID:10854429; PMCID:PMC6620045	primary_experiment_or_structural_primary	mouse receptor co-IP, reporter, pSMAD, and neuronal migration assays	mouse receptor co-IP, reporter, pSMAD, and neuronal migration assays	receptor_proximal_relay	high	AMH-AMHR2/BMPR1B-SMAD1/5 branch	No target-program claim and no SCI receiver weighting.
M21A-PAIR-EVID-012	M21A-REUSE-0105	PMID:10085134; PMID:41085543	primary_experiment_or_structural_primary	human EGFR-engineered fibroblasts and human/mouse bile-duct organoids/injury model	human EGFR-engineered fibroblasts and human/mouse bile-duct organoids/injury model	receptor_proximal_relay	medium	AREG-EGFR-ERK/MAPK branch	Relay and functional models differ; ELK1 is a candidate, not an exact organoid endpoint.
M21A-PAIR-EVID-013	M21A-REUSE-0106	PMID:10085134	primary_experiment_or_structural_primary	human epithelial cells and EGFR-engineered fibroblasts	human epithelial cells and EGFR-engineered fibroblasts	receptor_proximal_relay	medium	AREG-EGFR-mediated ERBB2 transphosphorylation branch	EGFR mediates the ligand response; direct AREG-ERBB2 binding and TF endpoint are not established.
M21A-PAIR-EVID-014	M21A-REUSE-0107	PMID:9883723; PMID:25635057; DOI:10.1038/nchembio823	primary_experiment_or_structural_primary	mouse neuronal cultures and receptor-complex assays	mouse neuronal cultures and receptor-complex assays	receptor_proximal_relay	medium	ARTN-GFRA3-RET-ERK/PI3K-AKT branch	No exact terminal TF assay; ELK1/AP-1 are generic candidates only.
M21A-PAIR-EVID-015	M21A-REUSE-0108	PMID:9312147; PMCID:PMC3230766; PMID:16034442	primary_experiment_or_structural_primary	mouse cortical neurons and rat amygdala with receptor inhibition and pERK/pCREB assays	mouse cortical neurons and rat amygdala with receptor inhibition and pERK/pCREB assays	receptor_proximal_relay	high	BDNF-TrkB-Shc/RAS/ERK, PI3K/AKT, PLCgamma-CREB branch	Mature versus proBDNF and TrkB isoform scope remain limitations; CREB phosphorylation is a terminal TF activation signal, not a target program.
